camion,timestamps,camion_pos
0,37754.37003062633,"(15532.840404597111, 9479.934517540578)"
0,38353.37003062633,"(12689.743808395491, 9414.359576990631)"
0,40198.37003062633,"(3556.8339875569663, 8163.965925250706)"
0,40914.37003062633,"(1372.2289499746732, 6629.443209425699)"
0,41640.37003062633,"(564.7197785777956, 3646.0040151331496)"
0,42301.37003062633,"(2326.852791608316, 5221.549048260388)"
0,42911.37003062633,"(5211.1045064944165, 5126.55980555614)"
0,43264.37003062633,"(5975.942152874169, 5562.626991329509)"
0,43701.37003062633,"(5871.117476616478, 3885.145475292601)"
0,44179.37003062633,"(6245.527299690881, 2196.4744955889587)"
0,44723.37003062633,"(6850.191308537252, 4118.0691377561425)"
0,45164.37003062633,"(7439.559048153887, 5335.785209766173)"
0,45403.37003062633,"(7794.533370171555, 5285.794255827977)"
0,46839.37003062633,"(10302.356819963345, 11491.211174522077)"
0,47354.37003062633,"(11904.002363340169, 12215.83226627884)"
0,47568.37003062633,"(12118.96539051064, 12230.939373143108)"
0,47867.37003062633,"(11936.651145538783, 12872.901989563397)"
0,48294.37003062633,"(13566.978551608758, 12955.112171089098)"
0,48515.37003062633,"(13441.8790281448, 13113.521092221625)"
0,48839.37003062633,"(14260.598100833104, 13291.123681279376)"
0,49207.37003062633,"(13713.046813892064, 12539.129874888182)"
0,49567.37003062633,"(13143.463997313127, 11864.76948879763)"
0,50921.37003062633,"(8434.524063194407, 8428.783681224042)"
0,51125.37003062633,"(8341.177066001152, 8358.419255346551)"
0,51754.37003062633,"(7063.104204724812, 6524.215978771772)"
0,52197.37003062633,"(5771.119486741318, 5994.701689450787)"
0,52442.37003062633,"(5715.036503345882, 5605.272925381431)"
0,53029.37003062633,"(5663.30048443664, 2833.828711641445)"
0,53258.37003062633,"(5572.786922213788, 3078.249203832049)"
0,53488.37003062633,"(5914.465558790763, 3079.5819635249386)"
0,54021.37003062633,"(7997.370812765764, 3444.9941470721565)"
0,54434.37003062633,"(8025.30248736769, 5031.760963272702)"
0,54663.37003062633,"(8302.601828311108, 5090.8453399956425)"
0,54871.37003062633,"(8353.759393048245, 5228.095664663796)"
0,55105.37003062633,"(8585.25300666098, 5371.457767226237)"
0,55469.37003062633,"(9607.52904346317, 5119.580080945992)"
0,55766.37003062633,"(9364.527037518434, 5683.575956570884)"
0,56342.37003062633,"(10161.430688359678, 7635.471589994797)"
0,57308.37003062633,"(8098.523279743614, 11024.262260830545)"
0,57685.37003062633,"(7363.768108581986, 10391.349083178326)"
0,57995.37003062633,"(7235.624172646783, 11159.993705851979)"
0,58474.37003062633,"(7384.116092947756, 13082.663998669352)"
0,58784.37003062633,"(7327.675857203387, 13923.228970203878)"
0,59224.37003062633,"(7838.495168456589, 15211.837547190613)"
0,59581.37003062633,"(8094.673872405221, 14245.153541908852)"
0,59892.37003062633,"(8672.180057729853, 13916.116668785417)"
0,60177.37003062633,"(8903.978400274484, 13419.875239383256)"
0,60496.37003062633,"(9501.667437966455, 13053.180774615874)"
1,37726.88453912223,"(10023.985766944332, 13764.508193301644)"
1,38058.88453912223,"(9212.550220837305, 14004.944566934159)"
1,38603.88453912223,"(9393.687601348029, 16354.415766508215)"
1,38920.88453912223,"(9435.207913413906, 17259.67157759546)"
1,39487.88453912223,"(7069.654366125085, 16944.44854304165)"
1,39796.88453912223,"(6845.333030585874, 17610.180748045943)"
1,40232.88453912223,"(8261.959521326587, 17969.21393344581)"
1,40823.88453912223,"(10823.771409832169, 17681.79974752429)"
1,41706.108655709344,"(11896.725135291168, 17022.86147097627)"
1,42268.108655709344,"(11958.57687425059, 14437.596084489654)"
1,42695.108655709344,"(12559.71582954552, 13324.573503825042)"
1,43133.108655709344,"(11013.64179247509, 13565.824414410996)"
1,43502.108655709344,"(11315.484668870027, 12558.441123069268)"
1,43777.108655709344,"(11074.500748624663, 12140.988856214175)"
1,44347.108655709344,"(10347.356097628526, 10163.824295805443)"
1,44802.108655709344,"(9508.733847121373, 10901.271656346007)"
1,45676.108655709344,"(6493.756137462879, 12702.190550407518)"
1,45907.108655709344,"(6146.435034429757, 12702.326474218493)"
1,46398.108655709344,"(5834.084832442958, 14543.407336548096)"
1,46631.108655709344,"(6192.578003152585, 14538.124609132665)"
1,47123.108655709344,"(6922.334355881294, 15974.367555007377)"
1,47400.108655709344,"(7490.177192155158, 15875.2324202268)"
1,47618.108655709344,"(7380.504914147385, 15722.721393542719)"
1,48101.108655709344,"(7451.6009976541645, 13691.22949967685)"
1,48474.108655709344,"(8385.214939336049, 13291.340830907197)"
1,48658.108655709344,"(8399.005730628596, 13302.763179039706)"
1,48875.108655709344,"(8624.894344637481, 13330.954774584596)"
1,49239.108655709344,"(9738.575270389449, 13170.024526383755)"
1,50265.108655709344,"(9321.052175828754, 8247.177058242794)"
1,50511.108655709344,"(9271.675766402817, 7841.922515852884)"
1,50746.108655709344,"(8920.719108391006, 7812.167647082982)"
1,51440.108655709344,"(8929.681260492676, 4252.291789471485)"
1,51785.108655709344,"(8892.959948589072, 3144.8342089640555)"
1,52041.108655709344,"(8475.513384230548, 3034.527286044731)"
1,52421.108655709344,"(9082.224203920367, 2253.044546060726)"
1,52685.108655709344,"(9116.537524528709, 1706.2249954492559)"
1,52927.108655709344,"(9375.737253391617, 1877.2133151027047)"
1,53198.108655709344,"(9987.0984489948, 1862.7267645754205)"
1,53645.108655709344,"(11689.121704133813, 2008.6395140009422)"
1,54165.108655709344,"(10869.386334903038, 3545.389828979765)"
1,54507.108655709344,"(10533.85499890024, 4332.49651689049)"
1,54770.108655709344,"(10918.752947468378, 4142.655856019875)"
1,55077.108655709344,"(11567.977685782518, 3915.336486145442)"
1,55426.108655709344,"(12634.598792278868, 4019.1559152718182)"
1,56080.046537826776,"(12514.491486639814, 5341.946742389389)"
1,56363.046537826776,"(12262.699454122334, 5802.961192815717)"
1,56645.046537826776,"(12515.374405651508, 6256.837386182473)"
1,56899.046537826776,"(12577.455175902947, 6702.847786036537)"
1,57311.046537826776,"(13086.451481174956, 7800.001159738635)"
1,57874.046537826776,"(11154.501120347471, 8525.315341360252)"
1,58224.046537826776,"(10693.188531807664, 9240.078421519123)"
1,59078.046537826776,"(9782.28353048262, 6997.529519245576)"
1,59443.046537826776,"(9370.82644209986, 6129.490838584092)"
1,59711.046537826776,"(8810.987816718523, 6084.102529913705)"
1,60009.046537826776,"(8160.954759698352, 6250.5453130277165)"
1,60294.046537826776,"(8655.992473611233, 6477.738983924321)"
2,36544.484643419964,"(19197.82028703744, 8424.455579918465)"
2,37190.484643419964,"(16817.663665077955, 7573.277052178468)"
2,37689.484643419964,"(16571.812262628922, 5610.026757348574)"
2,38316.484643419964,"(16668.72489165373, 2603.899190545293)"
2,38871.484643419964,"(15381.283014913763, 1293.5730728473732)"
2,39163.484643419964,"(14674.525197203106, 1227.2657318616816)"
2,39984.484643419964,"(14767.717425944422, 5583.203021227788)"
2,40375.484643419964,"(14113.539346439247, 6391.45147845247)"
2,40919.484643419964,"(12514.997394962356, 7319.808817672849)"
2,41415.484643419964,"(10397.779679486172, 7244.095066305337)"
2,42925.99206351601,"(9617.854154473616, 6930.416960705806)"
2,43269.99206351601,"(8593.31471486342, 6820.766227837805)"
2,43987.99206351601,"(8331.141607767357, 3352.4369408928724)"
2,44363.99206351601,"(8716.660526470754, 2381.771708140209)"
2,44927.99206351601,"(11111.986128722358, 2646.2802721378157)"
2,45318.99206351601,"(12401.094205095704, 2821.2272897184566)"
2,45707.99206351601,"(13244.683694614123, 2218.469332711274)"
2,46063.99206351601,"(13849.61587137276, 2833.6630430474775)"
2,46346.99206351601,"(13971.730377073773, 3423.9351137827307)"
2,46677.99206351601,"(13722.741716461975, 4222.057228929036)"
2,47069.99206351601,"(13818.947820342617, 5591.48271457046)"
2,47467.99206351601,"(12692.334269893276, 5205.043833231798)"
2,47803.99206351601,"(11780.775513862076, 5371.880323015494)"
2,48287.99206351601,"(10568.107060980208, 6267.153209883539)"
2,48560.99206351601,"(10423.441869563818, 6767.712932307437)"
2,49823.99206351601,"(10345.611796900354, 13513.569856714405)"
2,50043.99206351601,"(10326.694637707375, 13771.759663628924)"
2,50371.99206351601,"(10494.32482490901, 14631.68761236266)"
2,50721.99206351601,"(9949.02194592308, 15262.473599716413)"
2,51251.99206351601,"(9175.775070870739, 16916.421676720063)"
2,51645.99206351601,"(9935.279265811412, 16190.679528242652)"
2,51847.99206351601,"(10041.41477117171, 16146.729711674594)"
2,52170.99206351601,"(10625.492923639044, 15740.121302501466)"
2,52584.99206351601,"(11536.213591341604, 15026.334301377528)"
2,52861.99206351601,"(12146.83814799324, 15088.552413648822)"
2,53106.99206351601,"(12266.011999437578, 15417.000807126748)"
2,53425.99206351601,"(12965.431865743249, 15155.414777185524)"
2,53659.99206351601,"(13250.621059360139, 15070.85540326902)"
2,54037.99206351601,"(12539.239294185347, 14407.840100169835)"
2,54287.99206351601,"(12506.811362262933, 13955.088416699467)"
2,54794.99206351601,"(10888.856610272222, 13306.855902086201)"
2,55322.99206351601,"(10410.341442392983, 11368.788141757821)"
2,56434.99206351601,"(9608.518614670094, 14289.311475631066)"
2,56672.99206351601,"(9693.914152559828, 14606.017065015072)"
2,56952.99206351601,"(9089.926656948737, 14691.884583428344)"
2,57169.99206351601,"(8886.211003746175, 14743.439712719697)"
