camion_id,timestamps,camion_pos
0,32495.0,"(4714.951171875, 4801.8740234375)"
0,34921.6606484375,"(17456.154296875, 7662.48095703125)"
0,37710.1736796875,"(2005.50732421875, 10326.5078125)"
0,38667.7161640625,"(1307.90966796875, 15028.5107421875)"
0,41231.665203125,"(17223.2578125, 14388.6572265625)"
0,42444.9820625,"(14510.232421875, 9925.87109375)"
0,44154.19087109375,"(11128.8310546875, 2687.766845703125)"
0,45729.3515703125,"(16773.78125, 6731.4326171875)"
0,46548.3282265625,"(17799.2578125, 10143.2939453125)"
0,47064.0005234375,"(16150.8935546875, 9460.6005859375)"
0,47498.847546875,"(16023.5283203125, 7818.19482421875)"
0,48521.831597656244,"(14152.205078125, 3835.462158203125)"
0,50103.57846874999,"(9326.880859375, 8744.4912109375)"
0,50819.07692187499,"(8847.4267578125, 11983.7763671875)"
0,51900.36673437499,"(14256.3955078125, 11133.7880859375)"
0,53066.89385937499,"(18369.193359375, 8395.703125)"
0,53744.72379687499,"(18509.427734375, 11712.62109375)"
0,55278.08814453124,"(19661.31640625, 3466.146240234375)"
0,56069.79705078124,"(15698.478515625, 3181.005615234375)"
0,56416.97029296874,"(16267.796875, 3772.612548828125)"
0,57028.83258593749,"(15882.1611328125, 6386.0205078125)"
0,57646.86223437499,"(14944.6025390625, 4281.70654296875)"
0,58646.24487499999,"(10206.931640625, 3329.22021484375)"
0,59555.56557031249,"(7197.13818359375, 5384.15380859375)"
0,60382.16438281249,"(9529.7236328125, 7541.837890625)"
1,32788.0,"(8844.4208984375, 10640.830078125)"
1,35398.35453320313,"(1433.197021484375, 1174.5919189453125)"
1,39325.362238281254,"(9963.75, 18664.92578125)"
1,40105.66062109375,"(6601.14013671875, 19471.0546875)"
1,41884.25405078125,"(4858.333984375, 10112.517578125)"
1,42866.075265625004,"(2263.793212890625, 13086.1796875)"
1,44605.027246093756,"(10219.9345703125, 15956.09375)"
1,45641.024980468756,"(12447.419921875, 19673.037109375)"
1,47504.758726562504,"(3703.808837890625, 16724.052734375)"
1,48925.16611328125,"(10838.849609375, 15245.1533203125)"
1,50078.53397265625,"(6620.751953125, 17786.5546875)"
1,50835.211503906256,"(6653.5546875, 13814.65234375)"
1,51804.510554687506,"(3141.053466796875, 15783.39453125)"
1,52185.22999609375,"(3278.3955078125, 17039.9375)"
1,53214.537847656255,"(6585.76513671875, 19630.5390625)"
1,54832.87994921875,"(11643.95703125, 14700.244140625)"
1,55655.86132421876,"(9249.2802734375, 12629.7724609375)"
1,56593.624058593756,"(4648.44140625, 11968.3701171875)"
1,57200.889496093754,"(4492.3759765625, 14779.42578125)"
1,57947.92982031251,"(2192.493408203125, 13141.5283203125)"
1,58646.37362500001,"(1120.920654296875, 10612.796875)"
1,59247.92423828126,"(2613.9384765625, 9178.3798828125)"
1,59453.77037500001,"(2530.498291015625, 9274.4267578125)"
2,32160.0,"(9889.1220703125, 17830.634765625)"
2,34056.0,"(6736.9765625, 16744.11328125)"
2,37466.268890625,"(15789.591796875, 3364.3056640625)"
2,39857.780249999996,"(11847.0361328125, 14779.4677734375)"
2,41474.302171874995,"(10612.7109375, 6037.9462890625)"
2,42919.239445312494,"(4533.06298828125, 8742.5849609375)"
2,44097.083999999995,"(8180.24169921875, 5460.28759765625)"
2,45161.68851562499,"(4453.91162109375, 7877.04443359375)"
2,46241.947371093745,"(5814.5244140625, 2985.859619140625)"
2,46918.30612719726,"(5174.46728515625, 178.98094177246094)"
2,48033.68527001953,"(2983.3974609375, 4483.599609375)"
2,48706.70243994141,"(1703.4581298828125, 6627.390625)"
2,49767.39032080078,"(1421.709716796875, 12461.5302734375)"
2,50873.88241845703,"(5319.84765625, 9925.6953125)"
2,51350.42014892578,"(3925.868408203125, 10591.005859375)"
2,51651.813273925785,"(3473.693603515625, 10981.8388671875)"
2,52503.808434082035,"(8139.61962890625, 10982.5458984375)"
2,53490.521324707035,"(4670.74365234375, 8849.2490234375)"
2,53871.708695800786,"(4033.358154296875, 9608.998046875)"
2,54377.76691845703,"(2768.43994140625, 8609.623046875)"
2,55232.39355908203,"(7445.84716796875, 8617.123046875)"
2,56291.98894189453,"(9582.7578125, 12588.513671875)"
2,56656.93148876953,"(9226.587890625, 13516.6669921875)"
2,57206.42198876953,"(8322.419921875, 15178.4052734375)"
2,58311.85908251953,"(6208.6396484375, 19491.271484375)"
2,59301.47440283203,"(5592.54638671875, 14485.0361328125)"
2,60324.56634814453,"(9693.5595703125, 12731.244140625)"
