camion_id,timestamps,camion_pos
0,34072.115765625,"(17223.2578125, 14388.6572265625)"
0,35254.2222421875,"(17456.154296875, 7662.48095703125)"
0,37680.882890625,"(4714.951171875, 4801.8740234375)"
0,38646.2626875,"(4858.333984375, 10112.517578125)"
0,39267.8843203125,"(2005.50732421875, 10326.5078125)"
0,40225.4268046875,"(1307.90966796875, 15028.5107421875)"
0,41434.259203125,"(6736.9765625, 16744.11328125)"
0,42796.60396875,"(8844.4208984375, 10640.830078125)"
0,44293.257140625,"(9963.75, 18664.92578125)"
0,45073.5555234375,"(6601.14013671875, 19471.0546875)"
0,45761.5490625,"(9941.7109375, 19658.216796875)"
0,46304.50528125,"(12447.419921875, 19673.037109375)"
0,47595.1989375,"(6620.751953125, 17786.5546875)"
0,48348.23902734375,"(3703.808837890625, 16724.052734375)"
0,49020.175089843746,"(2578.970947265625, 14432.66796875)"
0,49641.67096875,"(5592.54638671875, 14485.0361328125)"
0,50070.9914296875,"(6653.5546875, 13814.65234375)"
0,50965.17215625,"(6031.15283203125, 9477.4658203125)"
0,51431.534296875005,"(4670.74365234375, 8849.2490234375)"
0,51919.97217187501,"(2768.43994140625, 8609.623046875)"
0,52551.96099609376,"(3925.868408203125, 10591.005859375)"
0,53395.12293750001,"(8139.61962890625, 10982.5458984375)"
0,54944.05169531251,"(6595.77587890625, 3019.93994140625)"
0,56052.45632812501,"(7445.84716796875, 8617.123046875)"
0,56751.82150781251,"(10889.0966796875, 8453.669921875)"
0,57767.97403125001,"(10206.931640625, 3329.22021484375)"
0,58677.294726562504,"(7197.13818359375, 5384.15380859375)"
0,59325.709640625006,"(4614.64013671875, 6054.537109375)"
0,60164.706304687505,"(5319.84765625, 9925.6953125)"
1,34278.0,"(15789.591796875, 3364.3056640625)"
1,35886.0,"(17799.2578125, 10143.2939453125)"
1,36401.672296875,"(16150.8935546875, 9460.6005859375)"
1,37064.368312499995,"(16773.78125, 6731.4326171875)"
1,37575.70183593749,"(19003.787109375, 6660.51123046875)"
1,38587.14851953124,"(19427.7578125, 1310.546630859375)"
1,39890.41594921874,"(14152.205078125, 3835.462158203125)"
1,40897.26082031249,"(10612.7109375, 6037.9462890625)"
1,41510.71924218749,"(8180.24169921875, 5460.28759765625)"
1,42387.700160156244,"(5814.5244140625, 2985.859619140625)"
1,43467.95901562499,"(4453.91162109375, 7877.04443359375)"
1,45641.649421874994,"(10219.9345703125, 15956.09375)"
1,46013.14860937499,"(10838.849609375, 15245.1533203125)"
1,47675.501343749995,"(19457.189453125, 13569.376953125)"
1,49178.1187734375,"(16023.5283203125, 7818.19482421875)"
1,49378.5494765625,"(16010.310546875, 7946.85693359375)"
1,49801.7634375,"(15882.1611328125, 6386.0205078125)"
1,50419.7930859375,"(14944.6025390625, 4281.70654296875)"
1,50866.852160156246,"(15698.478515625, 3181.005615234375)"
1,51148.242960937496,"(16327.50390625, 3256.0830078125)"
1,51411.221027343745,"(16267.796875, 3772.612548828125)"
1,51804.937242187494,"(16403.599609375, 5120.9501953125)"
1,52458.10021874999,"(17564.16796875, 7246.23583984375)"
1,52919.54716406249,"(18369.193359375, 8395.703125)"
1,53441.62422656249,"(19524.552734375, 9615.87890625)"
1,54598.81778906249,"(14256.3955078125, 11133.7880859375)"
1,56372.051085937484,"(9889.1220703125, 17830.634765625)"
1,57017.05155468748,"(8859.65625, 15630.9306640625)"
1,57683.39953124998,"(5989.16259765625, 16137.853515625)"
1,58963.96804687498,"(7809.92724609375, 10315.78125)"
1,59311.46542968748,"(8688.025390625, 10600.859375)"
1,60012.64685156248,"(8917.0615234375, 13991.138671875)"
2,33412.0,"(14510.232421875, 9925.87109375)"
2,34674.4181875,"(11847.0361328125, 14779.4677734375)"
2,35966.138265625,"(9867.8837890625, 9038.341796875)"
2,36615.2141875,"(10582.4658203125, 6495.4521484375)"
2,37422.19746484375,"(11128.8310546875, 2687.766845703125)"
2,38820.89101782227,"(5174.46728515625, 178.98094177246094)"
2,39683.00191650391,"(1433.197021484375, 1174.5919189453125)"
2,40687.12252978516,"(1703.4581298828125, 6627.390625)"
2,41579.17361376954,"(4533.06298828125, 8742.5849609375)"
2,42449.75788720704,"(9326.880859375, 8744.4912109375)"
2,43865.35818408204,"(11664.0009765625, 14987.9287109375)"
2,44714.13271533204,"(14675.16015625, 16621.037109375)"
2,45513.84023095704,"(16897.33984375, 14539.6923828125)"
2,46012.75382470704,"(18879.7734375, 14307.4482421875)"
2,46669.61938720704,"(19000.9609375, 11117.0693359375)"
2,47006.15962158205,"(18509.427734375, 11712.62109375)"
2,47620.66274658205,"(17304.31640625, 13524.892578125)"
2,48423.41943408205,"(15354.1962890625, 15899.4716796875)"
2,49515.488715332045,"(12498.880859375, 19377.970703125)"
2,50492.190371582044,"(11643.95703125, 14700.244140625)"
2,50730.56338720705,"(12040.38671875, 14691.3056640625)"
2,51489.863715332045,"(8323.7509765625, 14997.5888671875)"
2,51696.09294970705,"(8322.419921875, 15178.4052734375)"
2,52245.58344970705,"(9226.587890625, 13516.6669921875)"
2,52605.928262207046,"(9693.5595703125, 12731.244140625)"
2,52822.43690283204,"(9582.7578125, 12588.513671875)"
2,53056.39893408204,"(9249.2802734375, 12629.7724609375)"
2,54326.26908642579,"(2192.493408203125, 13141.5283203125)"
2,55668.68363330079,"(3800.852783203125, 19605.4921875)"
2,56643.21653564454,"(4492.3759765625, 14779.42578125)"
2,57250.48197314454,"(4648.44140625, 11968.3701171875)"
2,57934.83589111329,"(2263.793212890625, 13086.1796875)"
2,58407.88584033204,"(2218.49658203125, 11096.4072265625)"
2,58921.02541064454,"(2613.9384765625, 9178.3798828125)"
2,59551.37837939454,"(4841.693359375, 10078.076171875)"
