tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000.0,1000000000000.0,1000000000000.0,61020,True
33909.577171875,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,32788.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,58515,True
1000000000000.0,1000000000000.0,1000000000000.0,59876,True
1000000000000.0,1000000000000.0,33810.2889609375,1000000000000,False
1000000000000.0,33998.0659609375,1000000000000.0,1000000000000,False
1000000000000.0,36524.78509375,1000000000000.0,1000000000000,False
1000000000000.0,38474.869867187495,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,34992.395437499996,1000000000000,False
1000000000000.0,39683.702265625,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,36966.34996874999,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60359,True
1000000000000.0,40275.9422734375,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60065,True
34874.95696875,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,38276.82506249999,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59461,True
1000000000000.0,41483.203046874994,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59804,True
1000000000000.0,1000000000000.0,1000000000000.0,59741,True
1000000000000.0,1000000000000.0,39443.88121874999,1000000000000,False
1000000000000.0,1000000000000.0,40262.857874999994,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60862,True
1000000000000.0,1000000000000.0,1000000000000.0,60051,True
36203.23279687499,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,60255.206242187494,1000000000000.0,1000000000000,True
37267.83731249999,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,40778.53017187499,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,58744,True
1000000000000.0,1000000000000.0,41772.559710937494,1000000000000,False
1000000000000.0,42519.200781249994,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60431,True
1000000000000.0,1000000000000.0,1000000000000.0,60058,True
1000000000000.0,1000000000000.0,1000000000000.0,59534,True
1000000000000.0,1000000000000.0,42784.00639453124,1000000000000,False
38348.096167968746,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,44382.93452734374,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,44733.51611718749,1000000000000,False
1000000000000.0,45883.712054687494,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,46236.133546875,1000000000000,False
39024.45492407226,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,46828.38116406249,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59601,True
1000000000000.0,1000000000000.0,47259.11759765624,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59606,True
1000000000000.0,1000000000000.0,1000000000000.0,59893,True
40139.83406689453,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59484,True
40812.85123681641,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,47982.39013281249,1000000000000.0,1000000000000,False
1000000000000.0,50109.76696093749,1000000000000.0,1000000000000,False
41873.539117675784,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,48840.86446874999,1000000000000,False
1000000000000.0,1000000000000.0,50524.39740234374,1000000000000,False
43147.00420751953,1000000000000.0,1000000000000.0,1000000000000,False
44093.45637158203,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60243,True
1000000000000.0,50866.4444921875,1000000000000.0,1000000000000,False
45780.41552783203,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,59858,True
1000000000000.0,1000000000000.0,1000000000000.0,59515,True
1000000000000.0,1000000000000.0,51223.41875390624,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60335,True
1000000000000.0,51835.74354296875,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60112,True
1000000000000.0,1000000000000.0,1000000000000.0,59637,True
1000000000000.0,1000000000000.0,1000000000000.0,59639,True
48376.63803955078,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,52216.46298437499,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,52183.71585351561,1000000000000,False
48678.03116455078,1000000000000.0,1000000000000.0,1000000000000,False
52221.67720751953,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60000,True
1000000000000.0,1000000000000.0,1000000000000.0,60254,True
1000000000000.0,1000000000000.0,1000000000000.0,59495,True
1000000000000.0,1000000000000.0,1000000000000.0,58923,True
1000000000000.0,1000000000000.0,1000000000000.0,53241,False
53992.774832519535,1000000000000.0,1000000000000.0,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,60062,True
1000000000000.0,1000000000000.0,53158.33451953123,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,52161,False
1000000000000.0,1000000000000.0,1000000000000.0,52698,False
1000000000000.0,1000000000000.0,1000000000000.0,59382,True
1000000000000.0,1000000000000.0,53617.833175781234,1000000000000,False
1000000000000.0,1000000000000.0,1000000000000.0,52347,False
