camion_id,timestamps,camion_pos
0,34355.0,"(10000.0, 10000.0)"
0,35499.0,"(9889.1220703125, 17830.634765625)"
0,36389.0,"(6601.14013671875, 19471.0546875)"
0,36982.0,"(6736.9765625, 16744.11328125)"
0,37642.0,"(8323.7509765625, 14997.5888671875)"
0,38784.0,"(10000.0, 10000.0)"
0,38784.0,"(10000.0, 10000.0)"
0,39674.0,"(10219.9345703125, 15956.09375)"
0,40281.0,"(9963.75, 18664.92578125)"
0,40591.0,"(9935.8291015625, 19537.576171875)"
0,40790.0,"(9941.7109375, 19658.216796875)"
0,41333.0,"(12447.419921875, 19673.037109375)"
0,41878.0,"(11402.1181640625, 18184.7421875)"
0,42557.0,"(11664.0009765625, 14987.9287109375)"
0,42893.0,"(10838.849609375, 15245.1533203125)"
0,43950.0,"(10000.0, 10000.0)"
0,43950.0,"(10000.0, 10000.0)"
0,44539.0,"(10582.4658203125, 6495.4521484375)"
0,44790.0,"(10612.7109375, 6037.9462890625)"
0,45331.0,"(11282.08984375, 4204.1357421875)"
0,45978.0,"(14152.205078125, 3835.462158203125)"
0,46436.0,"(15182.6513671875, 4733.9736328125)"
0,46848.0,"(16403.599609375, 5120.9501953125)"
0,47308.0,"(16327.50390625, 3256.0830078125)"
0,47662.0,"(16351.7822265625, 2075.383544921875)"
0,48110.0,"(15079.8544921875, 2465.452880859375)"
0,48792.0,"(13641.451171875, 423.9505615234375)"
0,49280.0,"(13320.552734375, 2238.60546875)"
0,49702.0,"(12286.291015625, 2882.9814453125)"
0,50116.0,"(12360.607421875, 1337.016845703125)"
0,50460.0,"(11407.1845703125, 1153.57470703125)"
0,50996.0,"(8946.0400390625, 1147.269287109375)"
0,52603.0,"(10000.0, 10000.0)"
0,52603.0,"(10000.0, 10000.0)"
0,53041.0,"(9693.5595703125, 12731.244140625)"
0,53258.0,"(9582.7578125, 12588.513671875)"
0,53492.0,"(9249.2802734375, 12629.7724609375)"
0,53803.0,"(9226.587890625, 13516.6669921875)"
0,54096.0,"(8917.0615234375, 13991.138671875)"
0,54484.0,"(9024.978515625, 15327.3056640625)"
0,54732.0,"(8859.65625, 15630.9306640625)"
0,55022.0,"(8259.013671875, 15788.8994140625)"
0,55300.0,"(8322.419921875, 15178.4052734375)"
0,55742.0,"(7124.33251953125, 14561.826171875)"
0,56154.0,"(5592.54638671875, 14485.0361328125)"
0,56488.0,"(4984.10400390625, 14944.5576171875)"
0,56763.0,"(4492.3759765625, 14779.42578125)"
0,57371.0,"(4648.44140625, 11968.3701171875)"
0,58408.0,"(4614.64013671875, 6054.537109375)"
0,58792.0,"(4592.94580078125, 4663.3349609375)"
0,59451.0,"(7197.13818359375, 5384.15380859375)"
0,59922.0,"(8955.703125, 5641.97900390625)"
0,60459.0,"(9529.7236328125, 7541.837890625)"
0,61061.0,"(10000.0, 10000.0)"
1,33639.0,"(10000.0, 10000.0)"
1,33898.0,"(8844.4208984375, 10640.830078125)"
1,35098.0,"(2218.49658203125, 11096.4072265625)"
1,35976.0,"(1307.90966796875, 15028.5107421875)"
1,36934.0,"(2005.50732421875, 10326.5078125)"
1,37559.0,"(4841.693359375, 10078.076171875)"
1,38494.0,"(10000.0, 10000.0)"
1,38494.0,"(10000.0, 10000.0)"
1,39410.0,"(8180.24169921875, 5460.28759765625)"
1,40287.0,"(5814.5244140625, 2985.859619140625)"
1,41276.0,"(11128.8310546875, 2687.766845703125)"
1,41834.0,"(13143.5322265625, 3295.64892578125)"
1,42405.0,"(15789.591796875, 3364.3056640625)"
1,43261.0,"(16023.5283203125, 7818.19482421875)"
1,43462.0,"(16010.310546875, 7946.85693359375)"
1,44143.0,"(14510.232421875, 9925.87109375)"
1,44534.0,"(14256.3955078125, 11133.7880859375)"
1,45491.0,"(10000.0, 10000.0)"
1,45545.0,"(10000.0, 10000.0)"
1,45997.0,"(8847.4267578125, 11983.7763671875)"
1,46757.0,"(6653.5546875, 13814.65234375)"
1,47319.0,"(6293.61572265625, 16107.4072265625)"
1,47548.0,"(5989.16259765625, 16137.853515625)"
1,48142.0,"(3703.808837890625, 16724.052734375)"
1,48429.0,"(3278.3955078125, 17039.9375)"
1,48810.0,"(3141.053466796875, 15783.39453125)"
1,49266.0,"(2578.970947265625, 14432.66796875)"
1,49686.0,"(2263.793212890625, 13086.1796875)"
1,50078.0,"(1421.709716796875, 12461.5302734375)"
1,50486.0,"(1371.6220703125, 10929.0859375)"
1,50977.0,"(3473.693603515625, 10981.8388671875)"
1,51279.0,"(3925.868408203125, 10591.005859375)"
1,52123.0,"(8139.61962890625, 10982.5458984375)"
1,52437.0,"(8688.025390625, 10600.859375)"
1,52893.0,"(10000.0, 10000.0)"
1,52893.0,"(10000.0, 10000.0)"
1,53884.0,"(10206.931640625, 3329.22021484375)"
1,54572.0,"(13580.005859375, 3482.05078125)"
1,54902.0,"(14233.02734375, 3097.184326171875)"
1,55173.0,"(14372.8056640625, 3586.77978515625)"
