camion_id,timestamps,camion_pos
0,33909.577171875,"(4714.951171875, 4801.8740234375)"
0,35525.030484375,"(8844.4208984375, 10640.830078125)"
0,36890.799328124995,"(9889.1220703125, 17830.634765625)"
0,37201.683656249996,"(9963.75, 18664.92578125)"
0,38122.93603124999,"(6736.9765625, 16744.11328125)"
0,40404.11174999999,"(14510.232421875, 9925.87109375)"
0,43097.52747656249,"(6601.14013671875, 19471.0546875)"
0,44708.52501562499,"(11847.0361328125, 14779.4677734375)"
0,45292.26178124999,"(10219.9345703125, 15956.09375)"
0,46328.25951562499,"(12447.419921875, 19673.037109375)"
0,48191.99326171874,"(3703.808837890625, 16724.052734375)"
0,48833.72240624999,"(6293.61572265625, 16107.4072265625)"
0,49302.62725781249,"(6620.751953125, 17786.5546875)"
0,50638.86850781249,"(8847.4267578125, 11983.7763671875)"
0,51398.432226562494,"(6653.5546875, 13814.65234375)"
0,52435.424144531244,"(3925.868408203125, 10591.005859375)"
0,52736.817269531246,"(3473.693603515625, 10981.8388671875)"
0,53588.812429687496,"(8139.61962890625, 10982.5458984375)"
0,54557.904972656244,"(4033.358154296875, 9608.998046875)"
0,55063.96319531249,"(2768.43994140625, 8609.623046875)"
0,55918.58983593749,"(7445.84716796875, 8617.123046875)"
0,56983.99584374999,"(4648.44140625, 11968.3701171875)"
0,57591.26128124999,"(4492.3759765625, 14779.42578125)"
0,58338.30160546874,"(2192.493408203125, 13141.5283203125)"
0,59036.74541015624,"(1120.920654296875, 10612.796875)"
0,59638.29602343749,"(2613.9384765625, 9178.3798828125)"
1,34904.47839257812,"(1433.197021484375, 1174.5919189453125)"
1,38326.04026171875,"(17456.154296875, 7662.48095703125)"
1,41892.09577734375,"(1307.90966796875, 15028.5107421875)"
1,42489.4386796875,"(2263.793212890625, 13086.1796875)"
1,42962.48862890625,"(2218.49658203125, 11096.4072265625)"
1,44812.58115234375,"(8180.24169921875, 5460.28759765625)"
1,45877.18566796875,"(4453.91162109375, 7877.04443359375)"
1,46957.4445234375,"(5814.5244140625, 2985.859619140625)"
1,47633.80327954102,"(5174.46728515625, 178.98094177246094)"
1,49659.53931298829,"(5094.0634765625, 12916.1884765625)"
1,50433.829035644536,"(1421.709716796875, 12461.5302734375)"
1,51339.76298876954,"(3141.053466796875, 15783.39453125)"
1,51720.48243017578,"(3278.3955078125, 17039.9375)"
1,53616.619340332036,"(3392.359619140625, 5236.2841796875)"
1,54396.94739501954,"(3653.312255859375, 1328.2919921875)"
1,55244.25946142579,"(6595.77587890625, 3019.93994140625)"
1,56758.24209814454,"(15698.478515625, 3181.005615234375)"
1,57426.21453955079,"(15882.1611328125, 6386.0205078125)"
1,58622.95733642579,"(10889.0966796875, 8453.669921875)"
1,59022.22377392579,"(12162.6044921875, 8702.845703125)"
1,59748.54374267579,"(9529.7236328125, 7541.837890625)"
2,33598.2240703125,"(2005.50732421875, 10326.5078125)"
2,36554.52965625,"(17223.2578125, 14388.6572265625)"
2,38528.4841875,"(15789.591796875, 3364.3056640625)"
2,41254.327828124995,"(4858.333984375, 10112.517578125)"
2,42849.69637499999,"(10612.7109375, 6037.9462890625)"
2,43586.44351171874,"(11128.8310546875, 2687.766845703125)"
2,45161.60421093749,"(16773.78125, 6731.4326171875)"
2,45980.58086718749,"(17799.2578125, 10143.2939453125)"
2,46496.25316406249,"(16150.8935546875, 9460.6005859375)"
2,47198.633203124984,"(17564.16796875, 7246.23583984375)"
2,47682.84740624998,"(16023.5283203125, 7818.19482421875)"
2,48705.83145703123,"(14152.205078125, 3835.462158203125)"
2,49503.597644531226,"(12360.607421875, 1337.016845703125)"
2,50579.13374999998,"(15182.6513671875, 4733.9736328125)"
2,51601.709900390604,"(13641.451171875, 423.9505615234375)"
2,53610.43714453123,"(18369.193359375, 8395.703125)"
2,54288.26708203123,"(18509.427734375, 11712.62109375)"
2,54895.251972656224,"(18879.7734375, 14307.4482421875)"
2,55843.68617578122,"(19524.552734375, 9615.87890625)"
2,56906.29817578122,"(17304.31640625, 13524.892578125)"
2,58250.67556640622,"(9226.587890625, 13516.6669921875)"
2,59093.422699218725,"(5592.54638671875, 14485.0361328125)"
2,60116.51464453123,"(9693.5595703125, 12731.244140625)"
