camion_id,timestamps,camion_pos
0,32495.0,"(4714.951171875, 4801.8740234375)"
0,33390.16381362012,"(8844.4208984375, 10640.830078125)"
0,34772.394674314644,"(1433.197021484375, 1174.5919189453125)"
0,36820.35193223525,"(9889.1220703125, 17830.634765625)"
0,38267.83498377107,"(17456.154296875, 7662.48095703125)"
0,40015.69827806784,"(2005.50732421875, 10326.5078125)"
0,41348.35972319472,"(9963.75, 18664.92578125)"
0,42467.22651987005,"(1307.90966796875, 15028.5107421875)"
0,44240.04703418763,"(17223.2578125, 14388.6572265625)"
0,44942.3205912188,"(14510.232421875, 9925.87109375)"
0,45675.94514995107,"(11847.0361328125, 14779.4677734375)"
0,46829.114042817106,"(2263.793212890625, 13086.1796875)"
0,48375.5542557973,"(11128.8310546875, 2687.766845703125)"
0,49780.704424018426,"(2218.49658203125, 11096.4072265625)"
0,50752.845560154965,"(9867.8837890625, 9038.341796875)"
0,51467.14683361828,"(4533.06298828125, 8742.5849609375)"
0,51784.21577541228,"(4841.693359375, 10078.076171875)"
0,52922.62594355426,"(3800.852783203125, 19605.4921875)"
0,54578.64567652166,"(10582.4658203125, 6495.4521484375)"
0,55638.35086310233,"(8323.7509765625, 14997.5888671875)"
0,57024.4552530455,"(17564.16796875, 7246.23583984375)"
0,57714.89056843272,"(14256.3955078125, 11133.7880859375)"
0,58541.540202712786,"(15182.6513671875, 4733.9736328125)"
0,59011.97037025351,"(16351.7822265625, 2075.383544921875)"
0,59325.00999774514,"(15079.8544921875, 2465.452880859375)"
0,59987.32048296054,"(16443.21875, 7091.85302734375)"
0,60539.47047395207,"(14556.7666015625, 10299.7900390625)"
1,34056.0,"(6736.9765625, 16744.11328125)"
1,35851.453789046864,"(15789.591796875, 3364.3056640625)"
1,37885.78657475452,"(6601.14013671875, 19471.0546875)"
1,39017.72979844066,"(4858.333984375, 10112.517578125)"
1,39902.818341166385,"(10612.7109375, 6037.9462890625)"
1,41075.410514878844,"(10219.9345703125, 15956.09375)"
1,42324.626553834336,"(8180.24169921875, 5460.28759765625)"
1,42948.76897981039,"(4453.91162109375, 7877.04443359375)"
1,44016.644027660375,"(3703.808837890625, 16724.052734375)"
1,45716.80781239364,"(16023.5283203125, 7818.19482421875)"
1,46432.977551408156,"(13143.5322265625, 3295.64892578125)"
1,46727.38118978461,"(14152.205078125, 3835.462158203125)"
1,48026.14097519592,"(2983.3974609375, 4483.599609375)"
1,48455.82246449489,"(1703.4581298828125, 6627.390625)"
1,49219.91635768114,"(1421.709716796875, 12461.5302734375)"
1,50273.46149209379,"(9326.880859375, 8744.4912109375)"
1,50791.086654192346,"(6031.15283203125, 9477.4658203125)"
1,51409.24839383627,"(6653.5546875, 13814.65234375)"
1,52000.37807211448,"(5319.84765625, 9925.6953125)"
1,52334.83894961323,"(3925.868408203125, 10591.005859375)"
1,52574.60620603261,"(3473.693603515625, 10981.8388671875)"
1,53221.19881392852,"(8139.61962890625, 10982.5458984375)"
1,53808.434078826554,"(4670.74365234375, 8849.2490234375)"
1,54087.60458108074,"(4033.358154296875, 9608.998046875)"
1,54428.811543583215,"(2768.43994140625, 8609.623046875)"
1,55191.42419931526,"(2578.970947265625, 14432.66796875)"
1,55742.00183437137,"(1371.6220703125, 10929.0859375)"
1,56265.770020312455,"(4648.44140625, 11968.3701171875)"
1,56727.30847887188,"(4492.3759765625, 14779.42578125)"
1,57461.49331362152,"(9582.7578125, 12588.513671875)"
1,57740.90787992121,"(9226.587890625, 13516.6669921875)"
1,58110.0875255252,"(8322.419921875, 15178.4052734375)"
1,58770.38828544361,"(6208.6396484375, 19491.271484375)"
1,59454.78855608558,"(5592.54638671875, 14485.0361328125)"
1,60080.81653148478,"(9693.5595703125, 12731.244140625)"
1,60408.81259382005,"(8917.0615234375, 13991.138671875)"
2,35837.0,"(16773.78125, 6731.4326171875)"
2,36373.26394572833,"(17799.2578125, 10143.2939453125)"
2,36731.67848968057,"(16150.8935546875, 9460.6005859375)"
2,37311.422182976494,"(19003.787109375, 6660.51123046875)"
2,38948.51442592658,"(12447.419921875, 19673.037109375)"
2,41092.96390005635,"(19427.7578125, 1310.546630859375)"
2,42644.55712389875,"(5814.5244140625, 2985.859619140625)"
2,44551.21038534647,"(19457.189453125, 13569.376953125)"
2,45860.89309311958,"(9941.7109375, 19658.216796875)"
2,46491.22615924668,"(10838.849609375, 15245.1533203125)"
2,47133.85595599371,"(6293.61572265625, 16107.4072265625)"
2,47484.92770435849,"(6620.751953125, 17786.5546875)"
2,49407.148230040715,"(12360.607421875, 1337.016845703125)"
2,50342.20000898121,"(16010.310546875, 7946.85693359375)"
2,51125.22598631603,"(11282.08984375, 4204.1357421875)"
2,52295.259111715735,"(11209.4072265625, 14104.2001953125)"
2,53390.95270822813,"(18369.193359375, 8395.703125)"
2,53902.94081782467,"(18509.427734375, 11712.62109375)"
2,54831.67694922001,"(11643.95703125, 14700.244140625)"
2,55487.19793241018,"(12498.880859375, 19377.970703125)"
2,56416.18447090061,"(9249.2802734375, 12629.7724609375)"
2,57288.72279142107,"(15354.1962890625, 15899.4716796875)"
2,58336.9225284533,"(10889.0966796875, 8453.669921875)"
2,59033.888039299156,"(10206.931640625, 3329.22021484375)"
2,59578.32745441105,"(7197.13818359375, 5384.15380859375)"
2,60025.1365609288,"(4614.64013671875, 6054.537109375)"
2,60718.654909067205,"(9529.7236328125, 7541.837890625)"
