tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi
1000000000000.0,1000000000000.0,1000000000000.0,61020
32495.0,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,32788.0,1000000000000.0,1000000000000
1000000000000.0,35398.35453320313,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,32160.0,1000000000000
34921.6606484375,1000000000000.0,1000000000000.0,1000000000000
37710.1736796875,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,39325.362238281254,1000000000000.0,1000000000000
38667.7161640625,1000000000000.0,1000000000000.0,1000000000000
41231.665203125,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,34056.0,1000000000000
1000000000000.0,1000000000000.0,37466.268890625,1000000000000
42444.9820625,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,40105.66062109375,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,39857.78025,1000000000000
1000000000000.0,41884.25405078125,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,41474.302171874995,1000000000000
1000000000000.0,42866.07526562501,1000000000000.0,1000000000000
1000000000000.0,44605.02724609376,1000000000000.0,1000000000000
44154.19087109375,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59741
45729.3515703125,1000000000000.0,1000000000000.0,1000000000000
46548.3282265625,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60862
1000000000000.0,1000000000000.0,42919.239445312494,1000000000000
1000000000000.0,1000000000000.0,44097.083999999995,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60265
1000000000000.0,1000000000000.0,45161.68851562499,1000000000000
47064.0005234375,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58744
1000000000000.0,1000000000000.0,1000000000000.0,45316
1000000000000.0,45641.024980468756,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60431
1000000000000.0,1000000000000.0,1000000000000.0,60058
1000000000000.0,1000000000000.0,1000000000000.0,59534
1000000000000.0,1000000000000.0,1000000000000.0,45405
1000000000000.0,1000000000000.0,46241.947371093745,1000000000000
1000000000000.0,47504.758726562504,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,46892
1000000000000.0,1000000000000.0,1000000000000.0,47546
47498.847546875,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,46918.30612719726,1000000000000
1000000000000.0,48925.16611328125,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59601
48521.83159765624,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59606
1000000000000.0,1000000000000.0,1000000000000.0,59893
1000000000000.0,1000000000000.0,48033.68527001953,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59484
1000000000000.0,1000000000000.0,48706.70243994141,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,48515
1000000000000.0,50078.53397265625,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,49767.39032080078,1000000000000
50103.57846874999,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,48966
1000000000000.0,1000000000000.0,1000000000000.0,50151
50819.07692187499,1000000000000.0,1000000000000.0,1000000000000
51900.36673437499,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,50835.211503906256,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,49726
1000000000000.0,1000000000000.0,1000000000000.0,59858
1000000000000.0,1000000000000.0,1000000000000.0,59515
1000000000000.0,1000000000000.0,1000000000000.0,50156
1000000000000.0,1000000000000.0,50873.88241845703,1000000000000
1000000000000.0,51804.510554687506,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60112
1000000000000.0,1000000000000.0,1000000000000.0,59637
1000000000000.0,1000000000000.0,1000000000000.0,59639
1000000000000.0,1000000000000.0,51350.42014892578,1000000000000
1000000000000.0,52185.22999609375,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50775
1000000000000.0,1000000000000.0,51651.813273925785,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,50293
1000000000000.0,1000000000000.0,1000000000000.0,60000
1000000000000.0,1000000000000.0,1000000000000.0,60254
1000000000000.0,1000000000000.0,1000000000000.0,59495
1000000000000.0,1000000000000.0,1000000000000.0,58923
1000000000000.0,1000000000000.0,52503.808434082035,1000000000000
53066.89385937499,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60062
1000000000000.0,1000000000000.0,1000000000000.0,51961
1000000000000.0,1000000000000.0,1000000000000.0,52161
53744.72379687499,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59382
1000000000000.0,1000000000000.0,1000000000000.0,52791
1000000000000.0,1000000000000.0,1000000000000.0,52347
1000000000000.0,1000000000000.0,1000000000000.0,52019
1000000000000.0,1000000000000.0,53490.521324707035,1000000000000
1000000000000.0,53214.537847656255,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,53871.708695800786,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,60659
1000000000000.0,1000000000000.0,54377.76691845703,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,53571
1000000000000.0,54832.87994921875,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,53636
1000000000000.0,1000000000000.0,1000000000000.0,59588
1000000000000.0,1000000000000.0,1000000000000.0,60744
55278.08814453124,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,53924
1000000000000.0,1000000000000.0,55232.39355908203,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,54419
1000000000000.0,1000000000000.0,1000000000000.0,54511
1000000000000.0,1000000000000.0,1000000000000.0,59558
1000000000000.0,1000000000000.0,1000000000000.0,54788
1000000000000.0,55655.86132421876,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58400
1000000000000.0,1000000000000.0,1000000000000.0,53753
1000000000000.0,1000000000000.0,1000000000000.0,58964
56069.79705078124,1000000000000.0,1000000000000.0,1000000000000
56416.97029296874,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,55526
1000000000000.0,1000000000000.0,1000000000000.0,59563
1000000000000.0,56593.62405859376,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,55439
1000000000000.0,1000000000000.0,1000000000000.0,55700
1000000000000.0,57200.889496093754,1000000000000.0,1000000000000
57028.83258593749,1000000000000.0,1000000000000.0,1000000000000
57646.86223437499,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,56291.98894189453,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59665
1000000000000.0,1000000000000.0,1000000000000.0,59396
1000000000000.0,57947.92982031251,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,55844
1000000000000.0,1000000000000.0,56656.93148876953,1000000000000
1000000000000.0,1000000000000.0,57206.42198876953,1000000000000
1000000000000.0,1000000000000.0,58311.85908251953,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58358
58646.24487499999,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59424
1000000000000.0,1000000000000.0,1000000000000.0,57091
1000000000000.0,58646.37362500001,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,57786
1000000000000.0,1000000000000.0,1000000000000.0,60736
1000000000000.0,1000000000000.0,59301.47440283203,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59173
1000000000000.0,1000000000000.0,1000000000000.0,59203
1000000000000.0,1000000000000.0,1000000000000.0,59848
59555.56557031249,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58652
1000000000000.0,1000000000000.0,1000000000000.0,59061
1000000000000.0,1000000000000.0,1000000000000.0,58507
1000000000000.0,1000000000000.0,1000000000000.0,59543
1000000000000.0,1000000000000.0,1000000000000.0,59010
1000000000000.0,59247.92423828126,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59464
1000000000000.0,1000000000000.0,1000000000000.0,60521
1000000000000.0,1000000000000.0,60324.56634814453,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59707
1000000000000.0,1000000000000.0,1000000000000.0,59669
1000000000000.0,1000000000000.0,1000000000000.0,59177
1000000000000.0,1000000000000.0,1000000000000.0,59146
1000000000000.0,1000000000000.0,1000000000000.0,59226
1000000000000.0,1000000000000.0,1000000000000.0,59079
1000000000000.0,1000000000000.0,1000000000000.0,60044
1000000000000.0,1000000000000.0,1000000000000.0,58553
1000000000000.0,1000000000000.0,1000000000000.0,59602
1000000000000.0,1000000000000.0,1000000000000.0,58966
1000000000000.0,1000000000000.0,1000000000000.0,60289
1000000000000.0,1000000000000.0,1000000000000.0,59949
60382.16438281249,1000000000000.0,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,58965
1000000000000.0,1000000000000.0,1000000000000.0,59470
1000000000000.0,1000000000000.0,1000000000000.0,60242
1000000000000.0,1000000000000.0,1000000000000.0,59185
1000000000000.0,1000000000000.0,1000000000000.0,59507
1000000000000.0,1000000000000.0,1000000000000.0,58910
1000000000000.0,1000000000000.0,1000000000000.0,59350
1000000000000.0,1000000000000.0,1000000000000.0,58936
1000000000000.0,1000000000000.0,1000000000000.0,59238
1000000000000.0,1000000000000.0,1000000000000.0,58478
1000000000000.0,1000000000000.0,1000000000000.0,58837
1000000000000.0,59453.77037500001,1000000000000.0,1000000000000
1000000000000.0,1000000000000.0,1000000000000.0,59892
1000000000000.0,1000000000000.0,1000000000000.0,59302
1000000000000.0,1000000000000.0,1000000000000.0,60096
1000000000000.0,1000000000000.0,1000000000000.0,60320
1000000000000.0,1000000000000.0,1000000000000.0,58999
1000000000000.0,1000000000000.0,1000000000000.0,59585
1000000000000.0,1000000000000.0,1000000000000.0,59565
1000000000000.0,1000000000000.0,1000000000000.0,59262
1000000000000.0,1000000000000.0,1000000000000.0,59986
1000000000000.0,1000000000000.0,1000000000000.0,58895
1000000000000.0,1000000000000.0,1000000000000.0,59778
1000000000000.0,1000000000000.0,1000000000000.0,59938
1000000000000.0,1000000000000.0,1000000000000.0,59947
1000000000000.0,1000000000000.0,1000000000000.0,59416
1000000000000.0,1000000000000.0,1000000000000.0,59935
1000000000000.0,1000000000000.0,1000000000000.0,60095
1000000000000.0,1000000000000.0,1000000000000.0,59152
