t,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y
32400,10000.0,10000.0,10000.0,10000.0,9889.1220703125,17830.634765625
32401,9993.055555555555,10000.0,9993.055555555555,10000.0,9889.1220703125,17830.634765625
32402,9986.11111111111,10000.0,9986.11111111111,10000.0,9882.177625868055,17830.634765625
32403,9979.166666666664,10000.0,9979.166666666664,10000.0,9875.23318142361,17830.634765625
32404,9972.222222222219,10000.0,9972.222222222219,10000.0,9868.288736979164,17830.634765625
32405,9965.277777777774,10000.0,9965.277777777774,10000.0,9861.344292534719,17830.634765625
32406,9958.333333333328,10000.0,9958.333333333328,10000.0,9854.399848090274,17830.634765625
32407,9951.388888888883,10000.0,9951.388888888883,10000.0,9847.455403645828,17830.634765625
32408,9944.444444444438,10000.0,9944.444444444438,10000.0,9840.510959201383,17830.634765625
32409,9937.499999999993,10000.0,9937.499999999993,10000.0,9833.566514756938,17830.634765625
32410,9930.555555555547,10000.0,9930.555555555547,10000.0,9826.622070312493,17830.634765625
32411,9923.611111111102,10000.0,9923.611111111102,10000.0,9819.677625868047,17830.634765625
32412,9916.666666666657,10000.0,9916.666666666657,10000.0,9812.733181423602,17830.634765625
32413,9909.722222222212,10000.0,9909.722222222212,10000.0,9805.788736979157,17830.634765625
32414,9902.777777777766,10000.0,9902.777777777766,10000.0,9798.844292534712,17830.634765625
32415,9895.833333333321,10000.0,9895.833333333321,10000.0,9791.899848090266,17830.634765625
32416,9888.888888888876,10000.0,9888.888888888876,10000.0,9784.955403645821,17830.634765625
32417,9881.94444444443,10000.0,9881.94444444443,10000.0,9778.010959201376,17830.634765625
32418,9874.999999999985,10000.0,9874.999999999985,10000.0,9771.06651475693,17830.634765625
32419,9868.05555555554,10000.0,9868.05555555554,10000.0,9764.122070312485,17830.634765625
32420,9861.111111111095,10000.0,9861.111111111095,10000.0,9757.17762586804,17830.634765625
32421,9854.16666666665,10000.0,9854.16666666665,10000.0,9750.233181423595,17830.634765625
32422,9847.222222222204,10000.0,9847.222222222204,10000.0,9743.28873697915,17830.634765625
32423,9840.27777777776,10000.0,9840.27777777776,10000.0,9736.344292534704,17830.634765625
32424,9833.333333333314,10000.0,9833.333333333314,10000.0,9729.39984809026,17830.634765625
32425,9826.388888888869,10000.0,9826.388888888869,10000.0,9722.455403645814,17830.634765625
32426,9819.444444444423,10000.0,9819.444444444423,10000.0,9715.510959201369,17830.634765625
32427,9812.499999999978,10000.0,9812.499999999978,10000.0,9708.566514756923,17830.634765625
32428,9805.555555555533,10000.0,9805.555555555533,10000.0,9701.622070312478,17830.634765625
32429,9798.611111111088,10000.0,9798.611111111088,10000.0,9694.677625868033,17830.634765625
32430,9791.666666666642,10000.0,9791.666666666642,10000.0,9687.733181423588,17830.634765625
32431,9784.722222222197,10000.0,9784.722222222197,10000.0,9680.788736979142,17830.634765625
32432,9777.777777777752,10000.0,9777.777777777752,10000.0,9673.844292534697,17830.634765625
32433,9770.833333333307,10000.0,9770.833333333307,10000.0,9666.899848090252,17830.634765625
32434,9763.888888888861,10000.0,9763.888888888861,10000.0,9659.955403645807,17830.634765625
32435,9756.944444444416,10000.0,9756.944444444416,10000.0,9653.010959201361,17830.634765625
32436,9749.99999999997,10000.0,9749.99999999997,10000.0,9646.066514756916,17830.634765625
32437,9743.055555555526,10000.0,9743.055555555526,10000.0,9639.12207031247,17830.634765625
32438,9736.11111111108,10000.0,9736.11111111108,10000.0,9632.177625868026,17830.634765625
32439,9729.166666666635,10000.0,9729.166666666635,10000.0,9625.23318142358,17830.634765625
32440,9722.22222222219,10000.0,9722.22222222219,10000.0,9618.288736979135,17830.634765625
32441,9715.277777777745,10000.0,9715.277777777745,10000.0,9611.34429253469,17830.634765625
32442,9708.3333333333,10000.0,9708.3333333333,10000.0,9604.399848090245,17830.634765625
32443,9701.388888888854,10000.0,9701.388888888854,10000.0,9597.4554036458,17830.634765625
32444,9694.444444444409,10000.0,9694.444444444409,10000.0,9590.510959201354,17830.634765625
32445,9687.499999999964,10000.0,9687.499999999964,10000.0,9583.566514756909,17830.634765625
32446,9680.555555555518,10000.0,9680.555555555518,10000.0,9576.622070312464,17830.634765625
32447,9673.611111111073,10000.0,9673.611111111073,10000.0,9569.677625868018,17830.634765625
32448,9666.666666666628,10000.0,9666.666666666628,10000.0,9562.733181423573,17830.634765625
32449,9659.722222222183,10000.0,9659.722222222183,10000.0,9555.788736979128,17830.634765625
32450,9652.777777777737,10000.0,9652.777777777737,10000.0,9548.844292534683,17830.634765625
32451,9645.833333333292,10000.0,9645.833333333292,10000.0,9541.899848090237,17830.634765625
32452,9638.888888888847,10000.0,9638.888888888847,10000.0,9534.955403645792,17830.634765625
32453,9631.944444444402,10000.0,9631.944444444402,10000.0,9528.010959201347,17830.634765625
32454,9624.999999999956,10000.0,9624.999999999956,10000.0,9521.066514756902,17830.634765625
32455,9618.055555555511,10000.0,9618.055555555511,10000.0,9514.122070312456,17830.634765625
32456,9611.111111111066,10000.0,9611.111111111066,10000.0,9507.177625868011,17830.634765625
32457,9604.16666666662,10000.0,9604.16666666662,10000.0,9500.233181423566,17830.634765625
32458,9597.222222222175,10000.0,9597.222222222175,10000.0,9493.28873697912,17830.634765625
32459,9590.27777777773,10000.0,9590.27777777773,10000.0,9486.344292534675,17830.634765625
32460,9583.333333333285,10000.0,9583.333333333285,10000.0,9479.39984809023,17830.634765625
32461,9576.38888888884,10000.0,9576.38888888884,10000.0,9472.455403645785,17830.634765625
32462,9569.444444444394,10000.0,9569.444444444394,10000.0,9465.51095920134,17830.634765625
32463,9562.499999999949,10000.0,9562.499999999949,10000.0,9458.566514756894,17830.634765625
32464,9555.555555555504,10000.0,9555.555555555504,10000.0,9451.622070312449,17830.634765625
32465,9548.611111111059,10000.0,9548.611111111059,10000.0,9444.677625868004,17830.634765625
32466,9541.666666666613,10000.0,9541.666666666613,10000.0,9437.733181423559,17830.634765625
32467,9534.722222222168,10000.0,9534.722222222168,10000.0,9430.788736979113,17830.634765625
32468,9527.777777777723,10000.0,9527.777777777723,10000.0,9423.844292534668,17830.634765625
32469,9520.833333333278,10000.0,9520.833333333278,10000.0,9416.899848090223,17830.634765625
32470,9513.888888888832,10000.0,9513.888888888832,10000.0,9409.955403645778,17830.634765625
32471,9506.944444444387,10000.0,9506.944444444387,10000.0,9403.010959201332,17830.634765625
32472,9499.999999999942,10000.0,9499.999999999942,10000.0,9396.066514756887,17830.634765625
32473,9493.055555555497,10000.0,9493.055555555497,10000.0,9389.122070312442,17830.634765625
32474,9486.111111111051,10000.0,9486.111111111051,10000.0,9382.177625867997,17830.634765625
32475,9479.166666666606,10000.0,9479.166666666606,10000.0,9375.233181423551,17830.634765625
32476,9472.22222222216,10000.0,9472.22222222216,10000.0,9368.288736979106,17830.634765625
32477,9465.277777777716,10000.0,9465.277777777716,10000.0,9361.34429253466,17830.634765625
32478,9458.33333333327,10000.0,9458.33333333327,10000.0,9354.399848090216,17830.634765625
32479,9451.388888888825,10000.0,9451.388888888825,10000.0,9347.45540364577,17830.634765625
32480,9444.44444444438,10000.0,9444.44444444438,10000.0,9340.510959201325,17830.634765625
32481,9437.499999999935,10000.0,9437.499999999935,10000.0,9333.56651475688,17830.634765625
32482,9430.55555555549,10000.0,9430.55555555549,10000.0,9326.622070312435,17830.634765625
32483,9423.611111111044,10000.0,9423.611111111044,10000.0,9319.67762586799,17830.634765625
32484,9416.666666666599,10000.0,9416.666666666599,10000.0,9312.733181423544,17830.634765625
32485,9409.722222222154,10000.0,9409.722222222154,10000.0,9305.788736979099,17830.634765625
32486,9402.777777777708,10000.0,9402.777777777708,10000.0,9298.844292534654,17830.634765625
32487,9395.833333333263,10000.0,9395.833333333263,10000.0,9291.899848090208,17830.634765625
32488,9388.888888888818,10000.0,9388.888888888818,10000.0,9284.955403645763,17830.634765625
32489,9381.944444444372,10000.0,9381.944444444372,10000.0,9278.010959201318,17830.634765625
32490,9374.999999999927,10000.0,9374.999999999927,10000.0,9271.066514756872,17830.634765625
32491,9368.055555555482,10000.0,9368.055555555482,10000.0,9264.122070312427,17830.634765625
32492,9361.111111111037,10000.0,9361.111111111037,10000.0,9257.177625867982,17830.634765625
32493,9354.166666666591,10000.0,9354.166666666591,10000.0,9250.233181423537,17830.634765625
32494,9347.222222222146,10000.0,9347.222222222146,10000.0,9243.288736979091,17830.634765625
32495,9340.277777777701,10000.0,9340.277777777701,10000.0,9236.344292534646,17830.634765625
32496,4714.951171875,4801.8740234375,9333.333333333256,10000.0,9229.399848090201,17830.634765625
32497,4714.951171875,4801.8740234375,9326.38888888881,10000.0,9222.455403645756,17830.634765625
32498,4721.895616319444,4801.8740234375,9319.444444444365,10000.0,9215.51095920131,17830.634765625
32499,4728.840060763889,4801.8740234375,9312.49999999992,10000.0,9208.566514756865,17830.634765625
32500,4735.784505208333,4801.8740234375,9305.555555555475,10000.0,9201.62207031242,17830.634765625
32501,4742.728949652777,4801.8740234375,9298.61111111103,10000.0,9194.677625867975,17830.634765625
32502,4749.673394097222,4801.8740234375,9291.666666666584,10000.0,9187.73318142353,17830.634765625
32503,4756.617838541666,4801.8740234375,9284.722222222139,10000.0,9180.788736979084,17830.634765625
32504,4763.56228298611,4801.8740234375,9277.777777777694,10000.0,9173.844292534639,17830.634765625
32505,4770.506727430555,4801.8740234375,9270.833333333248,10000.0,9166.899848090194,17830.634765625
32506,4777.451171874999,4801.8740234375,9263.888888888803,10000.0,9159.955403645748,17830.634765625
32507,4784.395616319443,4801.8740234375,9256.944444444358,10000.0,9153.010959201303,17830.634765625
32508,4791.340060763888,4801.8740234375,9249.999999999913,10000.0,9146.066514756858,17830.634765625
32509,4798.284505208332,4801.8740234375,9243.055555555467,10000.0,9139.122070312413,17830.634765625
32510,4805.2289496527765,4801.8740234375,9236.111111111022,10000.0,9132.177625867967,17830.634765625
32511,4812.173394097221,4801.8740234375,9229.166666666577,10000.0,9125.233181423522,17830.634765625
32512,4819.117838541665,4801.8740234375,9222.222222222132,10000.0,9118.288736979077,17830.634765625
32513,4826.0622829861095,4801.8740234375,9215.277777777686,10000.0,9111.344292534632,17830.634765625
32514,4833.006727430554,4801.8740234375,9208.333333333241,10000.0,9104.399848090186,17830.634765625
32515,4839.951171874998,4801.8740234375,9201.388888888796,10000.0,9097.455403645741,17830.634765625
32516,4846.8956163194425,4801.8740234375,9194.44444444435,10000.0,9090.510959201296,17830.634765625
32517,4853.840060763887,4801.8740234375,9187.499999999905,10000.0,9083.56651475685,17830.634765625
32518,4860.784505208331,4801.8740234375,9180.55555555546,10000.0,9076.622070312405,17830.634765625
32519,4867.728949652776,4801.8740234375,9173.611111111015,10000.0,9069.67762586796,17830.634765625
32520,4874.67339409722,4801.8740234375,9166.66666666657,10000.0,9062.733181423515,17830.634765625
