replica,num_rows
0,193
1,186
2,205
3,195
4,230
5,218
6,185
7,192
8,191
9,205
10,209
11,187
12,204
13,226
14,181
15,186
16,210
17,210
18,173
19,201
20,207
21,207
22,188
23,183
24,195
25,180
26,238
27,199
28,196
29,247
30,216
31,220
32,220
33,196
34,210
35,220
36,192
37,200
38,210
39,204
40,228
41,229
42,190
43,193
44,196
45,194
46,200
47,213
48,199
49,203
50,184
51,211
52,211
53,205
54,195
55,191
56,205
57,187
58,182
59,203
60,212
61,204
62,201
63,217
64,217
65,198
66,211
67,183
68,193
69,218
70,190
71,189
72,226
73,207
74,219
75,206
76,211
77,185
78,191
79,202
80,209
81,201
82,191
83,203
84,202
85,187
86,196
87,183
88,196
89,197
90,212
91,206
92,192
93,204
94,166
95,196
96,199
97,207
98,184
99,211
