replica,arrivals
0,32400
0,31606
0,31648
0,31780
0,32103
0,32123
0,32939
0,32961
0,33315
0,33427
0,33457
0,33837
0,33881
0,34064
0,34076
0,34421
0,34542
0,35189
0,35520
0,35800
0,36839
0,36847
0,36924
0,37176
0,37352
0,37411
0,37452
0,37624
0,37734
0,37839
0,38567
0,39132
0,39225
0,39590
0,39701
0,39782
0,39783
0,39840
0,39869
0,39912
0,39943
0,40000
0,40039
0,40198
0,40213
0,40247
0,40376
0,40458
0,40524
0,40554
0,40643
0,40702
0,40854
0,40908
0,41180
0,41191
0,41199
0,41229
0,41250
0,41325
0,41342
0,41389
0,41565
0,41924
0,41949
0,41989
0,42024
0,42056
0,42136
0,42285
0,42487
0,42629
0,42725
0,42733
0,42749
0,42763
0,42776
0,42951
0,43104
0,43162
0,43217
0,43267
0,43271
0,43295
0,43448
0,43550
0,43639
0,43673
0,43681
0,43729
0,43973
0,43977
0,44023
0,44026
0,44034
0,44048
0,44190
0,44260
0,44389
0,44529
0,44556
0,44612
0,44677
0,44763
0,44861
0,44890
0,44909
0,44983
0,45081
0,45096
0,45167
0,45430
0,45457
0,45611
0,45670
0,45695
0,45731
0,45768
0,45773
0,45837
0,45905
0,45938
0,46011
0,46014
0,46123
0,46161
0,46231
0,46332
0,46555
0,46575
0,46595
0,46614
0,46843
0,47111
0,47123
0,47288
0,47307
0,47938
0,48038
0,48179
0,48223
0,48303
0,48447
0,48591
0,48609
0,48782
0,49035
0,49066
0,49179
0,49200
0,49320
0,49446
0,49545
0,49577
0,49747
0,49815
0,49856
0,49864
0,49984
0,50056
0,50293
0,50408
0,50464
0,50731
0,50737
0,50787
0,50791
0,51016
0,51252
0,51502
0,51875
0,51908
0,52088
0,52278
0,52418
0,52424
0,52771
0,52817
0,53005
0,53575
0,53586
0,53723
0,53835
0,53941
0,54015
0,54050
0,54281
0,54296
0,54332
0,54582
0,54611
0,54635
0,54905
1,32400
1,32394
1,32884
1,33173
1,33198
1,33241
1,33475
1,33902
1,34259
1,34578
1,34691
1,34737
1,34756
1,34888
1,34994
1,35206
1,35249
1,35744
1,35931
1,36320
1,37333
1,37911
1,37936
1,37974
1,38175
1,38332
1,38498
1,38692
1,38829
1,38963
1,39152
1,39230
1,39271
1,39388
1,39395
1,39434
1,39463
1,39474
1,39554
1,39647
1,39708
1,39796
1,39873
1,40042
1,40092
1,40133
1,40155
1,40168
1,40241
1,40254
1,40312
1,40366
1,40550
1,40706
1,40728
1,40742
1,40763
1,40780
1,40784
1,40872
1,40875
1,41000
1,41085
1,41191
1,41213
1,41218
1,41246
1,41409
1,41416
1,41432
1,41449
1,41482
1,41545
1,41546
1,41552
1,41715
1,41719
1,41815
1,41816
1,41823
1,41889
1,41963
1,42098
1,42134
1,42190
1,42221
1,42239
1,42245
1,42328
1,42442
1,42458
1,42567
1,42781
1,42851
1,42859
1,42912
1,42918
1,42968
1,42971
1,43007
1,43040
1,43067
1,43098
1,43137
1,43220
1,43254
1,43416
1,43651
1,43667
1,43698
1,43699
1,43707
1,43769
1,43788
1,43860
1,43903
1,44021
1,44051
1,44054
1,44149
1,44183
1,44306
1,44362
1,44417
1,44699
1,45080
1,45108
1,45197
1,45253
1,45600
1,45664
1,45676
1,45754
1,45874
1,45936
1,46004
1,46252
1,46281
1,46581
1,46831
1,46872
1,46913
1,47495
1,47555
1,47699
1,47744
1,47908
1,48136
1,48367
1,48572
1,48630
1,48745
1,48921
1,49177
1,49186
1,49264
1,49315
1,49450
1,49735
1,49823
1,50060
1,50105
1,50364
1,50696
1,50819
1,51213
1,51319
1,51328
1,51490
1,51712
1,51796
1,52021
1,52090
1,52268
1,52405
1,52971
1,53081
1,53228
1,53236
1,53412
1,53497
1,53717
1,53827
1,53889
1,54492
1,54822
2,32400
2,31607
2,32064
2,32490
2,32599
2,32706
2,32726
2,32767
2,32947
2,32957
2,33140
2,33340
2,33341
2,33566
2,33649
2,33772
2,33780
2,33806
2,34189
2,34215
2,34238
2,34380
2,34723
2,34885
2,35201
2,35218
2,35397
2,35477
2,35611
2,35797
2,35926
2,36291
2,36303
2,36343
2,36361
2,36588
2,36669
2,36682
2,36851
2,37727
2,37854
2,38017
2,38117
2,38213
2,38296
2,38539
2,38670
2,38734
2,38789
2,39136
2,39185
2,39216
2,39325
2,39496
2,39619
2,39724
2,39793
2,39854
2,39878
2,39948
2,40110
2,40220
2,40227
2,40254
2,40393
2,40407
2,40485
2,40527
2,40680
2,40805
2,40812
2,41148
2,41257
2,41324
2,41346
2,41358
2,41535
2,41592
2,41611
2,41719
2,41743
2,41900
2,41924
2,41945
2,41998
2,42065
2,42089
2,42162
2,42182
2,42224
2,42358
2,42383
2,42496
2,42543
2,42619
2,42634
2,42722
2,42757
2,42827
2,42834
2,42840
2,42850
2,43069
2,43169
2,43332
2,43403
2,43814
2,43964
2,43991
2,44087
2,44131
2,44149
2,44325
2,44348
2,44428
2,44438
2,44698
2,44781
2,44923
2,45032
2,45293
2,45321
2,45509
2,45641
2,45808
2,45879
2,45898
2,45900
2,45901
2,46048
2,46172
2,46293
2,46433
2,46461
2,46633
2,46637
2,46644
2,46700
2,46717
2,46718
2,46801
2,46957
2,47057
2,47077
2,47138
2,47282
2,47285
2,47307
2,47360
2,47501
2,47520
2,47614
2,47784
2,47874
2,48071
2,48142
2,48754
2,48885
2,48952
2,49257
2,49267
2,49336
2,49369
2,49523
2,49821
2,49968
2,49979
2,49995
2,50251
2,50385
2,50555
2,50570
2,50609
2,50749
2,50815
2,51042
2,51379
2,51619
2,51638
2,51851
2,51942
2,51993
2,52066
2,52159
2,52262
2,52567
2,52576
2,52604
2,52673
2,52913
2,52967
2,53031
2,53075
2,53167
2,53347
2,53610
2,53647
2,53748
2,54048
2,54052
2,54164
2,54192
2,54313
2,54633
2,55121
3,32400
3,31956
3,32066
3,32367
3,32473
3,32532
3,32571
3,32917
3,33382
3,33504
3,33555
3,33961
3,34166
3,34256
3,34307
3,34371
3,34608
3,34760
3,34828
3,35092
3,35440
3,35937
3,36093
3,36205
3,36577
3,36755
3,36877
3,36901
3,36987
3,37124
3,37223
3,37537
3,38192
3,38215
3,38428
3,38583
3,38664
3,38692
3,38716
3,38903
3,39156
3,39207
3,39221
3,39243
3,39265
3,39399
3,39441
3,39508
3,39513
3,39525
3,39592
3,39814
3,39910
3,40010
3,40046
3,40158
3,40163
3,40421
3,40532
3,40583
3,40771
3,40960
3,41014
3,41019
3,41190
3,41237
3,41366
3,41374
3,41474
3,41833
3,41857
3,41858
3,41968
3,41973
3,41993
3,42074
3,42088
3,42157
3,42205
3,42290
3,42354
3,42467
3,42578
3,42618
3,42711
3,42902
3,42979
3,43000
3,43146
3,43382
3,43500
3,43772
3,43918
3,44020
3,44030
3,44046
3,44081
3,44236
3,44329
3,44361
3,44395
3,44491
3,44634
3,44665
3,44702
3,44920
3,45129
3,45284
3,45400
3,45512
3,45528
3,45598
3,45784
3,45787
3,45806
3,45928
3,45979
3,46107
3,46409
3,46455
3,46492
3,46525
3,46531
3,46642
3,46834
3,46934
3,46966
3,47313
3,47320
3,47321
3,47575
3,47896
3,47902
3,47948
3,48005
3,48086
3,48096
3,48326
3,48418
3,48430
3,49066
3,49287
3,49325
3,49474
3,49501
3,49617
3,49688
3,49867
3,49954
3,49955
3,49994
3,50316
3,50387
3,50389
3,50415
3,50575
3,50670
3,50778
3,50888
3,50970
3,50992
3,51007
3,51177
3,51256
3,51259
3,51572
3,51750
3,51795
3,51844
3,51859
3,51864
3,51891
3,51915
3,51975
3,52106
3,52194
3,52312
3,52502
3,52540
3,52573
3,52970
3,53182
3,53242
3,53256
3,53266
3,53267
3,53553
3,54254
3,54296
3,54329
3,54616
3,54634
3,54802
3,54955
3,55200
4,32400
4,31644
4,31719
4,31768
4,31793
4,31915
4,31971
4,31989
4,32003
4,32104
4,32430
4,32523
4,32545
4,32721
4,32759
4,33132
4,33797
4,33892
4,34032
4,34046
4,34071
4,34140
4,34202
4,34218
4,34573
4,34607
4,34703
4,35050
4,35331
4,35539
4,35564
4,35829
4,35898
4,35993
