replica,deadlines
0,61200
0,61200
0,43348
0,61200
0,43803
0,61200
0,44639
0,44661
0,45015
0,45127
0,61200
0,45537
0,61200
0,61200
0,45776
0,46121
0,46242
0,46889
0,47220
0,47500
0,61200
0,48547
0,48624
0,61200
0,49052
0,49111
0,61200
0,49324
0,61200
0,49539
0,50267
0,50832
0,50925
0,51290
0,51401
0,51482
0,61200
0,61200
0,61200
0,51612
0,51643
0,61200
0,51739
0,61200
0,61200
0,51947
0,52076
0,52158
0,52224
0,52254
0,52343
0,52402
0,52554
0,52608
0,61200
0,52891
0,52899
0,61200
0,61200
0,61200
0,53042
0,53089
0,61200
0,53624
0,53649
0,61200
0,53724
0,53756
0,53836
0,61200
0,61200
0,54329
0,61200
0,54433
0,54449
0,54463
0,61200
0,54651
0,54804
0,54862
0,54917
0,54967
0,61200
0,54995
0,61200
0,55250
0,55339
0,55373
0,55381
0,61200
0,55673
0,55677
0,61200
0,55726
0,55734
0,55748
0,55890
0,55960
0,56089
0,61200
0,56256
0,56312
0,61200
0,56463
0,56561
0,56590
0,56609
0,56683
0,56781
0,56796
0,56867
0,61200
0,57157
0,57311
0,57370
0,57395
0,61200
0,57468
0,57473
0,61200
0,57605
0,61200
0,57711
0,61200
0,57823
0,57861
0,57931
0,61200
0,58255
0,58275
0,58295
0,58314
0,61200
0,58811
0,58823
0,58988
0,59007
0,59638
0,59738
0,59879
0,59923
0,60003
0,61200
0,60291
0,61200
0,60482
0,61200
0,61200
0,60879
0,61200
0,61020
0,61200
0,61200
0,61277
0,61200
0,61515
0,61556
0,61564
0,61200
0,61756
0,61200
0,62108
0,61200
0,61200
0,62437
0,61200
0,62491
0,61200
0,61200
0,63202
0,61200
0,61200
0,61200
0,61200
0,64118
0,61200
0,64471
0,64517
0,61200
0,65275
0,61200
0,65423
0,61200
0,61200
0,65715
0,61200
0,61200
0,65996
0,66032
0,61200
0,61200
0,61200
0,61200
1,61200
1,61200
1,44584
1,44873
1,44898
1,61200
1,61200
1,61200
1,61200
1,46278
1,61200
1,61200
1,46456
1,61200
1,46694
1,46906
1,46949
1,47444
1,47631
1,61200
1,49033
1,49611
1,49636
1,49674
1,49875
1,50032
1,61200
1,61200
1,50529
1,50663
1,50852
1,50930
1,50971
1,51088
1,51095
1,61200
1,51163
1,51174
1,51254
1,51347
1,51408
1,51496
1,51573
1,51742
1,51792
1,61200
1,51855
1,51868
1,61200
1,51954
1,52012
1,52066
1,52250
1,52406
1,52428
1,52442
1,52463
1,52480
1,52484
1,52572
1,61200
1,52700
1,52785
1,52891
1,52913
1,52918
1,61200
1,61200
1,61200
1,53132
1,53149
1,53182
1,53245
1,53246
1,53252
1,53415
1,61200
1,53515
1,53516
1,53523
1,53589
1,53663
1,53798
1,53834
1,53890
1,53921
1,53939
1,61200
1,61200
1,61200
1,54158
1,61200
1,54481
1,61200
1,61200
1,54612
1,61200
1,61200
1,54671
1,54707
1,61200
1,61200
1,54798
1,61200
1,61200
1,54954
1,55116
1,61200
1,55367
1,61200
1,55399
1,61200
1,61200
1,55488
1,61200
1,55603
1,55721
1,55751
1,55754
1,61200
1,55883
1,61200
1,56062
1,56117
1,61200
1,61200
1,61200
1,61200
1,56953
1,57300
1,57364
1,57376
1,57454
1,61200
1,61200
1,57704
1,57952
1,61200
1,58281
1,58531
1,61200
1,61200
1,59195
1,59255
1,59399
1,59444
1,59608
1,59836
1,60067
1,60272
1,60330
1,60445
1,60621
1,60877
1,60886
1,61200
1,61015
1,61150
1,61435
1,61200
1,61760
1,61805
1,61200
1,61200
1,62519
1,61200
1,63019
1,63028
1,61200
1,63412
1,63496
1,61200
1,63790
1,63968
1,64105
1,61200
1,64781
1,64928
1,64936
1,65112
1,65197
1,65417
1,65527
1,61200
1,61200
1,61200
2,61200
2,43307
2,43764
2,61200
2,61200
2,44406
2,44426
2,44467
2,61200
2,44657
2,61200
2,45040
2,45041
2,61200
2,45349
2,45472
2,61200
2,45506
2,45889
2,45915
2,61200
2,46080
2,46423
2,61200
2,46901
2,46918
2,61200
2,47177
2,47311
2,47497
2,47626
2,47991
2,48003
2,48043
2,48061
2,61200
2,61200
2,48382
2,61200
2,49427
2,49554
2,49717
2,49817
