replica,ready_times
0,32400
0,31606
0,32548
0,31780
0,33003
0,32123
0,33839
0,33861
0,34215
0,34327
0,33457
0,34737
0,33881
0,34064
0,34976
0,35321
0,35442
0,36089
0,36420
0,36700
0,36839
0,37747
0,37824
0,37176
0,38252
0,38311
0,37452
0,38524
0,37734
0,38739
0,39467
0,40032
0,40125
0,40490
0,40601
0,40682
0,39783
0,39840
0,39869
0,40812
0,40843
0,40000
0,40939
0,40198
0,40213
0,41147
0,41276
0,41358
0,41424
0,41454
0,41543
0,41602
0,41754
0,41808
0,41180
0,42091
0,42099
0,41229
0,41250
0,41325
0,42242
0,42289
0,41565
0,42824
0,42849
0,41989
0,42924
0,42956
0,43036
0,42285
0,42487
0,43529
0,42725
0,43633
0,43649
0,43663
0,42776
0,43851
0,44004
0,44062
0,44117
0,44167
0,43271
0,44195
0,43448
0,44450
0,44539
0,44573
0,44581
0,43729
0,44873
0,44877
0,44023
0,44926
0,44934
0,44948
0,45090
0,45160
0,45289
0,44529
0,45456
0,45512
0,44677
0,45663
0,45761
0,45790
0,45809
0,45883
0,45981
0,45996
0,46067
0,45430
0,46357
0,46511
0,46570
0,46595
0,45731
0,46668
0,46673
0,45837
0,46805
0,45938
0,46911
0,46014
0,47023
0,47061
0,47131
0,46332
0,47455
0,47475
0,47495
0,47514
0,46843
0,48011
0,48023
0,48188
0,48207
0,48838
0,48938
0,49079
0,49123
0,49203
0,48447
0,49491
0,48609
0,49682
0,49035
0,49066
0,50079
0,49200
0,50220
0,49446
0,49545
0,50477
0,49747
0,50715
0,50756
0,50764
0,49984
0,50956
0,50293
0,51308
0,50464
0,50731
0,51637
0,50787
0,51691
0,51016
0,51252
0,52402
0,51875
0,51908
0,52088
0,52278
0,53318
0,52424
0,53671
0,53717
0,53005
0,54475
0,53586
0,54623
0,53835
0,53941
0,54915
0,54050
0,54281
0,55196
0,55232
0,54582
0,54611
0,54635
0,54905
1,32400
1,32394
1,33784
1,34073
1,34098
1,33241
1,33475
1,33902
1,34259
1,35478
1,34691
1,34737
1,35656
1,34888
1,35894
1,36106
1,36149
1,36644
1,36831
1,36320
1,38233
1,38811
1,38836
1,38874
1,39075
1,39232
1,38498
1,38692
1,39729
1,39863
1,40052
1,40130
1,40171
1,40288
1,40295
1,39434
1,40363
1,40374
1,40454
1,40547
1,40608
1,40696
1,40773
1,40942
1,40992
1,40133
1,41055
1,41068
1,40241
1,41154
1,41212
1,41266
1,41450
1,41606
1,41628
1,41642
1,41663
1,41680
1,41684
1,41772
1,40875
1,41900
1,41985
1,42091
1,42113
1,42118
1,41246
1,41409
1,41416
1,42332
1,42349
1,42382
1,42445
1,42446
1,42452
1,42615
1,41719
1,42715
1,42716
1,42723
1,42789
1,42863
1,42998
1,43034
1,43090
1,43121
1,43139
1,42245
1,42328
1,42442
1,43358
1,42567
1,43681
1,42851
1,42859
1,43812
1,42918
1,42968
1,43871
1,43907
1,43040
1,43067
1,43998
1,43137
1,43220
1,44154
1,44316
1,43651
1,44567
1,43698
1,44599
1,43707
1,43769
1,44688
1,43860
1,44803
1,44921
1,44951
1,44954
1,44149
1,45083
1,44306
1,45262
1,45317
1,44699
1,45080
1,45108
1,45197
1,46153
1,46500
1,46564
1,46576
1,46654
1,45874
1,45936
1,46904
1,47152
1,46281
1,47481
1,47731
1,46872
1,46913
1,48395
1,48455
1,48599
1,48644
1,48808
1,49036
1,49267
1,49472
1,49530
1,49645
1,49821
1,50077
1,50086
1,49264
1,50215
1,50350
1,50635
1,49823
1,50960
1,51005
1,50364
1,50696
1,51719
1,51213
1,52219
1,52228
1,51490
1,52612
1,52696
1,52021
1,52990
1,53168
1,53305
1,52971
1,53981
1,54128
1,54136
1,54312
1,54397
1,54617
1,54727
1,53889
1,54492
1,54822
2,32400
2,32507
2,32964
2,32490
2,32599
2,33606
2,33626
2,33667
2,32947
2,33857
2,33140
2,34240
2,34241
2,33566
2,34549
2,34672
2,33780
2,34706
2,35089
2,35115
2,34238
2,35280
2,35623
2,34885
2,36101
2,36118
2,35397
2,36377
2,36511
2,36697
2,36826
2,37191
2,37203
2,37243
2,37261
2,36588
2,36669
2,37582
2,36851
2,38627
2,38754
2,38917
2,39017
2,39113
2,39196
2,39439
2,38670
2,39634
2,38789
2,39136
2,39185
2,40116
2,40225
2,40396
2,39619
2,39724
2,39793
2,40754
2,40778
2,39948
2,41010
2,41120
2,41127
2,40254
2,41293
2,40407
2,41385
2,41427
2,40680
2,41705
2,41712
2,41148
2,42157
2,42224
2,42246
2,42258
2,42435
2,41592
2,42511
2,41719
2,42643
2,42800
2,42824
2,41945
2,41998
2,42065
2,42089
2,43062
2,43082
2,42224
2,42358
2,42383
2,43396
2,43443
2,42619
2,43534
2,42722
2,42757
2,42827
2,43734
2,42840
2,43750
2,43969
2,44069
2,43332
2,44303
2,44714
2,44864
2,43991
2,44987
2,45031
2,45049
2,45225
2,44348
2,44428
2,44438
2,45598
2,45681
2,45823
2,45932
2,46193
2,46221
2,46409
2,46541
2,45808
2,46779
2,45898
2,46800
2,45901
2,46948
2,46172
2,47193
2,47333
2,46461
2,47533
2,46637
2,46644
2,47600
2,47617
2,47618
2,46801
2,47857
2,47957
2,47077
2,48038
2,47282
2,48185
2,47307
2,47360
2,48401
2,47520
2,48514
2,48684
2,48774
2,48971
2,49042
2,49654
2,49785
2,48952
2,49257
2,50167
2,49336
2,49369
2,50423
2,49821
2,49968
2,50879
2,50895
2,51151
2,51285
2,51455
2,51470
2,50609
2,51649
2,51715
2,51942
2,52279
2,52519
2,52538
2,52751
2,52842
2,51993
2,52066
2,53059
2,53162
2,53467
2,53476
2,53504
2,53573
2,53813
2,53867
2,53931
2,53075
2,53167
2,54247
2,54510
2,53647
2,53748
2,54048
2,54052
2,55064
2,54192
2,54313
2,54633
2,55121
3,32400
3,32856
3,32966
3,32367
3,33373
3,33432
3,33471
3,33817
3,34282
3,34404
3,34455
3,34861
3,34166
3,35156
3,35207
3,34371
3,34608
3,35660
3,35728
3,35092
3,36340
3,36837
3,36993
3,36205
3,37477
3,37655
3,37777
3,37801
3,36987
3,38024
3,38123
3,38437
3,39092
3,39115
3,39328
3,39483
3,39564
3,39592
3,39616
3,38903
3,40056
3,40107
3,40121
3,40143
3,40165
3,39399
3,39441
3,40408
3,39513
3,39525
3,40492
3,40714
3,39910
3,40910
3,40046
3,41058
3,41063
3,41321
3,41432
3,41483
3,41671
3,41860
3,41914
3,41919
3,41190
3,41237
3,42266
3,41374
3,42374
3,42733
3,41857
3,42758
3,42868
3,42873
3,41993
3,42974
3,42088
3,42157
3,43105
3,43190
3,42354
3,43367
3,42578
3,43518
3,42711
3,43802
3,43879
3,43900
3,44046
3,44282
3,44400
3,43772
3,44818
3,44920
3,44930
3,44946
3,44981
3,45136
3,44329
3,45261
3,45295
3,44491
3,45534
3,44665
3,44702
3,45820
3,46029
3,45284
3,46300
3,46412
3,45528
3,46498
3,46684
3,46687
3,45806
3,45928
3,45979
3,47007
3,46409
3,47355
3,47392
3,46525
3,47431
3,46642
3,47734
3,47834
3,47866
3,47313
3,48220
3,48221
3,48475
3,47896
3,47902
3,47948
3,48005
3,48986
3,48096
3,48326
3,49318
3,48430
3,49966
3,50187
3,50225
3,49474
3,50401
3,49617
3,49688
3,49867
3,49954
3,50855
3,50894
3,50316
3,51287
3,51289
3,51315
3,51475
3,50670
3,51678
3,51788
3,51870
3,50992
3,51907
3,52077
3,52156
3,52159
3,52472
3,51750
3,52695
3,51844
3,52759
3,52764
3,52791
3,51915
3,52875
3,52106
3,52194
3,53212
3,53402
3,53440
3,53473
3,53870
3,54082
3,54142
3,53256
3,53266
3,54167
3,54453
3,55154
3,55196
3,55229
3,54616
3,54634
3,54802
3,54955
3,55200
4,32400
4,32544
4,32619
4,32668
4,32693
4,31915
4,32871
4,32889
4,32003
4,33004
4,33330
4,33423
4,33445
4,32721
4,33659
4,34032
4,34697
4,34792
4,34032
4,34946
4,34971
4,34140
4,35102
4,35118
4,35473
4,35507
4,35603
4,35050
4,35331
4,36439
4,35564
4,35829
4,36798
4,35993
