replica,num_rows
0,193
1,189
2,214
3,210
4,206
5,202
6,203
7,208
8,218
9,184
10,188
11,205
12,202
13,184
14,176
15,224
16,172
17,201
18,193
19,205
20,211
21,213
22,198
23,193
24,204
25,202
26,208
27,184
28,225
29,214
30,186
31,199
32,211
33,197
34,218
35,205
36,218
37,210
38,185
39,190
40,201
41,210
42,221
43,189
44,197
45,225
46,206
47,201
48,196
49,193
50,194
51,213
52,193
53,202
54,196
55,213
56,216
57,203
58,174
59,197
60,199
61,179
62,187
63,194
64,200
65,198
66,189
67,201
68,190
69,205
70,220
71,201
72,197
73,186
74,227
75,190
76,209
77,197
78,222
79,196
80,213
81,198
82,195
83,189
84,192
85,216
86,205
87,203
88,217
89,189
90,219
91,201
92,210
93,190
94,235
95,214
96,196
97,206
98,194
99,191
