replica,arrivals
0,32400
0,31606
0,31648
0,31780
0,32103
0,32123
0,32939
0,32961
0,33315
0,33427
0,33457
0,33837
0,33881
0,34064
0,34076
0,34421
0,34542
0,35189
0,35520
0,35800
0,36839
0,36847
0,36924
0,37176
0,37352
0,37411
0,37452
0,37624
0,37734
0,37839
0,38567
0,39132
0,39225
0,39590
0,39701
0,39782
0,39783
0,39840
0,39869
0,39912
0,39943
0,40000
0,40039
0,40198
0,40213
0,40247
0,40376
0,40458
0,40524
0,40554
0,40643
0,40702
0,40854
0,40908
0,41180
0,41191
0,41199
0,41229
0,41250
0,41325
0,41342
0,41389
0,41565
0,41924
0,41949
0,41989
0,42024
0,42056
0,42136
0,42285
0,42487
0,42629
0,42725
0,42733
0,42749
0,42763
0,42776
0,42951
0,43104
0,43162
0,43217
0,43267
0,43271
0,43295
0,43448
0,43550
0,43639
0,43673
0,43681
0,43729
0,43973
0,43977
0,44023
0,44026
0,44034
0,44048
0,44190
0,44260
0,44389
0,44529
0,44556
0,44612
0,44677
0,44763
0,44861
0,44890
0,44909
0,44983
0,45081
0,45096
0,45167
0,45430
0,45457
0,45611
0,45670
0,45695
0,45731
0,45768
0,45773
0,45837
0,45905
0,45938
0,46011
0,46014
0,46123
0,46161
0,46231
0,46332
0,46555
0,46575
0,46595
0,46614
0,46843
0,47111
0,47123
0,47288
0,47307
0,47938
0,48038
0,48179
0,48223
0,48303
0,48447
0,48591
0,48609
0,48782
0,49035
0,49066
0,49179
0,49200
0,49320
0,49446
0,49545
0,49577
0,49747
0,49815
0,49856
0,49864
0,49984
0,50056
0,50293
0,50408
0,50464
0,50731
0,50737
0,50787
0,50791
0,51016
0,51252
0,51502
0,51875
0,51908
0,52088
0,52278
0,52418
0,52424
0,52771
0,52817
0,53005
0,53575
0,53586
0,53723
0,53835
0,53941
0,54015
0,54050
0,54281
0,54296
0,54332
0,54582
0,54611
0,54635
0,54905
1,32400
1,31501
1,31844
1,32401
1,32543
1,32621
1,32685
1,32727
1,32899
1,33004
1,33132
1,33187
1,33658
1,33818
1,33855
1,34040
1,34081
1,34082
1,34441
1,34767
1,34847
1,35145
1,35280
1,35524
1,35644
1,35876
1,36639
1,36669
1,36820
1,37260
1,37393
1,37436
1,37577
1,37707
1,37709
1,37954
1,38126
1,38156
1,38210
1,38656
1,38802
1,38826
1,38926
1,39130
1,39145
1,39249
1,39434
1,39511
1,39852
1,39866
1,40039
1,40254
1,40283
1,40328
1,40354
1,40439
1,40531
1,40556
1,40766
1,40907
1,40940
1,41101
1,41122
1,41252
1,41323
1,41396
1,41436
1,41467
1,41486
1,41595
1,41598
1,41617
1,42256
1,42264
1,42344
1,42391
1,42479
1,42746
1,42797
1,42832
1,42842
1,42978
1,42997
1,43086
1,43151
1,43154
1,43269
1,43275
1,43367
1,43383
1,43404
1,43452
1,43456
1,43580
1,43611
1,43639
1,43834
1,44062
1,44276
1,44278
1,44313
1,44324
1,44407
1,44423
1,44467
1,44672
1,44834
1,44999
1,45159
1,45181
1,45182
1,45264
1,45324
1,45393
1,45408
1,45419
1,45523
1,45542
1,45555
1,45655
1,45739
1,45811
1,45859
1,45907
1,45989
1,46101
1,46305
1,46379
1,46596
1,46677
1,46979
1,47173
1,47198
1,47226
1,47357
1,47467
1,47530
1,47544
1,47623
1,48221
1,48327
1,48631
1,48662
1,48778
1,48922
1,48989
1,49114
1,49156
1,49364
1,49501
1,49557
1,49798
1,49814
1,49821
1,49907
1,49924
1,50015
1,50193
1,50241
1,50681
1,50739
1,50804
1,50836
1,50973
1,51153
1,51255
1,51314
1,51464
1,51538
1,51567
1,51589
1,52047
1,52077
1,52165
1,52194
1,52403
1,52675
1,52886
1,53305
1,53397
1,53652
1,53696
1,53840
1,54032
1,54093
1,54149
1,54407
1,54486
1,54744
2,32400
2,31514
2,31612
2,31618
2,31640
2,31703
2,32137
2,32239
2,32272
2,32477
2,32542
2,32754
2,32844
2,32862
2,33014
2,33157
2,33342
2,33347
2,33379
2,33532
2,33647
2,33998
2,34227
2,34398
2,34749
2,34754
2,34792
2,35136
2,35294
2,35297
2,35354
2,35519
2,35523
2,35598
2,35631
2,35723
2,35768
2,36222
2,36411
2,36661
2,36702
2,36748
2,36861
2,36954
2,37054
2,37233
2,37311
2,37627
2,38092
2,38109
2,38363
2,38747
2,38985
2,39006
2,39172
2,39230
2,39282
2,39284
2,39402
2,39556
2,39598
2,39665
2,39692
2,39732
2,39815
2,39890
2,39998
2,40078
2,40178
2,40227
2,40280
2,40402
2,40455
2,40621
2,40630
2,40739
2,40787
2,40882
2,41261
2,41327
2,41482
2,41512
2,41552
2,41634
2,41647
2,41660
2,41751
2,41996
2,42058
2,42065
2,42204
2,42333
2,42511
2,42620
2,42665
2,42673
2,42705
2,42706
2,42755
2,42812
2,42820
2,42846
2,42968
2,43219
2,43749
2,43776
2,43833
2,43941
2,44055
2,44140
2,44149
2,44158
2,44209
2,44231
2,44386
2,44558
2,44571
2,44630
2,44633
2,44850
2,44957
2,45003
2,45055
2,45148
2,45280
2,45321
2,45339
2,45369
2,45413
2,45437
2,45450
2,45600
2,45615
2,45633
2,45662
2,45669
2,45732
2,45924
2,45968
2,46085
2,46120
2,46132
2,46327
2,46428
2,46552
2,46553
2,46636
2,46932
2,46949
2,47321
2,47529
2,47869
2,47987
2,48146
2,48287
2,48315
2,48645
2,48770
2,48909
2,49033
2,49331
2,49425
2,49705
2,49765
2,50091
2,50108
2,50134
2,50239
2,50268
2,50373
2,50705
2,50718
2,50795
2,51046
2,51099
2,51145
2,51228
2,51266
2,51296
2,51491
2,51503
2,51505
2,51617
2,51636
2,51769
2,51870
2,51924
2,52026
2,52173
2,52301
2,52401
2,52419
2,52582
2,52665
2,52687
2,52770
2,52791
2,52935
2,52968
2,53031
2,53121
2,53427
2,53561
2,53687
2,53724
2,53748
2,53783
2,53811
2,53817
2,53964
2,54177
2,54236
2,54319
2,54329
3,32400
3,31807
3,31954
3,32124
3,32555
3,32595
3,32617
3,32881
3,33132
3,33391
3,33506
3,33719
3,33950
3,34333
3,34360
3,34571
3,34622
3,34673
3,35029
3,35279
3,35401
3,35472
3,35852
3,35948
3,36126
3,36309
3,36341
3,36416
3,36493
3,36622
3,37033
3,37264
3,37466
3,37604
3,37734
3,37872
3,38016
3,38218
3,38369
3,38415
3,38819
3,38848
3,39109
3,39215
3,39249
3,39309
3,39311
3,39491
3,39620
3,39649
3,39657
3,39666
3,39713
3,39762
3,39837
3,40177
3,40209
3,40454
3,40456
3,40536
3,40537
3,40633
3,40647
3,40835
3,40835
3,40910
3,41004
3,41033
3,41086
3,41129
3,41276
3,41457
3,41476
3,41552
3,41859
3,41971
3,42013
3,42183
3,42287
3,42385
3,42407
3,42428
3,42452
3,42485
3,42616
3,42621
3,42670
3,42820
3,42958
3,42982
3,43058
3,43098
3,43261
3,43291
3,43443
3,43472
3,43526
3,43679
3,43837
3,43885
3,43900
3,43937
3,43978
3,44011
3,44018
3,44082
3,44087
3,44098
3,44221
3,44336
3,44338
3,44382
3,44482
3,44609
3,44694
3,44707
3,44749
3,44950
3,44959
3,45011
3,45075
3,45234
3,45282
3,45465
3,45483
3,45505
3,45537
3,45558
3,45638
3,45832
3,45851
3,45962
3,45971
3,45992
3,46166
3,46242
3,46266
3,46304
3,46385
3,46453
3,46455
3,46466
3,46563
3,46677
3,46679
3,46773
3,46967
3,47022
3,47406
3,47421
3,47433
3,47527
3,47568
3,47834
3,47856
3,48085
3,48085
3,48100
3,48241
3,48454
3,48577
3,48626
3,48721
3,48916
3,48950
3,48976
3,49006
3,49028
3,49056
3,49194
3,49214
3,49240
3,49260
3,49309
3,49446
3,49470
3,49567
3,50029
3,50041
3,50208
3,50474
3,50571
3,50625
3,50657
3,51029
3,51132
3,51350
3,51407
3,51675
3,51718
3,52218
3,52300
3,52461
3,52563
3,52594
3,52745
3,52765
3,53073
3,53170
3,53172
3,53201
3,53250
3,53390
3,53417
3,53697
3,53745
3,54013
3,54306
3,55025
3,55197
4,32400
4,31563
4,31606
4,31629
4,31868
4,31908
4,32660
