replica,deadlines
0,61200
0,61200
0,43348
0,61200
0,43803
0,61200
0,44639
0,44661
0,45015
0,45127
0,61200
0,45537
0,61200
0,61200
0,45776
0,46121
0,46242
0,46889
0,47220
0,47500
0,61200
0,48547
0,48624
0,61200
0,49052
0,49111
0,61200
0,49324
0,61200
0,49539
0,50267
0,50832
0,50925
0,51290
0,51401
0,51482
0,61200
0,61200
0,61200
0,51612
0,51643
0,61200
0,51739
0,61200
0,61200
0,51947
0,52076
0,52158
0,52224
0,52254
0,52343
0,52402
0,52554
0,52608
0,61200
0,52891
0,52899
0,61200
0,61200
0,61200
0,53042
0,53089
0,61200
0,53624
0,53649
0,61200
0,53724
0,53756
0,53836
0,61200
0,61200
0,54329
0,61200
0,54433
0,54449
0,54463
0,61200
0,54651
0,54804
0,54862
0,54917
0,54967
0,61200
0,54995
0,61200
0,55250
0,55339
0,55373
0,55381
0,61200
0,55673
0,55677
0,61200
0,55726
0,55734
0,55748
0,55890
0,55960
0,56089
0,61200
0,56256
0,56312
0,61200
0,56463
0,56561
0,56590
0,56609
0,56683
0,56781
0,56796
0,56867
0,61200
0,57157
0,57311
0,57370
0,57395
0,61200
0,57468
0,57473
0,61200
0,57605
0,61200
0,57711
0,61200
0,57823
0,57861
0,57931
0,61200
0,58255
0,58275
0,58295
0,58314
0,61200
0,58811
0,58823
0,58988
0,59007
0,59638
0,59738
0,59879
0,59923
0,60003
0,61200
0,60291
0,61200
0,60482
0,61200
0,61200
0,60879
0,61200
0,61020
0,61200
0,61200
0,61277
0,61200
0,61515
0,61556
0,61564
0,61200
0,61756
0,61200
0,62108
0,61200
0,61200
0,62437
0,61200
0,62491
0,61200
0,61200
0,63202
0,61200
0,61200
0,61200
0,61200
0,64118
0,61200
0,64471
0,64517
0,61200
0,65275
0,61200
0,65423
0,61200
0,61200
0,65715
0,61200
0,61200
0,65996
0,66032
0,61200
0,61200
0,61200
0,61200
1,61200
1,43201
1,43544
1,61200
1,44243
1,44321
1,44385
1,44427
1,61200
1,44704
1,44832
1,61200
1,61200
1,45518
1,45555
1,61200
1,45781
1,61200
1,46141
1,61200
1,61200
1,46845
1,46980
1,47224
1,47344
1,47576
1,48339
1,61200
1,61200
1,61200
1,61200
1,49136
1,49277
1,49407
1,49409
1,61200
1,61200
1,49856
1,49910
1,61200
1,50502
1,50526
1,50626
1,50830
1,50845
1,50949
1,61200
1,51211
1,51552
1,61200
1,51739
1,51954
1,51983
1,52028
1,61200
1,52139
1,52231
1,52256
1,61200
1,61200
1,52640
1,61200
1,52822
1,52952
1,53023
1,53096
1,61200
1,53167
1,61200
1,53295
1,53298
1,53317
1,53956
1,53964
1,61200
1,54091
1,54179
1,54446
1,61200
1,54532
1,54542
1,61200
1,61200
1,61200
1,54851
1,54854
1,54969
1,54975
1,55067
1,55083
1,61200
1,61200
1,55156
1,55280
1,55311
1,55339
1,61200
1,61200
1,55976
1,61200
1,61200
1,56024
1,56107
1,56123
1,61200
1,56372
1,56534
1,56699
1,61200
1,56881
1,61200
1,56964
1,57024
1,57093
1,57108
1,61200
1,57223
1,57242
1,61200
1,57355
1,61200
1,61200
1,57559
1,57607
1,61200
1,57801
1,58005
1,61200
1,58296
1,61200
1,58679
1,61200
1,58898
1,58926
1,59057
1,59167
1,61200
1,59244
1,59323
1,59921
1,60027
1,60331
1,61200
1,60478
1,60622
1,60689
1,60814
1,60856
1,61064
1,61201
1,61257
1,61498
1,61200
1,61521
1,61607
1,61624
1,61715
1,61893
1,61200
1,61200
1,62439
1,62504
1,62536
1,62673
1,61200
1,61200
1,63014
1,63164
1,63238
1,61200
1,63289
1,63747
1,63777
1,63865
1,63894
1,64103
1,61200
1,61200
1,61200
1,65097
1,61200
1,65396
1,61200
1,65732
1,61200
1,61200
1,61200
1,61200
1,61200
2,61200
2,43214
2,61200
2,43318
2,61200
2,43403
2,43837
2,43939
2,43972
2,44177
2,44242
2,61200
2,61200
2,44562
2,61200
2,44857
2,61200
2,61200
2,61200
2,45232
2,45347
2,45698
2,61200
2,46098
2,61200
2,61200
2,61200
2,61200
2,46994
2,46997
2,47054
2,61200
2,47223
2,47298
2,47331
2,47423
2,47468
2,61200
2,61200
2,48361
