replica,ready_times
0,32400
0,31606
0,32548
0,31780
0,33003
0,32123
0,33839
0,33861
0,34215
0,34327
0,33457
0,34737
0,33881
0,34064
0,34976
0,35321
0,35442
0,36089
0,36420
0,36700
0,36839
0,37747
0,37824
0,37176
0,38252
0,38311
0,37452
0,38524
0,37734
0,38739
0,39467
0,40032
0,40125
0,40490
0,40601
0,40682
0,39783
0,39840
0,39869
0,40812
0,40843
0,40000
0,40939
0,40198
0,40213
0,41147
0,41276
0,41358
0,41424
0,41454
0,41543
0,41602
0,41754
0,41808
0,41180
0,42091
0,42099
0,41229
0,41250
0,41325
0,42242
0,42289
0,41565
0,42824
0,42849
0,41989
0,42924
0,42956
0,43036
0,42285
0,42487
0,43529
0,42725
0,43633
0,43649
0,43663
0,42776
0,43851
0,44004
0,44062
0,44117
0,44167
0,43271
0,44195
0,43448
0,44450
0,44539
0,44573
0,44581
0,43729
0,44873
0,44877
0,44023
0,44926
0,44934
0,44948
0,45090
0,45160
0,45289
0,44529
0,45456
0,45512
0,44677
0,45663
0,45761
0,45790
0,45809
0,45883
0,45981
0,45996
0,46067
0,45430
0,46357
0,46511
0,46570
0,46595
0,45731
0,46668
0,46673
0,45837
0,46805
0,45938
0,46911
0,46014
0,47023
0,47061
0,47131
0,46332
0,47455
0,47475
0,47495
0,47514
0,46843
0,48011
0,48023
0,48188
0,48207
0,48838
0,48938
0,49079
0,49123
0,49203
0,48447
0,49491
0,48609
0,49682
0,49035
0,49066
0,50079
0,49200
0,50220
0,49446
0,49545
0,50477
0,49747
0,50715
0,50756
0,50764
0,49984
0,50956
0,50293
0,51308
0,50464
0,50731
0,51637
0,50787
0,51691
0,51016
0,51252
0,52402
0,51875
0,51908
0,52088
0,52278
0,53318
0,52424
0,53671
0,53717
0,53005
0,54475
0,53586
0,54623
0,53835
0,53941
0,54915
0,54050
0,54281
0,55196
0,55232
0,54582
0,54611
0,54635
0,54905
1,32400
1,32401
1,32744
1,32401
1,33443
1,33521
1,33585
1,33627
1,32899
1,33904
1,34032
1,33187
1,33658
1,34718
1,34755
1,34040
1,34981
1,34082
1,35341
1,34767
1,34847
1,36045
1,36180
1,36424
1,36544
1,36776
1,37539
1,36669
1,36820
1,37260
1,37393
1,38336
1,38477
1,38607
1,38609
1,37954
1,38126
1,39056
1,39110
1,38656
1,39702
1,39726
1,39826
1,40030
1,40045
1,40149
1,39434
1,40411
1,40752
1,39866
1,40939
1,41154
1,41183
1,41228
1,40354
1,41339
1,41431
1,41456
1,40766
1,40907
1,41840
1,41101
1,42022
1,42152
1,42223
1,42296
1,41436
1,42367
1,41486
1,42495
1,42498
1,42517
1,43156
1,43164
1,42344
1,43291
1,43379
1,43646
1,42797
1,43732
1,43742
1,42978
1,42997
1,43086
1,44051
1,44054
1,44169
1,44175
1,44267
1,44283
1,43404
1,43452
1,44356
1,44480
1,44511
1,44539
1,43834
1,44062
1,45176
1,44278
1,44313
1,45224
1,45307
1,45323
1,44467
1,45572
1,45734
1,45899
1,45159
1,46081
1,45182
1,46164
1,46224
1,46293
1,46308
1,45419
1,46423
1,46442
1,45555
1,46555
1,45739
1,45811
1,46759
1,46807
1,45989
1,47001
1,47205
1,46379
1,47496
1,46677
1,47879
1,47173
1,48098
1,48126
1,48257
1,48367
1,47530
1,48444
1,48523
1,49121
1,49227
1,49531
1,48662
1,49678
1,49822
1,49889
1,50014
1,50056
1,50264
1,50401
1,50457
1,50698
1,49814
1,50721
1,50807
1,50824
1,50915
1,51093
1,50241
1,50681
1,51639
1,51704
1,51736
1,51873
1,51153
1,51255
1,52214
1,52364
1,52438
1,51567
1,52489
1,52947
1,52977
1,53065
1,53094
1,53303
1,52675
1,52886
1,53305
1,54297
1,53652
1,54596
1,53840
1,54932
1,54093
1,54149
1,54407
1,54486
1,54744
2,32400
2,32414
2,31612
2,32518
2,31640
2,32603
2,33037
2,33139
2,33172
2,33377
2,33442
2,32754
2,32844
2,33762
2,33014
2,34057
2,33342
2,33347
2,33379
2,34432
2,34547
2,34898
2,34227
2,35298
2,34749
2,34754
2,34792
2,35136
2,36194
2,36197
2,36254
2,35519
2,36423
2,36498
2,36531
2,36623
2,36668
2,36222
2,36411
2,37561
2,36702
2,37648
2,36861
2,36954
2,37954
2,38133
2,38211
2,38527
2,38092
2,39009
2,39263
2,39647
2,39885
2,39906
2,40072
2,40130
2,40182
2,40184
2,40302
2,40456
2,40498
2,40565
2,39692
2,40632
2,39815
2,39890
2,40898
2,40078
2,41078
2,41127
2,41180
2,40402
2,41355
2,41521
2,41530
2,40739
2,41687
2,41782
2,41261
2,41327
2,42382
2,41512
2,42452
2,42534
2,42547
2,42560
2,41751
2,41996
2,42058
2,42065
2,43104
2,42333
2,43411
2,43520
2,43565
2,43573
2,42705
2,43606
2,43655
2,43712
2,42820
2,43746
2,43868
2,44119
2,44649
2,44676
2,44733
2,44841
2,44955
2,45040
2,45049
2,45058
2,45109
2,45131
2,45286
2,44558
2,45471
2,45530
2,45533
2,45750
2,45857
2,45903
2,45955
2,46048
2,45280
2,46221
2,46239
2,46269
2,45413
2,45437
2,46350
2,45600
2,46515
2,46533
2,46562
2,46569
2,46632
2,46824
2,46868
2,46985
2,46120
2,47032
2,47227
2,47328
2,47452
2,47453
2,46636
2,47832
2,47849
2,47321
2,47529
2,48769
2,48887
2,49046
2,49187
2,49215
2,49545
2,49670
2,48909
2,49033
2,49331
2,49425
2,50605
2,49765
2,50991
2,51008
2,51034
2,50239
2,51168
2,51273
2,51605
2,50718
2,51695
2,51946
2,51999
2,51145
2,52128
2,51266
2,52196
2,52391
2,52403
2,51505
2,52517
2,52536
2,52669
2,51870
2,52824
2,52926
2,53073
2,53201
2,52401
2,52419
2,53482
2,53565
2,52687
2,53670
2,53691
2,53835
2,52968
2,53931
2,54021
2,54327
2,53561
2,54587
2,54624
2,54648
2,54683
2,54711
2,54717
2,54864
2,55077
2,54236
2,55219
2,54329
3,32400
3,32707
3,32854
3,33024
3,33455
3,33495
3,32617
3,33781
3,34032
3,34291
3,33506
3,34619
3,34850
3,34333
3,34360
3,35471
3,35522
3,35573
3,35929
3,35279
3,35401
3,36372
3,36752
3,36848
3,36126
3,37209
3,36341
3,37316
3,37393
3,37522
3,37033
3,38164
3,37466
3,38504
3,37734
3,38772
3,38916
3,38218
3,39269
3,39315
3,39719
3,39748
3,39109
3,40115
3,39249
3,40209
3,39311
3,39491
3,40520
3,40549
3,40557
3,40566
3,40613
3,40662
3,40737
3,40177
3,41109
3,40454
3,41356
3,41436
3,41437
3,41533
3,41547
3,41735
3,41735
3,41810
3,41904
3,41933
3,41986
3,42029
3,42176
3,41457
3,42376
3,41552
3,42759
3,42871
3,42913
3,42183
3,43187
3,42385
3,43307
3,43328
3,42452
3,43385
3,43516
3,43521
3,43570
3,42820
3,43858
3,43882
3,43058
3,43998
3,43261
3,44191
3,44343
3,44372
3,43526
3,44579
3,43837
3,43885
3,43900
3,43937
3,44878
3,44911
3,44918
3,44082
3,44087
3,44998
3,45121
3,44336
3,45238
3,45282
3,45382
3,45509
3,45594
3,45607
3,45649
3,44950
3,45859
3,45911
3,45975
3,46134
3,46182
3,46365
3,46383
3,45505
3,46437
3,45558
3,46538
3,46732
3,46751
3,45962
3,46871
3,46892
3,47066
3,46242
3,47166
3,46304
3,47285
3,47353
3,46455
3,47366
3,46563
3,47577
3,47579
3,46773
3,46967
3,47922
3,48306
3,47421
3,47433
3,47527
3,48468
3,48734
3,48756
3,48985
3,48985
3,49000
3,49141
3,48454
3,48577
3,48626
3,49621
3,49816
3,48950
3,48976
3,49906
3,49028
3,49956
3,50094
3,49214
3,50140
3,49260
3,50209
3,49446
3,50370
3,50467
3,50929
3,50941
3,50208
3,51374
3,50571
3,51525
3,50657
3,51029
3,52032
3,51350
3,52307
3,52575
3,51718
3,52218
3,52300
3,52461
3,53463
3,52594
3,53645
3,53665
3,53973
3,54070
3,54072
3,54101
3,53250
3,54290
3,53417
3,54597
3,54645
3,54913
3,55206
3,55025
3,55197
4,32400
4,32463
4,32506
4,32529
4,32768
4,31908
4,33560
