replica,x,y
0,10000.0,10000.0
0,13391.105,9501.901
0,15525.4795,14773.998
0,16047.788,6748.1025
0,17536.799,11235.312
0,13975.501,9427.219
0,12052.065,10883.166
0,16524.86,9300.898
0,4136.3154,11582.122
0,1717.1309,5658.3164
0,4964.827,16721.998
0,13821.481,10273.295
0,2825.196,14750.363
0,15899.535,17070.898
0,8456.009,14832.005
0,14427.651,5579.293
0,15117.346,9516.368
0,7301.2065,3758.827
0,15304.849,8075.286
0,14581.746,8624.828
0,15597.625,15407.193
0,15693.676,13581.665
0,3186.0747,4832.3325
0,5046.9883,7874.79
0,16092.246,10586.67
0,4928.406,6060.275
0,12300.378,12676.03
0,15181.403,9658.06
0,14865.194,14065.278
0,16252.649,6257.1753
0,3236.457,15614.441
0,12133.282,5725.874
0,4977.9316,9998.631
0,6673.9062,8495.965
0,14150.419,12207.475
0,13165.081,11159.17
0,4563.6387,6488.5127
0,1598.3821,8649.962
0,4572.235,5258.52
0,15797.613,7592.8306
0,15861.375,13671.329
0,16689.383,8138.6733
0,13162.224,15213.917
0,4942.5347,5275.2583
0,17588.484,13784.255
0,15056.079,6256.365
0,4553.302,3104.2236
0,12161.389,15291.231
0,14538.247,11938.38
0,6276.893,14080.951
0,13477.323,6710.9604
0,11523.688,10611.131
0,8867.136,14256.245
0,16260.065,14506.93
0,5119.4297,6237.708
0,8928.35,13281.712
0,17612.135,7094.6465
0,11883.873,18791.84
0,2591.0474,15392.602
0,13629.619,12105.704
0,4484.54,12392.386
0,8205.947,13132.709
0,7020.5044,2661.7153
0,6134.2354,7485.4404
0,2139.2542,6443.835
0,7260.537,3149.6223
0,18872.973,5992.818
0,13938.971,5394.9233
0,6291.623,10679.233
0,14892.082,5129.8735
0,14073.42,6882.7144
0,15688.968,9973.386
0,14716.041,9889.224
0,10831.242,10292.65
0,5175.741,3740.248
0,15297.639,8968.508
0,13172.252,13455.025
0,10933.647,7041.208
0,5486.8384,4768.5034
0,14263.032,9957.705
0,8613.34,3690.9797
0,14684.641,9597.552
0,16466.713,10353.322
0,4961.3486,13449.048
0,17786.162,13177.818
0,16241.448,12279.692
0,3472.1865,12306.185
0,18348.887,14652.331
0,4822.7656,9635.1
0,3350.8943,4755.196
0,13434.705,12362.786
0,13592.179,4968.9614
0,6814.3066,13804.73
0,11129.152,12046.679
0,4380.4023,5202.3687
0,15438.682,8390.11
0,15213.577,10943.508
0,14375.2295,10472.167
0,16252.67,9900.475
0,5530.811,5189.0312
0,1677.4137,16154.337
0,15512.921,15715.485
0,17940.662,9662.339
0,15049.154,12147.378
0,2761.2239,14195.235
0,5111.565,15141.319
0,3955.6965,14345.15
0,13495.619,4249.681
0,5414.7505,2435.589
0,14746.649,0.0
0,14039.429,11816.605
0,5285.0947,14501.759
0,6905.936,4614.0137
0,4802.835,12990.91
0,13182.797,9185.2295
0,4165.0425,12448.702
0,5740.205,12011.366
0,2266.6155,16480.219
0,16582.998,14080.287
0,15356.44,9817.547
0,5023.698,13771.669
0,11577.733,11522.088
0,4234.1694,2822.704
0,12446.116,15392.824
0,4216.8735,8823.0205
0,19086.766,13848.965
0,14656.891,12369.368
0,17242.523,10288.3
0,1835.2246,16271.9795
0,11676.774,7010.7944
0,15592.484,11829.344
0,15067.345,10263.4795
0,4514.355,5201.9707
0,4558.383,17264.52
0,12256.411,11102.727
0,17222.178,11379.0205
0,14956.279,15484.186
0,15361.321,4805.1567
0,5605.113,3539.2944
0,15482.566,9667.724
0,3451.334,17627.318
0,10384.489,6198.797
0,3135.5967,15204.517
0,6982.3516,17102.455
0,14757.252,10519.282
0,5745.9297,13323.7295
0,14299.289,10732.304
0,13933.091,6651.6396
0,3072.9844,6776.4775
0,5441.209,16228.082
0,4434.408,5395.62
0,12389.061,6717.7373
0,6412.3984,16103.487
0,12286.194,5182.472
0,13730.778,4954.8047
0,16840.262,6825.254
0,1553.7256,12187.034
0,7368.003,17485.057
0,16614.842,7502.292
0,14469.065,13586.513
0,17175.588,9481.248
0,6464.644,3614.6519
0,11860.893,7989.4985
0,15148.686,6533.5986
0,15965.236,13294.605
0,14670.649,13897.158
0,5606.3203,5901.3135
0,5465.1836,3787.922
0,8232.0625,17830.166
0,0.0,4104.9746
0,14603.699,11057.199
0,16059.768,3418.8281
0,1223.4358,19466.344
0,15295.101,5954.713
0,16392.924,10358.249
0,3404.713,2878.1626
0,2468.0886,5399.4565
0,17958.682,12569.17
0,4023.592,1625.9984
0,6577.383,11977.683
0,16181.753,13159.228
0,931.3295,2720.7305
0,7211.994,6452.7427
0,4859.088,14964.203
0,16830.195,12730.609
0,11018.538,9602.373
0,2375.195,14476.149
0,14243.384,8713.792
0,13310.927,12081.076
0,1532.481,17179.797
0,14198.695,11574.397
0,7226.591,4665.219
0,5999.7656,16502.547
1,10000.0,10000.0
1,3185.3782,17742.875
1,1775.8082,67.016174
1,7344.998,2064.126
1,11732.248,10745.052
1,13877.877,4771.1523
1,3627.046,15503.558
1,14926.277,9023.585
1,3075.9893,5197.258
1,2542.4417,13432.291
1,15934.743,10123.833
1,2974.8906,2373.382
1,14703.982,10348.155
1,13643.388,17636.309
1,5477.6587,7327.071
1,6644.608,17453.232
1,14640.104,12152.737
1,15544.578,13754.424
1,15842.349,8547.505
1,14241.66,6138.068
1,17371.547,10565.195
1,15469.003,6371.6523
1,5231.0464,3264.831
1,14506.154,10726.466
1,13927.164,16203.724
1,15770.835,6469.8154
1,15286.8545,4998.513
1,8155.523,12937.218
1,3803.45,6616.0586
1,14652.133,16242.838
1,4132.423,11994.86
1,3953.8225,12827.507
1,3123.0388,2381.997
1,16387.854,5958.8853
1,15272.703,15224.282
1,10665.241,11982.795
1,15125.868,10132.391
1,3978.1606,3697.265
1,16379.087,9544.862
1,2637.251,6929.8887
1,15552.571,4237.1772
1,6954.4087,11465.602
1,6783.5312,3141.2754
1,11329.787,13448.262
1,3903.2163,5970.8867
1,9561.426,6847.4043
1,13329.774,8819.914
1,4748.7397,9586.873
1,4451.1274,2403.8335
1,6270.633,16571.857
1,6050.278,15009.081
1,6000.2656,7900.5522
1,15259.115,12491.527
1,15628.008,5479.7656
1,13911.037,12247.566
1,12742.132,7143.3545
1,4418.857,13182.115
1,17997.404,6328.577
1,3493.1357,14740.545
1,5268.4917,6093.9604
1,16015.205,14393.284
1,4302.8574,10789.464
1,17155.93,16401.936
1,6707.819,16183.511
1,15983.077,8441.262
1,6008.568,2658.8323
1,15840.585,9089.825
1,16303.174,6921.7534
1,15948.67,13854.085
1,4470.378,12832.061
1,17426.412,11018.745
1,5411.9775,7625.7446
1,2491.3818,3289.9734
1,14586.241,6147.3774
1,11783.431,8758.373
1,12856.268,13390.629
1,7275.02,2800.6404
1,16646.203,10064.603
1,9552.907,4757.496
1,14748.341,12150.932
1,13482.245,4516.213
1,14489.143,11181.506
1,3496.1687,6101.9385
1,13803.591,4907.606
1,16106.19,13245.945
1,5925.422,3652.6006
1,4593.828,11470.501
1,15706.607,13582.164
1,13942.037,9482.926
1,6310.1724,2478.6533
1,14442.946,15072.378
1,15780.261,10086.856
1,17243.748,3033.4314
1,3763.6343,7126.869
1,16187.253,7044.4087
1,17475.506,16106.619
1,4537.878,5782.398
1,16451.105,6284.714
1,7428.9595,12069.948
1,3703.6018,6031.3975
1,3614.0942,2928.7522
1,12684.551,11387.677
1,12956.172,9031.076
1,11935.578,9783.342
1,5578.187,12372.461
1,13893.32,5132.3623
1,16414.826,13119.942
1,6979.0796,9157.621
1,2104.0352,1925.323
1,17667.658,7489.176
1,14469.45,3438.5032
1,11828.488,12980.192
1,3919.7488,15221.991
1,3824.9653,5436.859
1,17569.768,10061.432
1,14292.656,8965.287
1,15395.758,7135.0356
1,11715.627,6403.221
1,15453.7,11662.8545
1,14514.723,4879.5264
1,7581.023,13210.038
1,16039.999,6634.879
1,14079.568,8721.673
1,4038.5054,14093.395
1,17435.566,12880.857
1,2996.4934,4550.933
1,15911.939,13351.92
1,3532.283,13413.703
1,12679.521,6299.0166
1,13577.054,8294.368
1,2029.6938,4333.3887
1,7167.6387,15076.851
1,2114.0806,17350.783
1,12978.701,5399.156
1,17506.477,7526.616
1,4371.672,4592.0723
1,5569.3506,13907.774
1,2340.605,14072.261
1,16550.441,11895.337
1,16723.379,7921.078
1,5718.1704,5296.1084
1,20000.0,16195.1
1,16763.387,12405.398
1,14054.75,9339.842
1,6595.1514,3531.6865
1,4641.8325,13407.853
1,3216.5684,6611.726
1,14157.139,3697.318
1,5272.8086,7473.0996
1,17318.236,6338.3027
1,2769.989,6860.6367
1,13611.159,11946.801
1,15997.37,10577.805
1,3549.0444,16147.712
1,5242.573,13017.592
1,9328.427,14045.972
1,1778.1743,5960.3257
1,9578.509,5188.9253
1,16132.518,14429.597
1,20000.0,13278.71
1,6152.633,4444.965
1,3518.8428,17079.488
1,13228.441,3416.671
1,6412.687,3330.2346
1,8593.553,1582.1344
1,15416.21,9004.2295
1,17357.799,6091.483
1,7921.5703,17486.893
1,4315.6753,8694.0625
1,5908.0884,4461.9414
1,6520.11,14351.485
1,3202.2783,16239.101
1,14796.708,1519.0089
1,16559.006,11624.8
1,14860.156,7179.9062
1,13601.338,8176.934
1,15051.21,12923.658
1,7773.431,6800.5615
1,13689.731,12508.256
1,13413.081,10041.008
1,13803.016,9115.836
1,5604.1074,16137.297
1,7215.1714,16224.772
1,4316.2783,15237.543
1,13650.907,8430.902
1,15449.877,9762.762
2,10000.0,10000.0
2,4976.1763,6059.437
2,6366.4395,16976.418
2,4239.939,5564.961
2,9115.348,4259.228
2,5548.3594,4424.1147
2,3970.5295,3884.4854
2,5364.6113,16459.17
2,17912.555,3955.69
2,7501.6514,7651.1143
2,13857.521,8863.818
2,13365.708,8962.536
2,6367.4165,5935.905
2,16519.564,12452.965
2,14341.391,11403.789
2,4189.358,16147.395
2,5942.227,3384.8547
2,16219.6045,10163.92
2,2719.7278,6746.1313
2,3469.4902,5904.9526
2,6135.395,16336.549
2,14253.609,8767.269
2,14093.148,9800.648
2,5134.844,3973.5261
2,2059.6643,1776.7141
2,4730.2944,6086.276
2,7936.773,6555.6494
2,12877.03,15236.39
2,16341.159,10376.072
2,14956.935,2238.84
