replica,num_rows
0,189
1,189
2,220
3,211
4,185
5,193
6,162
7,227
8,184
9,193
10,207
11,199
12,207
13,205
14,200
15,203
16,195
17,206
18,188
19,215
20,202
21,194
22,201
23,179
24,202
25,192
26,185
27,203
28,207
29,182
30,184
31,170
32,220
33,201
34,186
35,198
36,206
37,218
38,217
39,186
40,192
41,201
42,206
43,215
44,192
45,195
46,230
47,211
48,195
49,216
50,192
51,196
52,210
53,199
54,198
55,193
56,206
57,211
58,213
59,188
60,196
61,201
62,184
63,192
64,198
65,198
66,199
67,184
68,207
69,185
70,213
71,222
72,201
73,193
74,181
75,199
76,181
77,225
78,199
79,231
80,196
81,223
82,200
83,202
84,187
85,206
86,221
87,207
88,203
89,220
90,189
91,217
92,204
93,212
94,186
95,232
96,215
97,196
98,196
99,194
