replica,arrivals
0,32400
0,31595
0,31888
0,32084
0,32160
0,32425
0,32439
0,32667
0,32739
0,33002
0,33156
0,33378
0,33412
0,33455
0,33656
0,33871
0,34084
0,34138
0,34264
0,34602
0,34662
0,34937
0,34986
0,35118
0,35174
0,35261
0,35266
0,35299
0,35436
0,35448
0,35574
0,36042
0,36155
0,36380
0,36477
0,36494
0,36513
0,36662
0,37248
0,37426
0,37557
0,37766
0,37816
0,37947
0,37969
0,38125
0,38271
0,38302
0,38421
0,38510
0,38642
0,38748
0,38796
0,38939
0,39034
0,39278
0,39365
0,39476
0,39820
0,39833
0,39957
0,40032
0,40063
0,40070
0,40139
0,40243
0,40506
0,40526
0,40999
0,41039
0,41159
0,41210
0,41339
0,41807
0,41871
0,41899
0,41999
0,42131
0,42298
0,42316
0,42324
0,42347
0,42650
0,42878
0,42896
0,42990
0,43078
0,43159
0,43205
0,43270
0,43537
0,43615
0,43758
0,43813
0,43827
0,43852
0,43920
0,44297
0,44303
0,44382
0,44395
0,44418
0,44576
0,44645
0,44758
0,44810
0,44966
0,45183
0,45234
0,45323
0,45566
0,45573
0,45724
0,45770
0,45801
0,45920
0,46078
0,46101
0,46215
0,46243
0,46440
0,46681
0,46929
0,47024
0,47064
0,47181
0,47189
0,47401
0,47437
0,47572
0,47753
0,47814
0,47836
0,47927
0,47977
0,48110
0,48210
0,48447
0,48479
0,48511
0,48541
0,48631
0,48919
0,49277
0,49288
0,49307
0,49447
0,49465
0,50073
0,50169
0,50278
0,50304
0,50346
0,50423
0,50700
0,50884
0,51157
0,51267
0,51286
0,51403
0,51625
0,51650
0,51651
0,51757
0,51881
0,51921
0,51929
0,51952
0,52030
0,52114
0,52190
0,52378
0,52454
0,52624
0,52760
0,52771
0,52823
0,52973
0,53017
0,53199
0,53387
0,53508
0,53882
0,53908
0,54051
0,54202
0,54318
0,54780
0,55242
1,32400
1,31610
1,31817
1,31887
1,31889
1,32231
1,32289
1,32295
1,32332
1,32371
1,32457
1,32485
1,32513
1,32549
1,32632
1,32710
1,32862
1,32941
1,32947
1,32985
1,33000
1,33128
1,33138
1,33156
1,33297
1,33307
1,33601
1,34025
1,34051
1,34051
1,34271
1,34504
1,34612
1,34666
1,34720
1,34770
1,34811
1,34838
1,34892
1,35016
1,35098
1,35456
1,35539
1,35563
1,35703
1,35708
1,35825
1,35910
1,35940
1,36392
1,36479
1,36636
1,36666
1,36713
1,36716
1,36861
1,36862
1,36910
1,37255
1,37353
1,37865
1,37956
1,38040
1,38041
1,38328
1,38363
1,38743
1,38759
1,38823
1,38897
1,39274
1,39290
1,39313
1,39391
1,39479
1,39899
1,39946
1,40447
1,40747
1,40792
1,41092
1,41139
1,41211
1,41269
1,41390
1,41533
1,41538
1,41579
1,41685
1,41935
1,42137
1,42159
1,42196
1,42489
1,42522
