replica,deadlines
0,61200
0,43295
0,43588
0,61200
0,61200
0,44125
0,44139
0,44367
0,44439
0,44702
0,44856
0,45078
0,61200
0,45155
0,61200
0,45571
0,45784
0,61200
0,45964
0,61200
0,61200
0,46637
0,46686
0,61200
0,61200
0,46961
0,61200
0,46999
0,47136
0,61200
0,47274
0,47742
0,61200
0,61200
0,61200
0,48194
0,48213
0,48362
0,48948
0,49126
0,49257
0,49466
0,49516
0,61200
0,49669
0,61200
0,61200
0,50002
0,61200
0,50210
0,50342
0,50448
0,50496
0,50639
0,50734
0,50978
0,51065
0,61200
0,51520
0,51533
0,61200
0,61200
0,51763
0,61200
0,51839
0,61200
0,61200
0,61200
0,52699
0,52739
0,52859
0,52910
0,53039
0,61200
0,61200
0,61200
0,61200
0,53831
0,53998
0,61200
0,54024
0,54047
0,54350
0,61200
0,54596
0,54690
0,54778
0,54859
0,54905
0,61200
0,61200
0,55315
0,55458
0,55513
0,55527
0,61200
0,61200
0,55997
0,56003
0,56082
0,56095
0,56118
0,61200
0,56345
0,56458
0,61200
0,56666
0,61200
0,56934
0,57023
0,57266
0,61200
0,57424
0,57470
0,57501
0,57620
0,57778
0,57801
0,57915
0,61200
0,61200
0,58381
0,58629
0,58724
0,58764
0,58881
0,58889
0,59101
0,61200
0,59272
0,59453
0,59514
0,61200
0,59627
0,61200
0,61200
0,61200
0,60147
0,60179
0,60211
0,60241
0,61200
0,60619
0,60977
0,60988
0,61200
0,61147
0,61165
0,61773
0,61869
0,61200
0,62004
0,62046
0,62123
0,62400
0,62584
0,61200
0,62967
0,61200
0,63103
0,61200
0,61200
0,63351
0,61200
0,63581
0,63621
0,63629
0,61200
0,61200
0,63814
0,61200
0,61200
0,64154
0,61200
0,61200
0,64471
0,64523
0,61200
0,61200
0,61200
0,61200
0,65208
0,61200
0,61200
0,61200
0,61200
0,61200
0,61200
0,61200
1,61200
1,61200
1,61200
1,61200
1,43589
1,61200
1,43989
1,43995
1,44032
1,44071
1,61200
1,44185
1,44213
1,61200
1,44332
1,44410
1,44562
1,44641
1,61200
1,61200
1,44700
1,61200
1,44838
1,61200
1,44997
1,61200
1,61200
1,45725
1,45751
1,45751
1,45971
1,61200
1,61200
1,61200
1,46420
1,46470
1,46511
1,46538
1,61200
1,46716
1,46798
1,61200
1,47239
