replica,x,y
0,10000.0,10000.0
0,4714.951,4801.874
0,8844.421,10640.83
0,1433.197,1174.5919
0,9889.122,17830.635
0,17456.154,7662.481
0,2005.5073,10326.508
0,9963.75,18664.926
0,1307.9097,15028.511
0,17223.258,14388.657
0,6736.9766,16744.113
0,15789.592,3364.3057
0,14510.232,9925.871
0,6601.14,19471.055
0,11847.036,14779.468
0,4858.334,10112.518
0,10612.711,6037.9463
0,2263.7932,13086.18
0,10219.935,15956.094
0,11128.831,2687.7668
0,2218.4966,11096.407
0,16773.781,6731.4326
0,17799.258,10143.294
0,9867.884,9038.342
0,4533.063,8742.585
0,8180.2417,5460.2876
0,4841.6934,10078.076
0,4453.9116,7877.0444
0,16150.894,9460.601
0,3800.8528,19605.492
0,19003.787,6660.511
0,12447.42,19673.037
0,10582.466,6495.452
0,8323.751,14997.589
0,17564.168,7246.236
0,19427.758,1310.5466
0,5814.5244,2985.8596
0,3703.8088,16724.053
0,19457.19,13569.377
0,9941.711,19658.217
0,16023.528,7818.195
0,5174.4673,178.98094
0,10838.85,15245.153
0,13143.532,3295.649
0,14152.205,3835.4622
0,6293.6157,16107.407
0,5094.0635,12916.188
0,2983.3975,4483.5996
0,19508.893,11153.193
0,1703.4581,6627.3906
0,16897.34,14539.692
0,6620.752,17786.555
0,1421.7097,12461.53
0,9326.881,8744.491
0,12360.607,1337.0168
0,6031.153,9477.466
0,8847.427,11983.776
0,14256.3955,11133.788
0,6653.5547,13814.652
0,14675.16,16621.037
0,16010.311,7946.857
0,15182.651,4733.9736
0,8946.04,1147.2693
0,5319.8477,9925.695
0,3141.0535,15783.395
0,9024.979,15327.306
0,9935.829,19537.576
0,11402.118,18184.742
0,3925.8684,10591.006
0,3278.3955,17039.938
0,13641.451,423.95056
0,3473.6936,10981.839
0,19086.254,18727.932
0,11282.09,4204.1357
0,11209.407,14104.2
0,15334.752,15251.709
0,17722.408,3164.0742
0,8139.6196,10982.546
0,18369.193,8395.703
0,11664.001,14987.929
0,16327.504,3256.083
0,1608.9768,6545.4775
0,18509.428,11712.621
0,3392.3596,5236.284
0,16403.6,5120.95
0,3653.3123,1328.292
0,19355.408,18552.46
0,4670.7437,8849.249
0,6585.765,19630.54
0,4033.3582,9608.998
0,7809.9272,10315.781
0,2768.44,8609.623
0,2578.971,14432.668
0,11643.957,14700.244
0,12498.881,19377.97
0,17218.744,7280.6987
0,8688.025,10600.859
0,19661.316,3466.1462
0,18879.773,14307.448
0,7445.847,8617.123
0,6595.776,3019.94
0,19524.553,9615.879
0,5989.1626,16137.854
0,1371.6221,10929.086
0,9249.28,12629.772
0,1146.8453,664.49927
0,196.289,19168.781
0,16351.782,2075.3835
0,15698.479,3181.0056
0,16267.797,3772.6125
0,17304.316,13524.893
0,19000.96,11117.069
0,4648.4414,11968.37
0,13313.6875,464.40985
0,15354.196,15899.472
0,4492.376,14779.426
0,15882.161,6386.0205
0,14944.603,4281.7065
0,9582.758,12588.514
0,12286.291,2882.9814
0,12165.641,19107.95
0,2192.4934,13141.528
0,1207.7151,19293.65
0,9226.588,13516.667
0,8322.42,15178.405
0,6208.6396,19491.271
0,10889.097,8453.67
0,10206.932,3329.2202
0,13320.553,2238.6055
0,4562.769,1545.9117
0,1120.9207,10612.797
0,4592.946,4663.335
0,10405.89,11561.946
0,5592.5464,14485.036
0,18252.639,14569.079
0,15079.8545,2465.453
0,15644.466,12493.016
0,7197.138,5384.154
0,16443.219,7091.853
0,12040.387,14691.306
0,14372.806,3586.7798
0,11407.185,1153.5747
0,10976.279,18942.297
0,2613.9385,9178.38
0,4614.64,6054.537
0,12162.6045,8702.846
0,9693.56,12731.244
0,3495.855,7631.0605
0,16722.314,12653.57
0,17540.555,4746.093
0,17757.232,4746.7754
0,15494.476,16963.4
0,320.85114,13797.383
0,8859.656,15630.931
0,373.3496,2499.2175
