replica,ready_times
0,32400
0,32495
0,32788
0,32084
0,32160
0,33325
0,33339
0,33567
0,33639
0,33902
0,34056
0,34278
0,33412
0,34355
0,33656
0,34771
0,34984
0,34138
0,35164
0,34602
0,34662
0,35837
0,35886
0,35118
0,35174
0,36161
0,35266
0,36199
0,36336
0,35448
0,36474
0,36942
0,36155
0,36380
0,36477
0,37394
0,37413
0,37562
0,38148
0,38326
0,38457
0,38666
0,38716
0,37947
0,38869
0,38125
0,38271
0,39202
0,38421
0,39410
0,39542
0,39648
0,39696
0,39839
0,39934
0,40178
0,40265
0,39476
0,40720
0,40733
0,39957
0,40032
0,40963
0,40070
0,41039
0,40243
0,40506
0,40526
0,41899
0,41939
0,42059
0,42110
0,42239
0,41807
0,41871
0,41899
0,41999
0,43031
0,43198
0,42316
0,43224
0,43247
0,43550
0,42878
0,43796
0,43890
0,43978
0,44059
0,44105
0,43270
0,43537
0,44515
0,44658
0,44713
0,44727
0,43852
0,43920
0,45197
0,45203
0,45282
0,45295
0,45318
0,44576
0,45545
0,45658
0,44810
0,45866
0,45183
0,46134
0,46223
0,46466
0,45573
0,46624
0,46670
0,46701
0,46820
0,46978
0,47001
0,47115
0,46243
0,46440
0,47581
0,47829
0,47924
0,47964
0,48081
0,48089
0,48301
0,47437
0,48472
0,48653
0,48714
0,47836
0,48827
0,47977
0,48110
0,48210
0,49347
0,49379
0,49411
0,49441
0,48631
0,49819
0,50177
0,50188
0,49307
0,50347
0,50365
0,50973
0,51069
0,50278
0,51204
0,51246
0,51323
0,51600
0,51784
0,51157
0,52167
0,51286
0,52303
0,51625
0,51650
0,52551
0,51757
0,52781
0,52821
0,52829
0,51952
0,52030
0,53014
0,52190
0,52378
0,53354
0,52624
0,52760
0,53671
0,53723
0,52973
0,53017
0,53199
0,53387
0,54408
0,53882
0,53908
0,54051
0,54202
0,54318
0,54780
0,55242
1,32400
1,31610
1,31817
1,31887
1,32789
1,32231
1,33189
1,33195
1,33232
1,33271
1,32457
1,33385
1,33413
1,32549
1,33532
1,33610
1,33762
1,33841
1,32947
1,32985
1,33900
1,33128
1,34038
1,33156
1,34197
1,33307
1,33601
1,34925
1,34951
1,34951
1,35171
1,34504
1,34612
1,34666
1,35620
1,35670
1,35711
1,35738
1,34892
1,35916
1,35998
1,35456
1,36439
1,36463
1,35703
1,36608
1,35825
1,35910
1,36840
1,37292
1,37379
1,37536
1,36666
1,37613
1,36716
1,36861
1,37762
1,36910
1,37255
1,38253
1,38765
1,38856
1,38940
1,38941
1,39228
1,39263
1,39643
1,39659
1,39723
1,38897
1,40174
1,40190
1,40213
1,39391
1,40379
1,40799
1,39946
1,41347
1,41647
1,40792
1,41992
1,42039
1,42111
1,41269
1,42290
1,41533
1,42438
1,42479
1,41685
1,41935
1,42137
1,42159
1,43096
1,43389
1,42522
1,42564
1,43597
1,43712
1,43829
1,43944
1,44150
1,44155
1,44186
1,43529
1,43609
1,43842
1,43913
1,44210
1,44301
1,45212
1,45225
1,45429
1,44582
1,45570
1,45999
1,45150
1,45169
1,46137
1,46153
1,45742
1,46650
1,46656
1,46841
1,46850
1,46998
1,47023
1,47140
1,46389
1,47340
1,47390
1,47435
1,46934
1,47121
1,47378
1,48459
1,48536
1,48669
1,48694
1,47821
1,47887
1,49093
1,49353
1,49618
1,49910
1,49024
1,50043
1,50139
1,50250
1,50275
1,50459
1,50490
1,49625
1,50672
1,49865
1,49890
1,50008
1,51000
1,51078
1,50429
1,51390
1,50493
1,51718
1,51000
1,52186
1,51302
1,51588
1,51634
1,51837
1,53233
1,53463
1,52754
1,53674
1,52784
1,53701
1,53828
1,53934
1,53097
1,54009
1,54086
1,53277
1,53520
1,53616
1,54662
1,53852
1,54764
1,55057
1,55199
1,54369
1,54764
2,32400
2,32621
2,32766
2,32767
2,32824
2,32978
2,32137
2,32165
2,33089
2,32207
2,33115
2,33253
2,32428
2,32601
2,33523
2,33582
2,33586
2,33149
2,34069
2,33297
2,34289
2,34397
2,34398
2,34601
2,33712
2,33800
2,34014
2,34931
2,34126
2,35145
2,34448
2,35361
2,34468
2,35442
2,35451
2,35518
2,34656
2,35573
2,34687
2,34908
2,35852
2,35918
2,35939
2,35165
2,36071
2,36113
2,35334
2,36319
2,35576
2,36509
2,35788
2,36750
2,36824
2,37050
2,36253
2,36390
2,37307
2,36563
2,36598
2,36835
2,37883
2,37885
2,36994
2,37921
2,38029
2,37142
2,38077
2,38098
2,38157
2,38186
2,37648
2,38760
2,38816
2,38078
2,39012
2,38140
2,38180
2,39127
2,38237
2,39177
2,38284
2,38294
2,39380
2,38537
2,39690
2,38888
2,39853
2,39123
2,40099
2,40252
2,40265
2,39415
2,40368
2,39474
2,39489
2,40451
2,40544
2,40628
2,40631
2,40821
2,40079
2,40127
2,41069
2,40217
2,41136
2,41243
2,40391
2,40394
2,40411
2,41350
2,40860
2,41778
2,41136
2,41139
2,41159
2,42067
2,42146
2,42231
2,41341
2,41544
2,42513
2,42779
2,42793
2,41916
2,42016
2,43045
2,42170
2,42254
2,43198
2,42303
2,42906
2,44163
2,44275
2,44407
2,44427
2,44448
2,43795
2,44155
2,44317
2,44417
2,45322
2,44667
2,45816
2,45991
2,45096
2,46064
2,46078
2,46131
2,46209
2,46301
2,46356
2,45542
2,46551
2,46954
2,46233
2,46320
2,46565
2,46882
2,47805
2,47848
2,47939
2,47206
2,48112
2,47288
2,47297
2,48295
2,48431
2,48445
2,48459
2,48541
2,47652
2,48577
2,48826
2,48145
2,49123
2,48297
2,49218
2,49223
2,49572
2,49745
2,49819
2,49903
2,50052
2,50329
2,50358
2,50406
2,50536
2,50801
2,50830
2,50877
2,50888
2,50990
2,51298
2,51369
2,50599
2,51556
2,51631
2,51944
2,52106
2,52305
2,52306
2,51556
2,51733
2,51765
2,51980
2,53195
2,53381
2,53397
2,52669
2,53352
2,54283
2,54397
2,54550
2,54686
2,54713
2,55031
2,55151
2,54259
2,54723
2,54874
3,32400
3,32830
3,31954
3,33100
3,32396
3,33396
3,33458
3,33496
3,33538
3,33735
3,33829
3,33939
3,34216
3,34242
3,34426
3,34587
3,34753
3,33864
3,34964
3,34164
3,34198
3,35113
3,35512
3,35545
3,35578
3,34707
3,34868
3,34871
3,35807
3,34919
3,36092
3,35231
3,36336
3,36398
3,36630
3,35738
3,36699
3,35817
3,36748
3,36831
3,36260
3,37243
3,37461
3,37633
3,36744
3,37726
3,36877
3,37953
3,37983
3,38242
3,38261
3,37469
3,38693
3,37940
3,38846
3,38998
3,38378
3,38393
3,39498
3,39545
3,39558
3,39572
3,39648
3,39727
3,38880
3,38945
3,39848
3,39329
3,39443
3,40445
3,39810
3,40841
3,40039
3,40970
3,40972
3,40181
3,41126
3,41148
3,40437
3,41450
3,41450
3,41570
3,41721
3,41768
3,40909
3,41854
3,40983
3,41016
3,41923
3,42159
3,41393
3,41488
3,42480
3,43095
3,43275
3,42397
3,43342
3,42764
3,43783
3,43976
3,44010
3,44101
3,44312
3,44321
3,44399
3,44861
3,44900
3,44092
3,45086
3,44218
3,45397
3,45642
3,45688
3,45054
3,46020
3,45322
3,45411
3,46500
3,46553
3,46565
3,46694
3,45899
3,46892
3,47081
3,46214
3,47151
3,47312
3,46483
3,47516
3,47652
3,47672
3,46834
3,47739
3,48076
3,47246
3,48160
3,47310
3,47330
3,48263
3,47379
3,47572
3,47578
3,48519
3,48596
3,47907
3,48891
3,48919
3,49006
3,49169
3,49481
3,49511
3,48720
3,49704
3,49738
3,50018
3,50178
3,49455
3,50369
3,49525
3,50478
3,50498
3,50837
3,50840
3,50060
3,51046
3,51318
3,50431
3,50513
3,50713
3,51688
3,50856
3,51844
3,51134
3,52101
3,52122
3,51390
3,52343
3,52343
3,52358
3,52494
3,51941
3,52005
3,52015
3,52957
3,52089
3,53144
3,53231
3,53279
3,53412
3,53456
