t,c_x,c_y
32400,10000.0,10000.0
32401,9993.055555555555,10000.0
32402,9986.11111111111,10000.0
32403,9979.166666666664,10000.0
32404,9972.222222222219,10000.0
32405,9965.277777777774,10000.0
32406,9958.333333333328,10000.0
32407,9951.388888888883,10000.0
32408,9944.444444444438,10000.0
32409,9937.499999999993,10000.0
32410,9930.555555555547,10000.0
32411,9923.611111111102,10000.0
32412,9916.666666666657,10000.0
32413,9909.722222222212,10000.0
32414,9902.777777777766,10000.0
32415,9895.833333333321,10000.0
32416,9889.1220703125,10000.0
32417,9889.1220703125,10006.944444444445
32418,9889.1220703125,10013.88888888889
32419,9889.1220703125,10020.833333333336
32420,9889.1220703125,10027.777777777781
32421,9889.1220703125,10034.722222222226
32422,9889.1220703125,10041.666666666672
32423,9889.1220703125,10048.611111111117
32424,9889.1220703125,10055.555555555562
32425,9889.1220703125,10062.500000000007
32426,9889.1220703125,10069.444444444453
32427,9889.1220703125,10076.388888888898
32428,9889.1220703125,10083.333333333343
32429,9889.1220703125,10090.277777777788
32430,9889.1220703125,10097.222222222234
32431,9889.1220703125,10104.166666666679
32432,9889.1220703125,10111.111111111124
32433,9889.1220703125,10118.05555555557
32434,9889.1220703125,10125.000000000015
32435,9889.1220703125,10131.94444444446
32436,9889.1220703125,10138.888888888905
32437,9889.1220703125,10145.83333333335
32438,9889.1220703125,10152.777777777796
32439,9889.1220703125,10159.72222222224
32440,9889.1220703125,10166.666666666686
32441,9889.1220703125,10173.611111111131
32442,9889.1220703125,10180.555555555577
32443,9889.1220703125,10187.500000000022
32444,9889.1220703125,10194.444444444467
32445,9889.1220703125,10201.388888888912
32446,9889.1220703125,10208.333333333358
32447,9889.1220703125,10215.277777777803
32448,9889.1220703125,10222.222222222248
32449,9889.1220703125,10229.166666666693
32450,9889.1220703125,10236.111111111139
32451,9889.1220703125,10243.055555555584
32452,9889.1220703125,10250.00000000003
32453,9889.1220703125,10256.944444444474
32454,9889.1220703125,10263.88888888892
32455,9889.1220703125,10270.833333333365
32456,9889.1220703125,10277.77777777781
32457,9889.1220703125,10284.722222222255
32458,9889.1220703125,10291.6666666667
32459,9889.1220703125,10298.611111111146
32460,9889.1220703125,10305.555555555591
32461,9889.1220703125,10312.500000000036
32462,9889.1220703125,10319.444444444482
32463,9889.1220703125,10326.388888888927
32464,9889.1220703125,10333.333333333372
32465,9889.1220703125,10340.277777777817
32466,9889.1220703125,10347.222222222263
32467,9889.1220703125,10354.166666666708
32468,9889.1220703125,10361.111111111153
32469,9889.1220703125,10368.055555555598
