index,t_visited
0,1000000000000
1,1000000000000
2,1000000000000
3,1000000000000
4,33723
5,1000000000000
6,1000000000000
7,1000000000000
8,1000000000000
9,1000000000000
10,1000000000000
11,1000000000000
12,35888
13,1000000000000
14,34625
15,1000000000000
16,1000000000000
17,54320
18,1000000000000
19,38323
20,53294
21,1000000000000
22,1000000000000
23,36865
24,52163
25,1000000000000
26,51421
27,1000000000000
28,1000000000000
29,60086
30,1000000000000
31,1000000000000
32,37515
33,57233
34,40268
35,1000000000000
36,1000000000000
37,1000000000000
38,1000000000000
39,1000000000000
40,1000000000000
41,1000000000000
42,1000000000000
43,38882
44,1000000000000
45,56419
46,54933
47,1000000000000
48,45798
49,1000000000000
50,1000000000000
51,1000000000000
52,1000000000000
53,1000000000000
54,1000000000000
55,1000000000000
56,1000000000000
57,46925
58,1000000000000
59,1000000000000
60,40773
61,41536
62,1000000000000
63,51150
64,1000000000000
65,57562
66,1000000000000
67,1000000000000
68,1000000000000
69,1000000000000
70,1000000000000
71,1000000000000
72,1000000000000
73,42626
74,48975
75,47854
76,43884
77,1000000000000
78,1000000000000
79,48601
80,1000000000000
81,1000000000000
82,1000000000000
83,1000000000000
84,1000000000000
85,1000000000000
86,1000000000000
87,1000000000000
88,1000000000000
89,51786
90,50554
91,1000000000000
92,1000000000000
93,1000000000000
94,1000000000000
95,44730
96,50205
97,1000000000000
98,1000000000000
99,1000000000000
100,1000000000000
101,1000000000000
102,56190
103,1000000000000
104,1000000000000
105,1000000000000
106,1000000000000
107,1000000000000
108,1000000000000
109,1000000000000
110,1000000000000
111,46058
112,1000000000000
113,1000000000000
114,1000000000000
115,1000000000000
116,1000000000000
117,1000000000000
118,1000000000000
119,1000000000000
120,1000000000000
121,1000000000000
122,1000000000000
123,1000000000000
124,1000000000000
125,1000000000000
126,1000000000000
127,1000000000000
128,1000000000000
129,1000000000000
130,1000000000000
131,1000000000000
132,49638
133,1000000000000
134,1000000000000
135,1000000000000
136,1000000000000
137,1000000000000
138,1000000000000
139,1000000000000
140,1000000000000
141,1000000000000
142,1000000000000
143,1000000000000
144,1000000000000
145,1000000000000
146,1000000000000
147,1000000000000
148,1000000000000
149,1000000000000
150,1000000000000
151,1000000000000
152,1000000000000
153,1000000000000
154,1000000000000
155,1000000000000
156,1000000000000
157,1000000000000
158,58399
159,1000000000000
160,1000000000000
161,53745
162,1000000000000
163,1000000000000
164,1000000000000
165,1000000000000
166,1000000000000
167,60509
168,1000000000000
169,1000000000000
170,1000000000000
171,52806
172,1000000000000
173,1000000000000
174,1000000000000
175,1000000000000
176,1000000000000
177,55693
178,1000000000000
179,59267
180,1000000000000
181,1000000000000
182,1000000000000
183,55159
184,1000000000000
185,1000000000000
186,56929
187,58071
188,1000000000000
