replica,U_relativa,D_camiones,,,,,
0,0.495081967,397351.25,,,AVERAGE,0.469127498,390.7224843
1,0.509933775,402703.2,,,,,
2,0.444759207,406368.94,,,,,
3,0.421052632,395277.1,,,,,
4,0.411564626,414757.88,,,,,
5,0.485436893,409771.56,,,,,
6,0.509881423,422760.1,,,,,
7,0.407932011,402124.47,,,,,
8,0.515463918,410264.8,,,,,
9,0.484177215,419027.66,,,,,
,,,,,,,
replica,U_relativa,D_camiones,,,,,
0,0.453968254,404880.16,,,,,
1,0.440894569,403109.5,,,,,
2,0.418732782,415630.12,,,,,
3,0.376436782,428036.3,,,,,
4,0.414201183,411762.72,,,,,
5,0.418181818,405001.9,,,,,
6,0.394658754,389168.53,,,,,
7,0.382857143,402265.5,,,,,
8,0.410326087,407590.94,,,,,
9,0.429936306,412938.34,,,,,
,,,,,,,
replica,U_relativa,D_camiones,,,,,
0,0.511111111,354112.44,,,,,
1,0.522435897,365880.5,,,,,
2,0.516516517,390311.94,,,,,
3,0.507739938,352903.6,,,,,
4,0.494652406,366192.38,,,,,
5,0.474860335,382453.97,,,,,
6,0.56996587,362046.03,,,,,
7,0.530351438,358914.12,,,,,
8,0.487654321,377802.75,,,,,
9,0.531343284,344556.2,,,,,
,,,,,,,
replica,U_relativa,D_camiones,,,,,
0,0.495238095,384270.12,,,,,
1,0.458333333,381525.44,,,,,
2,0.468468468,397867.72,,,,,
3,0.473684211,372709.75,,,,,
4,0.473262032,358841.56,,,,,
5,0.483240223,375552.5,,,,,
6,0.546075085,395263.44,,,,,
7,0.469648562,391943.5,,,,,
8,0.444444444,391845.06,,,,,
9,0.480597015,363115.38,,,,,
