tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
33335,1000000000000,1000000000000,1000000000000,True
1000000000000,35276,1000000000000,1000000000000,False
1000000000000,1000000000000,34169,1000000000000,False
1000000000000,1000000000000,1000000000000,59405,True
1000000000000,1000000000000,41200,1000000000000,False
39368,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,37111,1000000000000,False
35400,1000000000000,1000000000000,1000000000000,True
1000000000000,40797,1000000000000,1000000000000,False
1000000000000,1000000000000,40584,1000000000000,False
1000000000000,40111,1000000000000,1000000000000,False
34145,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39554,1000000000000,False
1000000000000,1000000000000,41874,1000000000000,False
1000000000000,39423,1000000000000,1000000000000,False
1000000000000,1000000000000,37771,1000000000000,False
1000000000000,1000000000000,42610,1000000000000,False
1000000000000,43425,1000000000000,1000000000000,False
1000000000000,41216,1000000000000,1000000000000,False
1000000000000,43049,1000000000000,1000000000000,False
37878,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59362,True
1000000000000,1000000000000,38425,1000000000000,False
1000000000000,1000000000000,1000000000000,45304,False
36159,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59203,True
1000000000000,45499,1000000000000,1000000000000,False
1000000000000,46410,1000000000000,1000000000000,False
1000000000000,42842,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46983,False
1000000000000,42463,1000000000000,1000000000000,False
38847,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47207,False
39989,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47542,False
1000000000000,1000000000000,1000000000000,47674,False
1000000000000,1000000000000,46372,1000000000000,False
1000000000000,1000000000000,1000000000000,48519,False
1000000000000,1000000000000,1000000000000,49021,False
1000000000000,1000000000000,1000000000000,49821,False
1000000000000,1000000000000,48796,1000000000000,False
1000000000000,1000000000000,1000000000000,59733,True
1000000000000,1000000000000,1000000000000,59883,True
1000000000000,1000000000000,1000000000000,50047,False
47581,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49767,False
58851,1000000000000,1000000000000,1000000000000,True
40264,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49928,False
1000000000000,1000000000000,1000000000000,50122,False
1000000000000,1000000000000,1000000000000,59325,True
1000000000000,1000000000000,1000000000000,50868,False
40656,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51129,False
41577,1000000000000,1000000000000,1000000000000,True
41243,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50896,False
58038,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50739,False
1000000000000,1000000000000,1000000000000,59895,True
1000000000000,1000000000000,47362,1000000000000,False
1000000000000,1000000000000,1000000000000,50879,False
42475,1000000000000,1000000000000,1000000000000,True
42796,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51602,False
1000000000000,1000000000000,50527,1000000000000,False
1000000000000,1000000000000,47813,1000000000000,False
1000000000000,1000000000000,1000000000000,51947,False
1000000000000,1000000000000,1000000000000,52303,False
1000000000000,1000000000000,46849,1000000000000,False
1000000000000,1000000000000,1000000000000,52145,False
1000000000000,1000000000000,1000000000000,59304,True
59332,1000000000000,1000000000000,1000000000000,True
43587,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52802,False
43944,1000000000000,1000000000000,1000000000000,True
48417,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52763,False
1000000000000,1000000000000,1000000000000,59774,True
1000000000000,1000000000000,1000000000000,60383,True
1000000000000,1000000000000,51703,1000000000000,False
45367,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53213,False
1000000000000,51309,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59855,True
1000000000000,1000000000000,1000000000000,54076,False
44460,1000000000000,1000000000000,1000000000000,True
55834,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53994,False
1000000000000,51592,1000000000000,1000000000000,False
1000000000000,1000000000000,49312,1000000000000,False
1000000000000,1000000000000,1000000000000,53970,False
1000000000000,1000000000000,49580,1000000000000,False
46341,1000000000000,1000000000000,1000000000000,True
56530,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48295,1000000000000,False
1000000000000,1000000000000,1000000000000,59688,True
1000000000000,1000000000000,1000000000000,59638,True
1000000000000,52680,1000000000000,1000000000000,False
1000000000000,50637,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59183,True
1000000000000,1000000000000,55307,1000000000000,False
1000000000000,1000000000000,1000000000000,54660,False
46100,1000000000000,1000000000000,1000000000000,True
1000000000000,52029,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55317,False
1000000000000,50939,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55755,False
1000000000000,1000000000000,1000000000000,55782,False
1000000000000,1000000000000,1000000000000,59265,True
1000000000000,49568,1000000000000,1000000000000,False
1000000000000,52327,1000000000000,1000000000000,False
1000000000000,1000000000000,54558,1000000000000,False
1000000000000,1000000000000,1000000000000,56135,False
48011,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,55566,False
1000000000000,1000000000000,1000000000000,56044,False
1000000000000,1000000000000,1000000000000,56888,False
1000000000000,56699,1000000000000,1000000000000,False
47212,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58798,True
1000000000000,1000000000000,1000000000000,56110,False
1000000000000,1000000000000,1000000000000,59234,True
1000000000000,50410,1000000000000,1000000000000,False
1000000000000,1000000000000,55670,1000000000000,False
1000000000000,1000000000000,1000000000000,59387,True
1000000000000,1000000000000,1000000000000,56723,False
1000000000000,1000000000000,1000000000000,59265,True
49354,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59976,True
51169,1000000000000,1000000000000,1000000000000,True
