time,request_id,decision,phi,vehicle_id,position
32529.263951811696,R2_C8,inserted,1.0,1.0,1.0
32649.697142876816,R2_C9,inserted,1.0,1.0,1.0
32662.047989058417,R2_C10,inserted,1.0,0.0,3.0
32722.33836859137,R2_C11,inserted,1.0,0.0,1.0
32861.73201878289,R2_C14,inserted,1.0,0.0,4.0
32924.4118321604,R2_C15,inserted,1.0,0.0,6.0
33117.87243691766,R2_C18,inserted,1.0,1.0,2.0
33289.56972307207,R2_C20,inserted,1.0,1.0,1.0
33423.046863633564,R2_C21,inserted,1.0,0.0,1.0
33445.29347169964,R2_C22,inserted,1.0,0.0,7.0
33914.76176793797,R2_C26,inserted,1.0,2.0,3.0
34230.02001721345,R2_C28,inserted,1.0,0.0,3.0
34771.90023909895,R2_C31,inserted,1.0,0.0,1.0
35460.181417550164,R2_C34,inserted,1.0,1.0,0.0
35753.84625664462,R2_C38,inserted,1.0,1.0,2.0
36228.64036323939,R2_C39,inserted,1.0,1.0,1.0
36718.64356014954,R2_C42,inserted,1.0,2.0,1.0
37291.28716423118,R2_C46,inserted,1.0,1.0,3.0
37317.159719003634,R2_C47,inserted,1.0,1.0,5.0
37643.440088256866,R2_C51,inserted,1.0,0.0,1.0
38300.003509661954,R2_C56,inserted,1.0,0.0,3.0
38308.062459316265,R2_C57,inserted,1.0,0.0,7.0
38335.10291485196,R2_C58,inserted,1.0,0.0,1.0
38349.56025454675,R2_C60,inserted,1.0,0.0,0.0
38566.20212919348,R2_C61,inserted,1.0,1.0,0.0
38820.91230519953,R2_C65,inserted,1.0,0.0,0.0
39070.977020819184,R2_C69,inserted,1.0,1.0,1.0
39862.29421144297,R2_C74,inserted,1.0,1.0,0.0
39898.54673222362,R2_C75,inserted,1.0,1.0,3.0
40000.37465833332,R2_C76,inserted,1.0,1.0,1.0
40061.879487948405,R2_C78,inserted,1.0,0.0,8.0
40238.863409131045,R2_C81,inserted,1.0,1.0,0.0
40241.6239571043,R2_C82,inserted,1.0,1.0,4.0
40517.330857445755,R2_C87,inserted,1.0,1.0,0.0
40595.51213079163,R2_C88,inserted,1.0,0.0,4.0
42056.615345257116,R2_C93,inserted,1.0,1.0,7.0
42097.02773033658,R2_C95,inserted,1.0,0.0,7.0
42265.01535851238,R2_C98,inserted,1.0,1.0,6.0
42343.80232662036,R2_C99,inserted,1.0,2.0,8.0
42664.204583298524,R2_C101,inserted,1.0,1.0,3.0
43023.52487328849,R2_C103,inserted,1.0,1.0,6.0
43300.447813593644,R2_C105,inserted,1.0,1.0,9.0
43890.81417765038,R2_C107,inserted,1.0,2.0,7.0
43937.65544381157,R2_C108,inserted,1.0,1.0,7.0
44162.21371449473,R2_C110,inserted,1.0,0.0,0.0
44235.23040706131,R2_C111,inserted,1.0,0.0,3.0
44289.46848448528,R2_C112,inserted,1.0,1.0,2.0
44670.067921205635,R2_C116,inserted,1.0,1.0,5.0
44942.39475791947,R2_C119,inserted,1.0,1.0,9.0
45071.978865057914,R2_C123,inserted,1.0,1.0,3.0
46226.06423806457,R2_C129,inserted,1.0,2.0,1.0
46360.64701789947,R2_C131,inserted,1.0,0.0,2.0
46778.747953364466,R2_C133,inserted,1.0,1.0,0.0
47881.06001806244,R2_C140,inserted,1.0,2.0,1.0
48123.950354982466,R2_C143,inserted,1.0,2.0,3.0
48444.31997154188,R2_C145,inserted,1.0,1.0,9.0
48559.181301043194,R2_C147,inserted,1.0,2.0,3.0
48651.109742385364,R2_C148,inserted,1.0,2.0,7.0
48714.719486720205,R2_C149,inserted,1.0,1.0,5.0
48718.49724814986,R2_C150,inserted,1.0,2.0,8.0
49332.22440143777,R2_C154,inserted,1.0,2.0,1.0
49409.870868947466,R2_C155,inserted,1.0,1.0,6.0
50188.72495749217,R2_C161,inserted,1.0,0.0,12.0
50874.671409133225,R2_C166,inserted,1.0,0.0,12.0
51072.51214951741,R2_C168,postponed,0.0,,
51307.15726189788,R2_C171,inserted,1.0,2.0,6.0
51763.59474097987,R2_C175,inserted,1.0,0.0,7.0
52128.226158073565,R2_C178,inserted,0.8,2.0,6.0
52424.920850513096,R2_C180,inserted,1.0,2.0,2.0
52425.17723183791,R2_C181,inserted,1.0,0.0,7.0
52671.276125317214,R2_C183,inserted,0.8,1.0,2.0
52691.524566476735,R2_C185,postponed,0.0,,
53250.63044753509,R2_C189,postponed,0.0,,
53570.28516269895,R2_C192,postponed,0.0,,
54134.67922394274,R2_C195,inserted,0.8,1.0,4.0
54484.81420742186,R2_C198,inserted,1.0,1.0,4.0
54544.17676005725,R2_C199,postponed,0.0,,
54752.025021090085,R2_C200,postponed,0.0,,
54835.44390345576,R2_C201,postponed,0.0,,
54980.9944027721,R2_C202,inserted,1.0,1.0,4.0
