instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,alns_max_iterations,dynamic_insertion_n_scenarios,seed
1,0,15,140,30.0,process,16,10000,5,42
1,0,20,140,30.0,process,16,10000,5,42
1,0,30,140,30.0,process,16,10000,5,42
1,0,40,140,30.0,process,16,10000,5,42
1,0,50,140,30.0,process,16,10000,5,42
1,0,60,140,30.0,process,16,10000,5,42
1,10,15,140,30.0,process,16,10000,5,42
1,10,20,140,30.0,process,16,10000,5,42
1,10,30,140,30.0,process,16,10000,5,42
1,10,40,140,30.0,process,16,10000,5,42
1,10,50,140,30.0,process,16,10000,5,42
1,10,60,140,30.0,process,16,10000,5,42
1,20,15,140,30.0,process,16,10000,5,42
1,20,20,140,30.0,process,16,10000,5,42
1,20,30,140,30.0,process,16,10000,5,42
1,20,40,140,30.0,process,16,10000,5,42
1,20,50,140,30.0,process,16,10000,5,42
1,20,60,140,30.0,process,16,10000,5,42
1,30,15,140,30.0,process,16,10000,5,42
1,30,20,140,30.0,process,16,10000,5,42
1,30,30,140,30.0,process,16,10000,5,42
1,30,40,140,30.0,process,16,10000,5,42
1,30,50,140,30.0,process,16,10000,5,42
1,30,60,140,30.0,process,16,10000,5,42
1,40,15,140,30.0,process,16,10000,5,42
1,40,20,140,30.0,process,16,10000,5,42
1,40,30,140,30.0,process,16,10000,5,42
1,40,40,140,30.0,process,16,10000,5,42
1,40,50,140,30.0,process,16,10000,5,42
1,40,60,140,30.0,process,16,10000,5,42
1,50,15,140,30.0,process,16,10000,5,42
1,50,20,140,30.0,process,16,10000,5,42
1,50,30,140,30.0,process,16,10000,5,42
1,50,40,140,30.0,process,16,10000,5,42
1,50,50,140,30.0,process,16,10000,5,42
1,50,60,140,30.0,process,16,10000,5,42
1,60,15,140,30.0,process,16,10000,5,42
1,60,20,140,30.0,process,16,10000,5,42
1,60,30,140,30.0,process,16,10000,5,42
1,60,40,140,30.0,process,16,10000,5,42
1,60,50,140,30.0,process,16,10000,5,42
1,60,60,140,30.0,process,16,10000,5,42
1,70,15,140,30.0,process,16,10000,5,42
1,70,20,140,30.0,process,16,10000,5,42
1,70,30,140,30.0,process,16,10000,5,42
1,70,40,140,30.0,process,16,10000,5,42
1,70,50,140,30.0,process,16,10000,5,42
1,70,60,140,30.0,process,16,10000,5,42
1,80,15,140,30.0,process,16,10000,5,42
1,80,20,140,30.0,process,16,10000,5,42
1,80,30,140,30.0,process,16,10000,5,42
1,80,40,140,30.0,process,16,10000,5,42
1,80,50,140,30.0,process,16,10000,5,42
1,80,60,140,30.0,process,16,10000,5,42
1,90,15,140,30.0,process,16,10000,5,42
1,90,20,140,30.0,process,16,10000,5,42
1,90,30,140,30.0,process,16,10000,5,42
1,90,40,140,30.0,process,16,10000,5,42
1,90,50,140,30.0,process,16,10000,5,42
1,90,60,140,30.0,process,16,10000,5,42
