status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,alns_max_iterations,dynamic_insertion_n_scenarios,run_msa_on_request_arrival_if_vehicle_waiting,seed,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,dynamic_pickups_inserted,dynamic_pickups_postponed,dynamic_pickups_undecided,solver,consensus_mode,parallel_workers,msa_calls,msa_scenarios_completed,msa_total_wall_time_sec,msa_avg_wall_time_sec,msa_max_wall_time_sec,parallel_worker_errors,parallel_fallback_tasks,service_rate,run_id
ok,2026-06-19T11:08:40,2026-06-19T11:12:50,249.94568419991992,4.165761403331999,1,0,15,140,30.0,process,16,1,False,10000,5,True,42,103,100,203,139.0,329.0,0.42249240121580545,447.19470255793146,6,66,8,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,10,150,213.50639069988392,21.350639069988393,30.881428000051528,0,0,0.5073891625615764,1
ok,2026-06-19T11:12:50,2026-06-19T11:21:01,490.44827579986304,8.174137929997718,1,0,20,140,30.0,process,16,1,False,10000,5,True,42,88,83,171,128.0,281.0,0.4555160142348754,463.62009059073574,7,48,5,8,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,200,459.0820412996691,45.908204129966904,61.02294069994241,0,0,0.5146198830409356,2
ok,2026-06-19T11:21:01,2026-06-19T11:28:00,419.37082009995356,6.98951366833256,1,0,30,140,30.0,process,16,1,False,10000,5,True,42,100,92,192,144.0,320.0,0.45,462.93356628019666,7,53,6,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,300,376.8009019000456,37.680090190004556,61.22233909997158,0,0,0.5208333333333334,3
ok,2026-06-19T11:28:00,2026-06-19T11:35:21,440.7309556999244,7.345515928332073,1,0,40,140,30.0,process,16,1,False,10000,5,True,42,98,108,206,125.0,331.0,0.3776435045317221,455.33576061201273,5,68,3,5,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,280,368.32461980031803,52.61780282861686,91.46407260000706,0,0,0.47572815533980584,4
ok,2026-06-19T11:35:21,2026-06-19T11:48:21,779.9286440000869,12.998810733334782,1,0,50,140,30.0,process,16,1,False,10000,5,True,42,99,119,218,133.0,356.0,0.37359550561797755,447.4522512687586,5,65,10,5,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,450,688.4266844000667,76.49185382222964,121.645772700198,0,0,0.4541284403669725,5
ok,2026-06-19T11:48:21,2026-06-19T11:57:26,545.0953357999679,9.084922263332798,1,0,60,140,30.0,process,16,1,False,10000,5,True,42,87,88,175,110.0,277.0,0.3971119133574007,478.8040017738868,5,61,5,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,360,452.33427150011994,75.38904525001999,121.8616059999913,0,0,0.49714285714285716,6
ok,2026-06-19T11:57:26,2026-06-19T12:01:56,269.9908302000258,4.4998471700004306,1,10,15,140,30.0,process,16,1,False,10000,5,True,42,110,97,207,152.0,339.0,0.44837758112094395,428.2094092627989,7,68,4,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,11,165,231.1609130995348,21.014628463594075,30.872608099831268,0,0,0.5314009661835749,7
ok,2026-06-19T12:01:56,2026-06-19T12:09:48,471.95420739986,7.865903456664333,1,10,20,140,30.0,process,16,1,False,10000,5,True,42,104,108,212,138.0,343.0,0.40233236151603496,443.30870176956705,7,69,7,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,200,426.709494800074,42.6709494800074,61.01111750002019,0,0,0.49056603773584906,8
ok,2026-06-19T12:09:49,2026-06-19T12:16:45,416.3794941001106,6.939658235001843,1,10,30,140,30.0,process,16,1,False,10000,5,True,42,105,93,198,136.0,306.0,0.4444444444444444,447.14595792995624,6,72,10,6,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,12,360,341.3715917998925,28.44763264999104,61.23238749988377,0,0,0.5303030303030303,9
ok,2026-06-19T12:16:45,2026-06-19T12:27:39,653.7297989998478,10.895496649997463,1,10,40,140,30.0,process,16,1,False,10000,5,True,42,108,102,210,141.0,336.0,0.41964285714285715,433.90143092512693,6,74,5,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,360,575.963790099835,63.995976677759444,91.4990317998454,0,0,0.5142857142857142,10
ok,2026-06-19T12:27:39,2026-06-19T12:42:19,880.2953162000049,14.671588603333415,1,10,50,140,30.0,process,16,1,False,10000,5,True,42,103,96,199,138.0,321.0,0.42990654205607476,441.47159103818734,6,67,8,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,500,794.3199422003236,79.43199422003235,121.63237569993362,0,0,0.5175879396984925,11
ok,2026-06-19T12:42:19,2026-06-19T12:52:32,612.8580702000763,10.214301170001272,1,10,60,140,30.0,process,16,1,False,10000,5,True,42,105,107,212,125.0,338.0,0.3698224852071006,449.21203867765365,4,81,1,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,420,502.83456790004857,71.83350970000694,121.89304140000604,0,0,0.49528301886792453,12
ok,2026-06-19T12:52:33,2026-06-19T12:56:43,250.38417480001226,4.173069580000204,1,20,15,140,30.0,process,16,1,False,10000,5,True,42,108,99,207,142.0,322.0,0.4409937888198758,452.4984301803612,7,72,16,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,10,150,209.31151069956832,20.931151069956833,30.895630599930882,0,0,0.5217391304347826,13
ok,2026-06-19T12:56:43,2026-06-19T13:03:03,379.8421440999955,6.330702401666591,1,20,20,140,30.0,process,16,1,False,10000,5,True,42,94,115,209,125.0,347.0,0.36023054755043227,461.2201248708563,6,62,4,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,160,341.86739000002854,42.73342375000357,61.03461999981664,0,0,0.44976076555023925,14
ok,2026-06-19T13:03:04,2026-06-19T13:09:49,404.9766794000752,6.749611323334587,1,20,30,140,30.0,process,16,1,False,10000,5,True,42,102,119,221,125.0,362.0,0.3453038674033149,455.6830674376424,6,74,0,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,240,349.76228909986094,43.72028613748262,61.22425620001741,0,0,0.46153846153846156,15
ok,2026-06-19T13:09:49,2026-06-19T13:19:15,566.3081828001887,9.438469713336477,1,20,40,140,30.0,process,16,1,False,10000,5,True,42,86,110,196,102.0,318.0,0.32075471698113206,461.52944227030423,6,68,2,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,320,500.51280909986235,62.564101137482794,91.42139989999123,0,0,0.4387755102040816,16
ok,2026-06-19T13:19:16,2026-06-19T13:32:42,806.407485099975,13.44012475166625,1,20,50,140,30.0,process,16,1,False,10000,5,True,42,102,119,221,111.0,348.0,0.31896551724137934,436.5981850451091,5,92,1,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,450,694.719531000359,77.19105900003989,121.66473029996268,0,0,0.46153846153846156,17
ok,2026-06-19T13:32:43,2026-06-19T13:46:11,808.9006994001102,13.481678323335169,1,20,60,140,30.0,process,16,1,False,10000,5,True,42,96,91,187,128.0,300.0,0.4266666666666667,456.4714044174483,7,58,8,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,600,716.318174400134,71.6318174400134,121.89418100006878,0,0,0.5133689839572193,18
ok,2026-06-19T13:46:12,2026-06-19T13:49:09,176.479824999813,2.9413304166635497,1,30,15,140,30.0,process,16,1,False,10000,5,True,42,86,98,184,108.0,297.0,0.36363636363636365,473.0544128512777,5,62,5,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,8,120,145.4145589999389,18.17681987499236,30.906287899939343,0,0,0.4673913043478261,19
ok,2026-06-19T13:49:09,2026-06-19T13:54:45,335.5977450001519,5.5932957500025315,1,30,20,140,30.0,process,16,1,False,10000,5,True,42,110,90,200,149.0,317.0,0.47003154574132494,446.21312122531396,6,67,10,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,160,291.72954760002904,36.46619345000363,61.01801519980654,0,0,0.55,20
ok,2026-06-19T13:54:45,2026-06-19T14:02:12,446.7876303999219,7.446460506665365,1,30,30,140,30.0,process,16,1,False,10000,5,True,42,89,72,161,121.0,262.0,0.4618320610687023,456.16188664874363,7,57,3,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,10,300,406.0273009999655,40.60273009999655,61.237811899976805,0,0,0.5527950310559007,21
ok,2026-06-19T14:02:13,2026-06-19T14:11:03,530.2759239999577,8.837932066665962,1,30,40,140,30.0,process,16,1,False,10000,5,True,42,93,103,196,124.0,318.0,0.389937106918239,470.4765199739503,6,60,8,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,360,460.0537564998958,51.117084055543984,91.41198239987716,0,0,0.4744897959183674,22
ok,2026-06-19T14:11:03,2026-06-19T14:21:06,602.1101232999936,10.03516872166656,1,30,50,140,30.0,process,16,1,False,10000,5,True,42,98,117,215,117.0,338.0,0.34615384615384615,462.0363021670178,5,76,9,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,350,500.2239624003414,71.46056605719163,121.63783599995077,0,0,0.4558139534883721,23
ok,2026-06-19T14:21:06,2026-06-19T14:36:51,944.7521800000686,15.74586966666781,1,30,60,140,30.0,process,16,1,False,10000,5,True,42,119,123,242,138.0,372.0,0.3709677419354839,428.04468243591634,5,96,9,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,540,787.9558875001967,87.55065416668852,121.90828620013781,0,0,0.49173553719008267,24
ok,2026-06-19T14:36:52,2026-06-19T14:41:07,255.79910760000348,4.263318460000058,1,40,15,140,30.0,process,16,1,False,10000,5,True,42,111,102,213,147.0,341.0,0.4310850439882698,440.8151541014842,7,72,10,0,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,10,150,218.7266899999231,21.87266899999231,30.872233800124377,0,0,0.5211267605633803,25
ok,2026-06-19T14:41:08,2026-06-19T14:47:04,355.55884690000676,5.925980781666779,1,40,20,140,30.0,process,16,1,False,10000,5,True,42,103,106,209,134.0,336.0,0.39880952380952384,458.9739734104597,6,68,8,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,160,310.70287159993313,38.83785894999164,61.00381560018286,0,0,0.49282296650717705,26
ok,2026-06-19T14:47:04,2026-06-19T14:52:01,296.1984696001746,4.936641160002909,1,40,30,140,30.0,process,16,1,False,10000,5,True,42,101,108,209,133.0,340.0,0.3911764705882353,459.6518294448475,5,65,3,5,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,180,238.92864000005648,39.82144000000941,61.240980400005355,0,0,0.48325358851674644,27
ok,2026-06-19T14:52:01,2026-06-19T14:59:35,453.4138684999198,7.556897808331996,1,40,40,140,30.0,process,16,1,False,10000,5,True,42,104,94,198,127.0,310.0,0.4096774193548387,448.7724524196572,5,77,1,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,280,367.5575437997468,52.50822054282097,91.57984619983472,0,0,0.5252525252525253,28
ok,2026-06-19T14:59:36,2026-06-19T15:11:29,713.2942393999547,11.888237323332579,1,40,50,140,30.0,process,16,1,False,10000,5,True,42,100,106,206,120.0,326.0,0.36809815950920244,448.99944380186025,4,79,3,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,400,618.5535931994673,77.31919914993341,121.77084789983928,0,0,0.4854368932038835,29
ok,2026-06-19T15:11:30,2026-06-19T15:25:18,828.2146499999799,13.803577499999665,1,40,60,140,30.0,process,16,1,False,10000,5,True,42,91,113,204,127.0,345.0,0.3681159420289855,453.8408656550921,5,53,6,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,540,747.604225900257,83.06713621113967,121.90403810003772,0,0,0.44607843137254904,30
ok,2026-06-19T15:25:19,2026-06-19T15:27:55,155.92273480002768,2.598712246667128,1,50,15,140,30.0,process,16,1,False,10000,5,True,42,98,89,187,126.0,294.0,0.42857142857142855,455.60408588744724,5,68,6,4,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,7,105,123.36224940023385,17.623178485747694,30.889809099957347,0,0,0.5240641711229946,31
ok,2026-06-19T15:27:56,2026-06-19T15:34:21,385.59484010003507,6.4265806683339175,1,50,20,140,30.0,process,16,1,False,10000,5,True,42,108,89,197,136.0,301.0,0.45182724252491696,449.38413258512537,6,78,7,6,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,160,332.8832043001894,41.610400537523674,61.02842850005254,0,0,0.5482233502538071,32
ok,2026-06-19T15:34:22,2026-06-19T15:41:29,426.3073225999251,7.105122043332085,1,50,30,140,30.0,process,16,1,False,10000,5,True,42,107,76,183,156.0,293.0,0.5324232081911263,457.49622916883277,7,54,13,3,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,9,270,377.3375955002848,41.92639950003164,61.198505100095645,0,0,0.5846994535519126,33
ok,2026-06-19T15:41:29,2026-06-19T15:48:14,404.93462199997157,6.748910366666193,1,50,40,140,30.0,process,16,1,False,10000,5,True,42,94,100,194,122.0,314.0,0.3885350318471338,473.5342899474416,5,61,6,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,6,240,338.45746660022996,56.40957776670499,91.4757031002082,0,0,0.4845360824742268,34
ok,2026-06-19T15:48:15,2026-06-19T15:59:37,682.0934225998353,11.368223709997256,1,50,50,140,30.0,process,16,1,False,10000,5,True,42,97,128,225,116.0,359.0,0.3231197771587744,457.5658412664184,4,77,7,6,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,8,400,579.6474929994438,72.45593662493047,121.65730569977313,0,0,0.4311111111111111,35
ok,2026-06-19T15:59:38,2026-06-19T16:10:30,651.5226249999832,10.858710416666387,1,50,60,140,30.0,process,16,1,False,10000,5,True,42,90,106,196,120.0,329.0,0.364741641337386,457.42518912903597,6,56,0,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,16,7,420,578.3743744997773,82.62491064282533,121.85923619987443,0,0,0.45918367346938777,36
ok,2026-06-19T16:10:31,2026-06-19T16:13:42,190.63224039995112,3.177204006665852,1,60,15,140,30.0,process,16,1,False,10000,5,True,42,104,86,190,139.0,308.0,0.4512987012987013,444.80099328256034,5,67,2,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,15,8,120,159.6269755999092,19.95337194998865,30.905238300096244,0,0,0.5473684210526316,37
