time,request_id,decision,phi,vehicle_id,position
32778.842391800754,R20_C13,inserted,1.0,0.0,5.0
33257.49018012926,R20_C16,inserted,1.0,0.0,4.0
33303.75018536509,R20_C17,inserted,1.0,0.0,3.0
33769.3053636502,R20_C20,inserted,1.0,2.0,0.0
33879.028403150485,R20_C21,inserted,1.0,1.0,0.0
34102.19521181152,R20_C23,inserted,1.0,2.0,1.0
34411.79740466035,R20_C24,inserted,1.0,2.0,2.0
34497.71984636876,R20_C25,inserted,1.0,0.0,1.0
35206.62158182309,R20_C32,inserted,1.0,0.0,2.0
35913.95908372895,R20_C33,inserted,1.0,2.0,1.0
35960.491017911794,R20_C34,inserted,1.0,2.0,3.0
36153.68009051645,R20_C39,inserted,1.0,2.0,3.0
37048.518106905714,R20_C41,inserted,1.0,0.0,4.0
37526.346671108986,R20_C43,inserted,1.0,2.0,2.0
38342.32698386684,R20_C47,inserted,1.0,1.0,6.0
38486.204060852215,R20_C50,inserted,1.0,1.0,7.0
38677.25984123076,R20_C52,inserted,1.0,0.0,4.0
38985.94976525549,R20_C53,inserted,1.0,2.0,2.0
39004.99681273264,R20_C54,inserted,1.0,2.0,2.0
39255.279546241116,R20_C56,inserted,1.0,2.0,0.0
39948.55855046366,R20_C61,inserted,1.0,1.0,7.0
40062.912625692115,R20_C63,inserted,1.0,1.0,7.0
41307.22161572881,R20_C69,inserted,1.0,1.0,4.0
41604.205554839704,R20_C70,inserted,1.0,2.0,1.0
42062.41524772158,R20_C72,inserted,1.0,2.0,0.0
42089.62942107816,R20_C73,inserted,1.0,2.0,1.0
42523.73093873312,R20_C76,inserted,1.0,1.0,4.0
43232.980730682815,R20_C79,inserted,1.0,0.0,0.0
43517.61108567293,R20_C82,inserted,1.0,1.0,5.0
43604.840195998986,R20_C85,inserted,1.0,1.0,7.0
43875.200503692686,R20_C87,inserted,1.0,2.0,0.0
44415.702033870635,R20_C93,inserted,1.0,1.0,3.0
44536.06627601685,R20_C94,inserted,1.0,0.0,1.0
44945.83261099783,R20_C96,inserted,1.0,1.0,3.0
45248.15985147069,R20_C97,inserted,1.0,2.0,0.0
45408.055990621884,R20_C98,inserted,1.0,2.0,0.0
45602.15057566819,R20_C102,inserted,1.0,0.0,1.0
45739.75226274818,R20_C103,inserted,1.0,2.0,2.0
46416.7332739245,R20_C108,inserted,1.0,1.0,3.0
46772.099625807445,R20_C110,inserted,1.0,1.0,7.0
46884.33458706824,R20_C111,inserted,1.0,2.0,1.0
47003.366950432835,R20_C113,inserted,1.0,0.0,0.0
47068.89604120039,R20_C115,inserted,1.0,2.0,1.0
47441.538585852286,R20_C119,inserted,1.0,1.0,5.0
47949.14159429031,R20_C121,inserted,1.0,1.0,0.0
47950.342062701246,R20_C122,inserted,1.0,0.0,1.0
48251.27469466546,R20_C127,inserted,1.0,2.0,1.0
48317.93448031908,R20_C129,inserted,1.0,2.0,1.0
48344.5006380051,R20_C130,inserted,1.0,0.0,0.0
48566.60089792233,R20_C134,inserted,1.0,0.0,0.0
48574.27142515132,R20_C135,inserted,1.0,1.0,1.0
48674.903315847776,R20_C137,inserted,1.0,0.0,0.0
48748.57989969652,R20_C138,inserted,1.0,0.0,3.0
49652.93677501618,R20_C144,inserted,1.0,0.0,1.0
51140.72662535266,R20_C148,inserted,1.0,0.0,3.0
51295.4743575675,R20_C150,inserted,1.0,1.0,5.0
51927.34139143661,R20_C156,inserted,1.0,1.0,6.0
52151.80925020423,R20_C160,inserted,1.0,1.0,1.0
53539.422641890524,R20_C167,undecided,0.2,,
54042.110205213976,R20_C173,inserted,1.0,1.0,0.0
54641.26206751293,R20_C176,inserted,1.0,0.0,0.0
54653.42415699281,R20_C177,postponed,0.0,,
54887.350187928,R20_C178,inserted,1.0,1.0,3.0
55067.244604526204,R20_C179,inserted,1.0,0.0,1.0
55197.43077581227,R20_C180,inserted,0.8,0.0,2.0
