status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,alns_max_iterations,dynamic_insertion_n_scenarios,run_msa_on_request_arrival_if_vehicle_waiting,seed,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,dynamic_pickups_inserted,dynamic_pickups_postponed,dynamic_pickups_undecided,solver,consensus_mode,parallel_workers,msa_calls,msa_scenarios_completed,msa_total_wall_time_sec,msa_avg_wall_time_sec,msa_max_wall_time_sec,parallel_worker_errors,parallel_fallback_tasks,service_rate,run_id
ok,2026-06-20T00:06:18,2026-06-20T00:17:19,661.072029300034,11.017867155000568,1,0,15,120,60.0,process,8,1,False,10000,5,True,42,103,112,215,147.0,356.0,0.41292134831460675,449.5435140615635,6,58,14,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,8,120,627.1320355001371,78.39150443751714,120.78343790001236,0,0,0.4790697674418605,1
ok,2026-06-20T00:17:19,2026-06-20T00:35:14,1075.050160399871,17.91750267333118,1,0,30,120,60.0,process,8,1,False,10000,5,True,42,107,87,194,139.0,308.0,0.4512987012987013,458.09008001692547,6,71,3,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,7,210,1015.363941400079,145.05199162858273,241.14844390004873,0,0,0.5515463917525774,2
ok,2026-06-20T00:35:14,2026-06-20T00:46:27,672.9569048001431,11.215948413335719,1,20,15,120,60.0,process,8,1,False,10000,5,True,42,91,69,160,130.0,257.0,0.5058365758754864,462.063215567088,7,50,10,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,9,135,647.0307179996744,71.89230199996382,121.72190209990367,0,0,0.56875,3
ok,2026-06-20T00:46:28,2026-06-20T01:08:19,1310.9095713999122,21.848492856665203,1,20,30,120,60.0,process,8,1,False,10000,5,True,42,99,91,190,136.0,311.0,0.43729903536977494,457.74897037155256,6,61,5,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,8,240,1259.309949999908,157.4137437499885,241.09523710003123,0,0,0.5210526315789473,4
ok,2026-06-20T01:08:19,2026-06-20T01:17:58,578.4821873998735,9.641369789997892,1,40,15,120,60.0,process,8,1,False,10000,5,True,42,103,95,198,124.0,306.0,0.40522875816993464,438.9025070610698,5,81,3,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,7,105,529.3067409999203,75.61524871427433,120.7747186999768,0,0,0.5202020202020202,5
ok,2026-06-20T01:17:59,2026-06-20T01:41:04,1385.769957399927,23.096165956665452,1,40,30,120,60.0,process,8,1,False,10000,5,True,42,96,105,201,121.0,319.0,0.3793103448275862,443.976875531506,5,70,11,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,10,300,1317.9305462001357,131.79305462001358,241.10382620012388,0,0,0.47761194029850745,6
ok,2026-06-20T01:41:05,2026-06-20T01:52:53,707.9533695999999,11.799222826666664,1,60,15,120,60.0,process,8,1,False,10000,5,True,42,90,111,201,113.0,328.0,0.3445121951219512,460.58582580270775,7,65,2,5,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,10,150,675.6592520999257,67.56592520999257,120.78464079997502,0,0,0.44776119402985076,7
ok,2026-06-20T01:52:54,2026-06-20T02:15:08,1333.1277086001355,22.21879514333559,1,60,30,120,60.0,process,8,1,False,10000,5,True,42,104,123,227,128.0,364.0,0.3516483516483517,445.7959649975533,5,79,8,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,8,240,1262.7094340000767,157.8386792500096,241.12340219994076,0,0,0.4581497797356828,8
ok,2026-06-20T02:15:09,2026-06-20T02:29:16,847.3128216001205,14.121880360002008,1,80,15,120,60.0,process,8,1,False,10000,5,True,42,97,89,186,140.0,316.0,0.4430379746835443,451.716738317683,7,54,0,2,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,10,150,818.3504958997946,81.83504958997946,120.79525219998322,0,0,0.521505376344086,9
ok,2026-06-20T02:29:18,2026-06-20T02:44:12,894.0375979000237,14.90062663166706,1,80,30,120,60.0,process,8,1,False,10000,5,True,42,105,78,183,136.0,286.0,0.4755244755244755,456.568519137852,6,71,3,1,MSA+ALNS+ICD-dynamic-pickups,van_hentenryck,8,9,270,839.6013859992381,93.28904288880423,241.08670489978977,0,0,0.5737704918032787,10
