time,request_id,decision,phi,vehicle_id,position
32409.35356203478,R0_C9,inserted,1.0,0.0,0.0
32865.768827231,R0_C12,inserted,1.0,0.0,7.0
33135.918260013736,R0_C15,inserted,1.0,1.0,1.0
33137.63998594344,R0_C16,inserted,1.0,2.0,0.0
34216.96289665476,R0_C20,inserted,1.0,0.0,3.0
34325.76055956829,R0_C22,inserted,1.0,1.0,0.0
34633.55575626677,R0_C25,inserted,1.0,1.0,2.0
34649.75243355585,R0_C26,inserted,1.0,0.0,5.0
35066.56347950556,R0_C27,inserted,1.0,1.0,1.0
35081.291536699624,R0_C28,inserted,1.0,1.0,2.0
35658.150501178985,R0_C30,inserted,1.0,1.0,3.0
36458.65061490576,R0_C34,inserted,1.0,2.0,6.0
36717.297894082505,R0_C36,inserted,1.0,2.0,3.0
37417.47930326734,R0_C42,inserted,1.0,1.0,3.0
37476.810521174455,R0_C43,inserted,1.0,2.0,3.0
37836.88825867604,R0_C45,inserted,1.0,2.0,8.0
38043.98954723956,R0_C48,inserted,1.0,1.0,0.0
38693.154195047435,R0_C52,inserted,1.0,1.0,5.0
38772.527785129445,R0_C53,inserted,1.0,2.0,2.0
38822.48214726047,R0_C54,inserted,1.0,2.0,7.0
39208.864911013465,R0_C58,inserted,1.0,2.0,10.0
39268.8417887613,R0_C59,inserted,1.0,1.0,0.0
39579.85403320415,R0_C65,inserted,1.0,2.0,10.0
39653.28934430931,R0_C66,inserted,1.0,0.0,1.0
39860.4103056134,R0_C68,inserted,1.0,2.0,8.0
40241.22441707317,R0_C71,inserted,1.0,2.0,0.0
40412.90812149899,R0_C72,inserted,1.0,2.0,9.0
40615.99093658609,R0_C74,inserted,1.0,2.0,9.0
40639.45772483962,R0_C75,inserted,1.0,2.0,10.0
40702.29117545163,R0_C76,inserted,1.0,1.0,3.0
40717.20619382037,R0_C77,inserted,1.0,1.0,4.0
40882.657032452196,R0_C79,inserted,1.0,1.0,4.0
40963.82139387191,R0_C81,inserted,1.0,1.0,7.0
41238.8932237768,R0_C83,inserted,1.0,2.0,13.0
41368.88927219251,R0_C84,inserted,1.0,2.0,7.0
41692.58451110384,R0_C89,inserted,1.0,1.0,4.0
41912.21003512142,R0_C90,inserted,1.0,1.0,4.0
41986.8720336129,R0_C92,inserted,1.0,2.0,11.0
42182.60334998057,R0_C93,inserted,1.0,1.0,8.0
42498.67983854101,R0_C97,inserted,1.0,2.0,13.0
42576.73178024982,R0_C98,inserted,1.0,1.0,10.0
42640.17055272587,R0_C99,inserted,1.0,1.0,3.0
43111.344054311994,R0_C101,inserted,1.0,2.0,12.0
43321.120875762215,R0_C102,inserted,1.0,2.0,11.0
43364.866595759035,R0_C103,inserted,1.0,1.0,3.0
43625.31788800467,R0_C105,inserted,1.0,1.0,8.0
43712.1426210331,R0_C106,inserted,1.0,0.0,0.0
43992.015422736,R0_C110,inserted,1.0,2.0,13.0
44350.99819684347,R0_C111,inserted,1.0,2.0,10.0
44582.864869152465,R0_C112,inserted,1.0,1.0,8.0
44609.229450587794,R0_C113,inserted,1.0,2.0,2.0
44720.313061389716,R0_C114,inserted,1.0,1.0,9.0
44731.303059141865,R0_C115,inserted,1.0,1.0,8.0
44929.439169549885,R0_C117,inserted,1.0,1.0,2.0
45135.379791116546,R0_C121,inserted,1.0,0.0,14.0
45160.50720983041,R0_C122,inserted,1.0,0.0,11.0
45431.5433447826,R0_C125,inserted,1.0,0.0,15.0
46014.13441787188,R0_C128,inserted,1.0,0.0,15.0
46122.48558195014,R0_C130,inserted,0.92,1.0,9.0
46143.96156166409,R0_C131,inserted,1.0,1.0,10.0
46231.49708603455,R0_C132,inserted,1.0,1.0,10.0
47021.48496223336,R0_C135,undecided,0.46,,
47203.132455488936,R0_C138,inserted,0.98,1.0,4.0
47779.55751899471,R0_C142,undecided,0.3,,
47799.7209709951,R0_C143,inserted,1.0,0.0,7.0
48212.863399886315,R0_C147,postponed,0.0,,
48770.02633927915,R0_C153,inserted,0.96,0.0,2.0
49385.439219142165,R0_C160,inserted,0.98,1.0,11.0
49623.34776031632,R0_C163,inserted,0.88,1.0,5.0
49784.787194279685,R0_C164,undecided,0.28,,
50078.46291772781,R0_C167,undecided,0.28,,
50111.85178356481,R0_C168,inserted,0.6,1.0,9.0
50887.262288613616,R0_C171,inserted,1.0,0.0,7.0
51156.00564866825,R0_C173,inserted,1.0,0.0,8.0
51364.00750564048,R0_C174,inserted,1.0,0.0,6.0
51568.167499934156,R0_C177,postponed,0.0,,
51707.23614405042,R0_C178,inserted,0.88,0.0,9.0
51776.522257211414,R0_C179,inserted,1.0,0.0,5.0
51944.59210039157,R0_C181,postponed,0.02,,
53612.09423755848,R0_C193,inserted,1.0,0.0,6.0
53823.4842053179,R0_C194,inserted,1.0,0.0,6.0
53879.30805517969,R0_C195,undecided,0.2,,
54027.792838854424,R0_C196,postponed,0.0,,
54244.922579706435,R0_C198,inserted,1.0,0.0,4.0
54555.26803625644,R0_C200,inserted,1.0,0.0,4.0
54997.98518457698,R0_C201,postponed,0.0,,
55006.38241676976,R0_C202,inserted,0.94,0.0,3.0
55254.8437424021,R0_C203,postponed,0.0,,
