run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-25T07:46:09,2026-06-25T08:02:10,960.1064442000352,16.001774070000586,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,1,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",101,87,188,169.0,302.0,0.5596026490066225,326.21167402273755,9,0.5372340425531915
2,ok,2026-06-25T08:02:10,2026-06-25T08:30:21,1690.9326485000202,28.182210808333668,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,3,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",124,86,210,215.0,342.0,0.6286549707602339,426.888091827911,13,0.5904761904761905
3,ok,2026-06-25T08:30:21,2026-06-25T08:46:07,945.9594368999824,15.765990614999707,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,5,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",91,101,192,157.0,309.0,0.5080906148867314,353.66340024687383,10,0.4739583333333333
4,ok,2026-06-25T08:46:07,2026-06-25T09:21:55,2147.932759700052,35.7988793283342,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,1,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",127,61,188,218.0,313.0,0.6964856230031949,468.61381523964667,14,0.675531914893617
5,ok,2026-06-25T09:21:55,2026-06-25T09:46:12,1456.9541817000136,24.282569695000227,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,3,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",121,88,209,209.0,348.0,0.6005747126436781,392.2181884821524,11,0.5789473684210527
6,ok,2026-06-25T09:46:12,2026-06-25T10:09:37,1404.9403688000166,23.41567281333361,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,5,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",120,81,201,205.0,330.0,0.6212121212121212,395.81673558761975,12,0.5970149253731343
7,ok,2026-06-25T10:09:37,2026-06-25T10:46:54,2236.948969900026,37.2824828316671,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,1,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",145,40,185,246.0,312.0,0.7884615384615384,358.4636243914195,15,0.7837837837837838
8,ok,2026-06-25T10:46:54,2026-06-25T11:13:49,1614.9534336000215,26.91589056000036,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,3,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",135,59,194,234.0,323.0,0.7244582043343654,385.08977359942475,13,0.6958762886597938
9,ok,2026-06-25T11:13:49,2026-06-25T11:24:37,647.9471164999995,10.799118608333325,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,5,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",50,167,217,80.0,358.0,0.22346368715083798,234.4913734870581,6,0.2304147465437788
10,ok,2026-06-25T11:24:37,2026-06-25T11:48:54,1456.9410844999948,24.282351408333245,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,1,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",123,62,185,212.0,312.0,0.6794871794871795,365.96311895491084,10,0.6648648648648648
11,ok,2026-06-25T11:48:54,2026-06-25T12:17:10,1695.9355471999734,28.26559245333289,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,3,20,160,8.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",127,67,194,218.0,323.0,0.6749226006191951,384.35783540494236,13,0.654639175257732
