vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,50,"['R11_C3', 'R11_C5']",37847.74218037777,43438.74218037777,3.0,33.78981700017238
1,16,['R11_C1'],38068.957465718384,41586.957465718384,2.0,25.365835853504958
2,38,"['R11_C4', 'R11_C7', 'R11_C0']",35107.39943411427,42288.39943411427,6.0,52.2309895206861
1,55,"['R11_C31', 'R11_C24', 'R11_C21', 'R11_C63', 'R11_C59', 'R11_C33', 'R11_C17', 'R11_C34', 'R11_C84', 'R11_C53', 'R11_C39', 'R11_C64', 'R11_C45', 'R11_C37', 'R11_C71', 'R11_C62', 'R11_C51', 'R11_C12', 'R11_C41', 'R11_C57', 'R11_C83', 'R11_C81']",41700.0,50794.0,39.0,49.59820132806001
2,4,"['R11_C11', 'R11_C56', 'R11_C48', 'R11_C8', 'R11_C66', 'R11_C14', 'R11_C73', 'R11_C75', 'R11_C25', 'R11_C85', 'R11_C82', 'R11_C91', 'R11_C44', 'R11_C47', 'R11_C68', 'R11_C79', 'R11_C60', 'R11_C94', 'R11_C77', 'R11_C49', 'R11_C58']",42340.0,52715.0,36.0,62.96355148213307
0,5,"['R11_C67', 'R11_C35', 'R11_C28', 'R11_C54', 'R11_C20', 'R11_C27', 'R11_C16', 'R11_C93']",43438.74218037777,47254.74218037777,10.0,22.8240615234375
0,78,"['R11_C119', 'R11_C112', 'R11_C92', 'R11_C113', 'R11_C117', 'R11_C100', 'R11_C96', 'R11_C110', 'R11_C98', 'R11_C78', 'R11_C132', 'R11_C10', 'R11_C121']",47254.74218037777,52446.74218037777,20.0,29.654380859375
1,249,['R11_C161'],50794.0,51280.0,1.0,3.177982421875
1,74,"['R11_C158', 'R11_C133', 'R11_C141', 'R11_C134', 'R11_C97', 'R11_C135', 'R11_C2', 'R11_C130', 'R11_C90', 'R11_C115', 'R11_C147', 'R11_C149', 'R11_C43', 'R11_C164', 'R11_C162', 'R11_C74', 'R11_C129', 'R11_C69', 'R11_C102', 'R11_C137', 'R11_C23', 'R11_C155', 'R11_C159', 'R11_C157', 'R11_C163', 'R11_C151']",51406.0,61177.0,39.0,52.896197265625
0,100,"['R11_C173', 'R11_C174']",52549.0,53772.0,3.0,8.975837890625
2,53,['R11_C167'],52715.0,53431.0,1.0,5.5680234375
2,179,"['R11_C180', 'R11_C123', 'R11_C169', 'R11_C124', 'R11_C109', 'R11_C142', 'R11_C165', 'R11_C99', 'R11_C106', 'R11_C146', 'R11_C176', 'R11_C101', 'R11_C145', 'R11_C150', 'R11_C170', 'R11_C166', 'R11_C181', 'R11_C179']",53467.0,61103.0,30.0,45.686805908203134
0,150,"['R11_C190', 'R11_C186', 'R11_C136', 'R11_C116', 'R11_C111', 'R11_C55', 'R11_C36', 'R11_C138', 'R11_C70', 'R11_C128', 'R11_C153', 'R11_C144', 'R11_C120', 'R11_C156', 'R11_C52']",53772.0,60985.0,21.0,46.94631591796875
