vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
1,22,"['R7_C0', 'R7_C1']",38402.49870399026,42366.49870399026,4.0,28.117117794212028
0,35,['R7_C2'],38692.84002312082,42435.84002312082,2.0,27.69464554488575
2,4,['R7_C3'],32756.0,35216.0,1.0,23.7486513671875
2,0,"['R7_C11', 'R7_C9', 'R7_C5', 'R7_C4', 'R7_C6', 'R7_C10']",35315.0,41634.0,11.0,47.030698841225444
2,145,"['R7_C34', 'R7_C18', 'R7_C13', 'R7_C58', 'R7_C53', 'R7_C35', 'R7_C38', 'R7_C57', 'R7_C37']",41634.0,46107.0,15.0,25.91835895257869
1,22,"['R7_C55', 'R7_C40', 'R7_C25', 'R7_C50', 'R7_C23', 'R7_C49', 'R7_C42', 'R7_C26', 'R7_C19', 'R7_C28', 'R7_C56', 'R7_C64', 'R7_C45', 'R7_C36']",42595.0,48638.0,25.0,36.622430297851565
0,3,"['R7_C16', 'R7_C61', 'R7_C7', 'R7_C71', 'R7_C20', 'R7_C69', 'R7_C73', 'R7_C32', 'R7_C67', 'R7_C72']",43251.0,48277.0,20.0,33.54289306640625
2,4,"['R7_C98', 'R7_C116', 'R7_C115', 'R7_C75', 'R7_C74', 'R7_C118', 'R7_C77', 'R7_C47', 'R7_C107', 'R7_C44', 'R7_C46', 'R7_C111', 'R7_C104', 'R7_C83', 'R7_C117', 'R7_C85', 'R7_C76', 'R7_C93', 'R7_C92', 'R7_C78']",46424.0,54067.0,38.0,42.01250256347656
0,1,"['R7_C119', 'R7_C149', 'R7_C62', 'R7_C33', 'R7_C59', 'R7_C109', 'R7_C66', 'R7_C41', 'R7_C82', 'R7_C70', 'R7_C102', 'R7_C86', 'R7_C153']",48277.0,54007.0,25.0,33.3441611328125
1,208,"['R7_C89', 'R7_C143', 'R7_C101', 'R7_C154', 'R7_C135', 'R7_C138', 'R7_C113', 'R7_C131', 'R7_C124', 'R7_C140', 'R7_C60', 'R7_C148', 'R7_C146', 'R7_C150', 'R7_C103', 'R7_C30', 'R7_C156']",48638.0,55257.0,31.0,36.966498046874996
0,120,"['R7_C187', 'R7_C164', 'R7_C96', 'R7_C137', 'R7_C133', 'R7_C14', 'R7_C179', 'R7_C51', 'R7_C188', 'R7_C198', 'R7_C123', 'R7_C158', 'R7_C180', 'R7_C144', 'R7_C181', 'R7_C100', 'R7_C105', 'R7_C182', 'R7_C189', 'R7_C161', 'R7_C183']",54007.0,61083.0,32.0,34.22519873046875
2,122,"['R7_C160', 'R7_C94', 'R7_C178', 'R7_C163', 'R7_C108', 'R7_C128', 'R7_C132', 'R7_C90', 'R7_C125', 'R7_C165', 'R7_C167', 'R7_C162', 'R7_C191', 'R7_C169', 'R7_C172', 'R7_C190']",54067.0,61071.0,30.0,42.8955791015625
1,64,"['R7_C196', 'R7_C174', 'R7_C199', 'R7_C126', 'R7_C176', 'R7_C147', 'R7_C88', 'R7_C152', 'R7_C185', 'R7_C203', 'R7_C24', 'R7_C204', 'R7_C186']",55257.0,61049.0,20.0,35.892220703125005
