vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,33,['R3_C0'],40081.66518829928,43384.66518829928,2.0,19.361920761542727
1,42,['R3_C1'],38063.76634463844,43087.11462725525,2.0,25.172797678926855
2,1,['R3_C3'],33373.0,34895.0,2.0,13.974859375
2,18,"['R3_C5', 'R3_C13', 'R3_C12', 'R3_C10']",35207.0,39701.67021225962,8.0,34.670935058593756
2,65,"['R3_C6', 'R3_C23', 'R3_C21', 'R3_C9', 'R3_C48', 'R3_C4', 'R3_C30', 'R3_C31', 'R3_C37', 'R3_C7', 'R3_C17']",39701.67021225962,44582.67021225962,21.0,30.145529296875
1,1,"['R3_C77', 'R3_C45', 'R3_C40', 'R3_C43', 'R3_C35', 'R3_C58']",43105.0,45495.0,11.0,13.5996796875
0,56,"['R3_C50', 'R3_C57', 'R3_C34', 'R3_C42', 'R3_C68', 'R3_C54', 'R3_C56', 'R3_C33', 'R3_C28', 'R3_C27', 'R3_C79', 'R3_C52', 'R3_C74', 'R3_C46', 'R3_C80', 'R3_C32', 'R3_C53', 'R3_C70', 'R3_C72']",43384.66518829928,50294.66518829928,35.0,34.3672099609375
2,98,"['R3_C89', 'R3_C39', 'R3_C73', 'R3_C71', 'R3_C26', 'R3_C100', 'R3_C24', 'R3_C81', 'R3_C84', 'R3_C25', 'R3_C78', 'R3_C85', 'R3_C64', 'R3_C62', 'R3_C55', 'R3_C14', 'R3_C66']",44582.67021225962,52553.67021225962,28.0,41.639578665147404
1,91,"['R3_C95', 'R3_C93', 'R3_C29', 'R3_C20', 'R3_C94', 'R3_C101', 'R3_C11', 'R3_C36', 'R3_C87', 'R3_C69', 'R3_C59', 'R3_C65', 'R3_C103']",45534.0,51570.0,23.0,34.66350823410328
0,86,"['R3_C110', 'R3_C147', 'R3_C107', 'R3_C44', 'R3_C104', 'R3_C122', 'R3_C135', 'R3_C145', 'R3_C137', 'R3_C119', 'R3_C76', 'R3_C86', 'R3_C105', 'R3_C108']",50294.66518829928,56015.66518829928,22.0,31.366234374999998
1,11,"['R3_C156', 'R3_C131', 'R3_C90', 'R3_C149', 'R3_C116', 'R3_C153', 'R3_C133', 'R3_C151', 'R3_C152']",51678.0,55640.0,15.0,24.33392578125
2,25,"['R3_C88', 'R3_C166', 'R3_C167', 'R3_C168', 'R3_C106', 'R3_C139', 'R3_C134', 'R3_C98', 'R3_C123', 'R3_C129', 'R3_C112', 'R3_C109', 'R3_C164', 'R3_C97', 'R3_C170', 'R3_C18', 'R3_C163', 'R3_C155', 'R3_C154', 'R3_C160', 'R3_C146']",52791.0,61110.0,35.0,45.278206866412376
1,269,"['R3_C121', 'R3_C124', 'R3_C83', 'R3_C128', 'R3_C144', 'R3_C127', 'R3_C140', 'R3_C158', 'R3_C185', 'R3_C172', 'R3_C178', 'R3_C157', 'R3_C171']",55640.0,61058.0,23.0,31.998408203125003
0,260,"['R3_C176', 'R3_C193', 'R3_C111', 'R3_C190', 'R3_C118', 'R3_C150', 'R3_C180', 'R3_C177', 'R3_C186', 'R3_C141', 'R3_C114', 'R3_C142']",56015.66518829928,61185.66518829928,19.0,31.29139111328125
