vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,290,"['R15_C11', 'R15_C8', 'R15_C4', 'R15_C5', 'R15_C0']",36637.84497089266,45031.26388197118,7.0,54.639264088152295
1,24,"['R15_C7', 'R15_C10']",37167.31218659409,43096.00108378986,2.0,36.386851245663436
2,60,"['R15_C2', 'R15_C1', 'R15_C9']",36662.2927006007,41649.2927006007,5.0,34.136973220543055
2,4,"['R15_C37', 'R15_C35', 'R15_C24', 'R15_C56', 'R15_C13', 'R15_C60', 'R15_C48', 'R15_C36', 'R15_C51', 'R15_C39', 'R15_C41']",41649.2927006007,45720.2927006007,22.0,28.946230712890625
1,9,"['R15_C44', 'R15_C52', 'R15_C98', 'R15_C22', 'R15_C58', 'R15_C89', 'R15_C76', 'R15_C86', 'R15_C50', 'R15_C34', 'R15_C63', 'R15_C38', 'R15_C40', 'R15_C57', 'R15_C64', 'R15_C77', 'R15_C25', 'R15_C67', 'R15_C68', 'R15_C81', 'R15_C71', 'R15_C96', 'R15_C12', 'R15_C82']",43096.00108378986,51197.00108378986,37.0,49.84918515287413
0,3,"['R15_C20', 'R15_C49', 'R15_C32', 'R15_C61', 'R15_C28', 'R15_C88', 'R15_C42', 'R15_C84', 'R15_C21', 'R15_C90', 'R15_C108']",45031.26388197118,49404.26388197118,18.0,33.13916784667969
2,11,"['R15_C114', 'R15_C93', 'R15_C99', 'R15_C106', 'R15_C91', 'R15_C83', 'R15_C43', 'R15_C107', 'R15_C101', 'R15_C111']",45720.2927006007,50154.2927006007,15.0,33.98203369140625
0,17,"['R15_C131', 'R15_C122', 'R15_C137', 'R15_C70', 'R15_C102', 'R15_C66', 'R15_C100', 'R15_C127', 'R15_C121', 'R15_C115', 'R15_C104', 'R15_C139', 'R15_C97', 'R15_C116', 'R15_C145']",49404.26388197118,55396.26388197118,24.0,40.61705915765297
2,99,"['R15_C148', 'R15_C125', 'R15_C94', 'R15_C117', 'R15_C143', 'R15_C149', 'R15_C92', 'R15_C133', 'R15_C138', 'R15_C118', 'R15_C119', 'R15_C152']",50345.0,54664.0,19.0,27.401538818359377
1,117,"['R15_C162', 'R15_C155', 'R15_C55', 'R15_C103', 'R15_C95', 'R15_C146', 'R15_C140', 'R15_C79', 'R15_C151', 'R15_C123', 'R15_C142', 'R15_C128', 'R15_C163', 'R15_C150', 'R15_C153', 'R15_C147', 'R15_C110', 'R15_C129']",51606.0,59205.0,31.0,57.938407714843756
2,299,"['R15_C174', 'R15_C192', 'R15_C194', 'R15_C130', 'R15_C187', 'R15_C75', 'R15_C161', 'R15_C124', 'R15_C141', 'R15_C157', 'R15_C165', 'R15_C184', 'R15_C132', 'R15_C173', 'R15_C168', 'R15_C175', 'R15_C160', 'R15_C166', 'R15_C190', 'R15_C178']",54664.0,61107.0,35.0,39.36011267089844
0,50,"['R15_C181', 'R15_C185', 'R15_C113', 'R15_C199', 'R15_C144', 'R15_C189', 'R15_C200', 'R15_C134', 'R15_C158', 'R15_C177', 'R15_C198', 'R15_C33', 'R15_C109', 'R15_C176', 'R15_C201', 'R15_C159']",55396.26388197118,61076.26388197118,24.0,38.75091845703125
1,54,"['R15_C179', 'R15_C171', 'R15_C191', 'R15_C169']",59205.0,60940.0,5.0,14.064806640625
