run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-22T07:38:39,2026-06-22T08:16:49,2289.5447153999994,38.15907858999999,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,1,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",161,27,188,266.0,302.0,0.8807947019867549,573.7701504094729,15,0.8563829787234043
2,ok,2026-06-22T08:16:49,2026-06-22T09:04:16,2847.092717099993,47.45154528499988,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,3,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",157,53,210,270.0,342.0,0.7894736842105263,541.6889622763247,17,0.7476190476190476
3,ok,2026-06-22T09:04:16,2026-06-22T09:21:21,1025.0063938999956,17.08343989833326,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,5,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",114,78,192,195.0,309.0,0.6310679611650486,428.9126367906604,10,0.59375
4,ok,2026-06-22T09:21:21,2026-06-22T09:42:01,1240.0049074999988,20.666748458333313,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,7,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",150,76,226,247.0,353.0,0.6997167138810199,450.7091820470655,10,0.6637168141592921
5,ok,2026-06-22T09:42:01,2026-06-22T10:02:03,1201.994952699999,20.03324921166665,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,9,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",120,72,192,199.0,316.0,0.629746835443038,463.8841436485974,11,0.625
6,ok,2026-06-22T10:02:03,2026-06-22T10:26:11,1448.0034121000062,24.13339020166677,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,11,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",137,61,198,222.0,306.0,0.7254901960784313,461.4841509259565,12,0.6919191919191919
7,ok,2026-06-22T10:26:11,2026-06-22T10:49:39,1407.9988920999895,23.46664820166649,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,13,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",146,58,204,245.0,336.0,0.7291666666666666,482.9100664104054,12,0.7156862745098039
8,ok,2026-06-22T10:49:39,2026-06-22T11:16:05,1586.002482099997,26.433374701666615,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,15,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",151,51,202,244.0,320.0,0.7625,489.2125494176203,13,0.7475247524752475
9,ok,2026-06-22T11:16:05,2026-06-22T11:43:42,1657.0005089000042,27.616675148333403,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,17,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",145,60,205,245.0,335.0,0.7313432835820896,500.85762392627163,13,0.7073170731707317
10,ok,2026-06-22T11:43:42,2026-06-22T12:05:56,1333.9892096000112,22.23315349333352,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,19,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",128,86,214,226.0,354.0,0.6384180790960452,438.4727393338415,13,0.5981308411214953
