vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,98,['R1_C0'],42769.1662218702,48158.1662218702,1.0,37.243238459530055
1,20,['R1_C1'],38651.42775572748,43286.42775572748,2.0,41.80113406598204
2,4,['R1_C2'],34073.0,35779.0,2.0,21.181751953125
2,0,['R1_C13'],35894.0,37112.0,2.0,14.390541015625
2,2,"['R1_C3', 'R1_C11', 'R1_C15', 'R1_C16', 'R1_C12', 'R1_C14', 'R1_C5', 'R1_C8']",37112.0,42070.0,14.0,43.7688937407341
2,65,['R1_C40'],42070.0,42900.0,2.0,9.0223857421875
2,8,"['R1_C73', 'R1_C45', 'R1_C17', 'R1_C63', 'R1_C37', 'R1_C76', 'R1_C19', 'R1_C69', 'R1_C51', 'R1_C78', 'R1_C53', 'R1_C80', 'R1_C22', 'R1_C35']",42900.0,47277.0,28.0,25.699369140625002
1,128,"['R1_C50', 'R1_C70', 'R1_C58', 'R1_C43', 'R1_C81', 'R1_C27', 'R1_C46', 'R1_C60', 'R1_C29', 'R1_C30', 'R1_C55', 'R1_C68', 'R1_C85']",43286.42775572748,47903.42775572748,26.0,29.019954101562497
2,5,"['R1_C116', 'R1_C127', 'R1_C54', 'R1_C115', 'R1_C20', 'R1_C24', 'R1_C120', 'R1_C93', 'R1_C66', 'R1_C96', 'R1_C32', 'R1_C52', 'R1_C25', 'R1_C39', 'R1_C109', 'R1_C79', 'R1_C4', 'R1_C82', 'R1_C104', 'R1_C18', 'R1_C72', 'R1_C114', 'R1_C121', 'R1_C128', 'R1_C101', 'R1_C102']",47277.0,54551.0,44.0,33.34324804896032
1,69,"['R1_C97', 'R1_C103', 'R1_C135', 'R1_C122', 'R1_C57', 'R1_C49', 'R1_C48', 'R1_C62', 'R1_C130', 'R1_C119', 'R1_C26', 'R1_C42', 'R1_C74', 'R1_C89', 'R1_C86', 'R1_C125', 'R1_C83', 'R1_C105', 'R1_C117', 'R1_C100', 'R1_C34']",47903.42775572748,55674.42775572748,36.0,45.20854534728991
0,4,"['R1_C44', 'R1_C77', 'R1_C41', 'R1_C88', 'R1_C64', 'R1_C84', 'R1_C36', 'R1_C99', 'R1_C31', 'R1_C10', 'R1_C107', 'R1_C71', 'R1_C129', 'R1_C124', 'R1_C134', 'R1_C112', 'R1_C98', 'R1_C92', 'R1_C106']",48158.1662218702,54226.1662218702,31.0,36.63802294921875
0,72,"['R1_C87', 'R1_C142', 'R1_C179', 'R1_C6', 'R1_C173', 'R1_C148', 'R1_C165', 'R1_C133', 'R1_C138', 'R1_C65', 'R1_C90', 'R1_C9', 'R1_C151', 'R1_C137', 'R1_C172', 'R1_C141', 'R1_C157', 'R1_C59', 'R1_C67', 'R1_C175', 'R1_C177', 'R1_C150', 'R1_C178']",54397.0,61058.0,38.0,34.8322177734375
2,218,"['R1_C176', 'R1_C143', 'R1_C159', 'R1_C168', 'R1_C139', 'R1_C95', 'R1_C145', 'R1_C149', 'R1_C147', 'R1_C153', 'R1_C144', 'R1_C182', 'R1_C111', 'R1_C152', 'R1_C180', 'R1_C181', 'R1_C169', 'R1_C154']",54727.0,61197.0,31.0,44.73577880859375
1,0,"['R1_C156', 'R1_C162', 'R1_C75', 'R1_C163', 'R1_C171', 'R1_C161', 'R1_C146', 'R1_C118', 'R1_C132', 'R1_C174', 'R1_C183', 'R1_C164', 'R1_C184']",55674.42775572748,60991.42775572748,17.0,41.24493823242187
