vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
1,96,['R7_C1'],42697.47631500002,50224.47631500002,1.0,56.90504814379106
2,71,"['R7_C2', 'R7_C0']",38420.33081388863,43033.33081388863,4.0,36.492522033529575
0,22,['R7_C3'],33404.0,35222.0,2.0,22.7236376953125
0,43,"['R7_C5', 'R7_C15', 'R7_C9']",35911.0,37436.0,6.0,13.6472822265625
0,42,"['R7_C23', 'R7_C12', 'R7_C4', 'R7_C16', 'R7_C7', 'R7_C24', 'R7_C32', 'R7_C14', 'R7_C27', 'R7_C31', 'R7_C11', 'R7_C18', 'R7_C21']",37670.0,43001.0,21.0,38.93335546875001
0,12,['R7_C52'],43001.0,43555.0,1.0,5.1684375
2,6,"['R7_C26', 'R7_C42', 'R7_C8', 'R7_C70', 'R7_C74', 'R7_C58', 'R7_C10', 'R7_C39', 'R7_C72', 'R7_C28', 'R7_C19', 'R7_C62']",43548.0,47401.0,24.0,23.398126953125
0,45,"['R7_C45', 'R7_C44', 'R7_C38', 'R7_C65', 'R7_C71', 'R7_C60', 'R7_C55', 'R7_C34', 'R7_C36', 'R7_C61']",43555.0,47054.0,19.0,23.50830859375
0,44,"['R7_C47', 'R7_C114', 'R7_C67', 'R7_C49', 'R7_C68', 'R7_C99', 'R7_C37', 'R7_C106', 'R7_C69', 'R7_C75', 'R7_C57', 'R7_C64', 'R7_C53', 'R7_C105', 'R7_C20', 'R7_C66', 'R7_C83', 'R7_C90', 'R7_C94', 'R7_C86']",47116.0,53885.0,36.0,43.888212890625
2,3,"['R7_C88', 'R7_C92', 'R7_C73', 'R7_C51', 'R7_C46', 'R7_C85', 'R7_C112', 'R7_C40', 'R7_C13', 'R7_C122', 'R7_C63', 'R7_C116', 'R7_C108', 'R7_C77', 'R7_C97', 'R7_C101', 'R7_C118', 'R7_C35', 'R7_C109', 'R7_C82', 'R7_C89', 'R7_C91', 'R7_C107']",47401.0,54701.0,36.0,43.718399169921874
1,0,"['R7_C102', 'R7_C134', 'R7_C78', 'R7_C54', 'R7_C141', 'R7_C125', 'R7_C98', 'R7_C96', 'R7_C133', 'R7_C81', 'R7_C120', 'R7_C121']",50252.0,54426.0,20.0,27.8878984375
0,227,"['R7_C177', 'R7_C135', 'R7_C87', 'R7_C119', 'R7_C130', 'R7_C110', 'R7_C165', 'R7_C159', 'R7_C158', 'R7_C162', 'R7_C149', 'R7_C132', 'R7_C163', 'R7_C173', 'R7_C127', 'R7_C143', 'R7_C156', 'R7_C176', 'R7_C152', 'R7_C155']",54035.0,61176.0,40.0,49.03366748046875
1,6,"['R7_C140', 'R7_C43', 'R7_C137', 'R7_C139', 'R7_C164', 'R7_C33', 'R7_C142', 'R7_C129', 'R7_C148', 'R7_C50', 'R7_C167', 'R7_C179', 'R7_C144', 'R7_C115', 'R7_C103', 'R7_C80', 'R7_C166', 'R7_C171', 'R7_C151']",54656.0,61093.0,28.0,41.76094042968751
2,203,"['R7_C147', 'R7_C126', 'R7_C131', 'R7_C182', 'R7_C168', 'R7_C136', 'R7_C175', 'R7_C183', 'R7_C123', 'R7_C187', 'R7_C180', 'R7_C154', 'R7_C161', 'R7_C184', 'R7_C153']",54840.0,61022.0,26.0,48.255283752441414
