run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-23T18:26:19,2026-06-23T18:47:18,1258.1453116000048,20.969088526666745,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,1,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",111,77,188,182.0,302.0,0.6026490066225165,505.6901341666228,12,0.5904255319148937
2,ok,2026-06-23T18:47:18,2026-06-23T19:35:41,2903.0308817000187,48.383848028333645,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,3,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",148,62,210,254.0,342.0,0.7426900584795322,604.7713603659271,18,0.7047619047619048
3,ok,2026-06-23T19:35:41,2026-06-23T20:32:30,3409.0193994999863,56.81698999166644,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,1,5,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",150,42,192,248.0,309.0,0.8025889967637541,583.9104578429636,23,0.78125
4,ok,2026-06-23T20:32:30,2026-06-23T21:15:51,2600.9984483000007,43.349974138333344,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,1,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",143,45,188,244.0,313.0,0.7795527156549521,587.5633849101923,17,0.7606382978723404
5,ok,2026-06-23T21:15:51,2026-06-23T22:07:21,3090.050117799983,51.50083529666639,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,3,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",153,56,209,259.0,348.0,0.7442528735632183,595.4142928023577,18,0.7320574162679426
6,ok,2026-06-23T22:07:21,2026-06-23T22:43:13,2152.082519299991,35.86804198833318,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,5,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",135,66,201,224.0,330.0,0.6787878787878788,582.2268664528955,16,0.6716417910447762
7,ok,2026-06-23T22:43:13,2026-06-23T23:48:23,3910.0533700000087,65.16755616666681,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,1,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",165,20,185,278.0,312.0,0.8910256410256411,537.135807375062,23,0.8918918918918919
8,ok,2026-06-23T23:48:23,2026-06-24T00:42:13,3230.0202101000177,53.833670168333626,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,3,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",163,31,194,276.0,323.0,0.8544891640866873,559.0777485256167,21,0.8402061855670103
9,ok,2026-06-24T00:42:13,2026-06-24T01:23:24,2471.0118862999952,41.183531438333254,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,5,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",169,48,217,281.0,358.0,0.7849162011173184,470.1798102379816,18,0.7788018433179723
10,ok,2026-06-24T01:23:24,2026-06-24T02:11:55,2911.0086173000163,48.51681028833361,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,4,1,20,160,20.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",167,18,185,284.0,312.0,0.9102564102564102,509.919522745634,19,0.9027027027027027
