run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-23T19:49:32,2026-06-23T20:57:23,4070.4059591999976,67.84009931999996,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,1,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",155,33,188,251.0,302.0,0.8311258278145696,683.1941477500236,24,0.824468085106383
2,ok,2026-06-23T20:57:23,2026-06-23T22:04:32,4028.93097440002,67.14884957333366,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,3,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",163,47,210,271.0,342.0,0.7923976608187134,723.6129802463879,23,0.7761904761904762
3,ok,2026-06-23T22:04:32,2026-06-23T23:06:26,3713.939021600003,61.898983693333385,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,5,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",157,35,192,258.0,309.0,0.8349514563106796,695.9745937683892,22,0.8177083333333334
4,ok,2026-06-23T23:06:26,2026-06-23T23:43:14,2207.9574626999674,36.79929104499946,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,7,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",124,102,226,202.0,353.0,0.5722379603399433,580.8075971088355,15,0.5486725663716814
5,ok,2026-06-23T23:43:14,2026-06-24T00:45:23,3728.947142699966,62.14911904499944,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,1,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",165,27,192,279.0,316.0,0.8829113924050633,725.3561819525189,23,0.859375
6,ok,2026-06-24T00:45:23,2026-06-24T02:08:06,4962.933252399962,82.71555420666603,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,1,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",148,40,188,250.0,313.0,0.7987220447284346,714.4069970423711,25,0.7872340425531915
7,ok,2026-06-24T02:08:06,2026-06-24T03:27:22,4755.877093100047,79.26461821833412,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,3,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",173,36,209,292.0,348.0,0.8390804597701149,722.7242576338178,24,0.8277511961722488
8,ok,2026-06-24T03:27:22,2026-06-24T04:19:21,3118.925156500016,51.98208594166693,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,5,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",157,44,201,264.0,330.0,0.8,698.7480076755838,18,0.7810945273631841
9,ok,2026-06-24T04:19:21,2026-06-24T05:38:51,4769.934477199975,79.49890795333292,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,7,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",167,40,207,291.0,350.0,0.8314285714285714,709.5900583969074,24,0.8067632850241546
10,ok,2026-06-24T05:38:51,2026-06-24T06:49:33,4241.930192900007,70.69883654833345,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,2,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",162,21,183,280.0,314.0,0.89171974522293,635.3806753596874,21,0.8852459016393442
11,ok,2026-06-24T06:49:33,2026-06-24T08:17:05,5251.916714399995,87.53194523999991,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,1,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",178,7,185,300.0,312.0,0.9615384615384616,645.9756678821691,28,0.9621621621621622
12,ok,2026-06-24T08:17:05,2026-06-24T09:39:09,4923.947283599991,82.06578805999986,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,3,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",183,11,194,308.0,323.0,0.9535603715170279,663.541332588315,26,0.9432989690721649
13,ok,2026-06-24T09:39:09,2026-06-24T10:52:04,4374.916882499994,72.9152813749999,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,5,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",192,25,217,316.0,358.0,0.88268156424581,619.8398742159656,25,0.8847926267281107
14,ok,2026-06-24T10:52:04,2026-06-24T12:17:54,5149.902362899971,85.83170604833285,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,7,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",175,16,191,289.0,313.0,0.9233226837060703,644.3223314026607,25,0.9162303664921466
15,ok,2026-06-24T12:17:54,2026-06-24T13:27:12,4157.932373900025,69.29887289833374,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,3,9,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",188,16,204,307.0,335.0,0.9164179104477612,605.8834162656376,22,0.9215686274509803
16,ok,2026-06-24T13:27:12,2026-06-24T14:26:44,3571.920776600018,59.53201294333363,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,1,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",156,29,185,262.0,312.0,0.8397435897435898,571.0249442222798,17,0.8432432432432433
17,ok,2026-06-24T14:26:44,2026-06-24T16:04:14,5849.929852600035,97.49883087666724,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,3,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",177,17,194,296.0,323.0,0.9164086687306502,736.3065622672787,29,0.9123711340206185
18,ok,2026-06-24T16:04:14,2026-06-24T17:05:21,3666.9347067000344,61.11557844500057,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\ICS2122\data,4,5,20,160,12.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",178,39,217,291.0,358.0,0.8128491620111732,581.1653875202014,22,0.8202764976958525
