vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
2,258,['R3_C1'],42813.67841848281,51940.67841848281,1.0,45.8292447695212
5,105,"['R3_C0', 'R3_C2', 'R3_C3']",39637.05152769534,48804.05152769534,5.0,44.852046053224285
4,35,['R3_C4'],37046.30412545997,42303.30412545997,2.0,28.985038910156916
3,105,['R3_C5'],38585.171990932664,42923.171990932664,2.0,21.351824746816924
6,57,['R3_C6'],36567.26880385481,40774.26880385481,2.0,21.69505161891622
0,52,['R3_C7'],33538.0,36746.0,2.0,21.024833984375
1,38,['R3_C8'],34996.16608095374,41033.16608095374,2.0,35.653440613853604
0,20,"['R3_C20', 'R3_C35', 'R3_C13', 'R3_C10', 'R3_C40', 'R3_C38', 'R3_C36', 'R3_C11', 'R3_C39', 'R3_C12', 'R3_C14']",38007.04555140554,46878.04555140554,20.0,41.5519202339364
6,2,"['R3_C16', 'R3_C29', 'R3_C69', 'R3_C15', 'R3_C70', 'R3_C9', 'R3_C59', 'R3_C41', 'R3_C57', 'R3_C21', 'R3_C25', 'R3_C64', 'R3_C44', 'R3_C66', 'R3_C58']",40841.0,49530.0,25.0,40.2810712890625
1,19,"['R3_C46', 'R3_C54', 'R3_C62']",41033.16608095374,44764.16608095374,6.0,20.896259765624997
4,27,"['R3_C88', 'R3_C79', 'R3_C91', 'R3_C18', 'R3_C73', 'R3_C22', 'R3_C52', 'R3_C48', 'R3_C28', 'R3_C37', 'R3_C84', 'R3_C80', 'R3_C71']",42480.0,51911.0,22.0,42.915133789062494
3,39,"['R3_C81', 'R3_C51', 'R3_C61', 'R3_C45', 'R3_C23', 'R3_C19', 'R3_C53', 'R3_C82', 'R3_C86', 'R3_C68', 'R3_C24', 'R3_C75']",42923.171990932664,53215.171990932664,20.0,47.659326698414255
1,25,"['R3_C83', 'R3_C77', 'R3_C26', 'R3_C87', 'R3_C30', 'R3_C49', 'R3_C106', 'R3_C65', 'R3_C78', 'R3_C92', 'R3_C56', 'R3_C98', 'R3_C43', 'R3_C74', 'R3_C96', 'R3_C105', 'R3_C97']",44900.0,55077.0,25.0,44.346971946473225
0,70,"['R3_C110', 'R3_C102', 'R3_C128', 'R3_C129', 'R3_C131', 'R3_C125', 'R3_C103', 'R3_C107', 'R3_C121', 'R3_C123', 'R3_C94']",47739.0,54949.0,20.0,35.02954744511925
5,25,"['R3_C89', 'R3_C113', 'R3_C119', 'R3_C117', 'R3_C142']",48804.05152769534,53364.05152769534,9.0,22.888801757812498
6,47,"['R3_C147', 'R3_C118', 'R3_C144']",49530.0,52052.0,6.0,13.7500302734375
4,131,"['R3_C157', 'R3_C165', 'R3_C173', 'R3_C132', 'R3_C101', 'R3_C104', 'R3_C148', 'R3_C161', 'R3_C169', 'R3_C176', 'R3_C158', 'R3_C175', 'R3_C178', 'R3_C172', 'R3_C164', 'R3_C154']",52494.0,61089.0,29.0,39.6322841796875
2,158,"['R3_C137', 'R3_C174', 'R3_C134', 'R3_C159', 'R3_C149', 'R3_C150', 'R3_C162', 'R3_C170', 'R3_C116', 'R3_C122', 'R3_C115', 'R3_C166', 'R3_C152']",51940.67841848281,60874.67841848281,21.0,45.75390405273438
6,145,"['R3_C141', 'R3_C109', 'R3_C108', 'R3_C171', 'R3_C63', 'R3_C111', 'R3_C124', 'R3_C114', 'R3_C136', 'R3_C177', 'R3_C153', 'R3_C156', 'R3_C90']",52358.0,61105.0,20.0,44.45394140625
3,0,"['R3_C188', 'R3_C184', 'R3_C190', 'R3_C187', 'R3_C185', 'R3_C140', 'R3_C139', 'R3_C182', 'R3_C130', 'R3_C193', 'R3_C191']",53678.0,61197.0,17.0,37.1748125
5,160,"['R3_C194', 'R3_C192', 'R3_C85', 'R3_C160', 'R3_C163', 'R3_C143', 'R3_C126', 'R3_C189', 'R3_C135', 'R3_C155', 'R3_C112']",53772.0,61084.0,15.0,35.73742626953125
0,29,"['R3_C204', 'R3_C206', 'R3_C127', 'R3_C168', 'R3_C186', 'R3_C145']",54949.0,61145.0,11.0,35.50523565673828
1,220,"['R3_C201', 'R3_C207', 'R3_C203', 'R3_C198', 'R3_C196']",55077.0,60521.0,7.0,31.5281015625
