vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
2,270,"['R5_C2', 'R5_C3', 'R5_C0']",42724.702090358434,51018.702090358434,4.0,36.288197187966915
4,205,['R5_C1'],41753.81421181477,51370.81421181477,1.0,49.24139412112339
0,118,['R5_C4'],42509.35308603765,50379.35308603765,1.0,37.10623694326652
6,36,['R5_C5'],37565.46901167978,43215.46901167978,2.0,26.69540819028262
1,174,['R5_C6'],36184.44658163288,41571.44658163288,2.0,32.38650628460364
5,15,['R5_C7'],33745.0,37554.813916639236,2.0,12.118036437359955
3,4,['R5_C8'],33911.0,38424.04234196466,2.0,27.18096044921875
5,60,"['R5_C12', 'R5_C10', 'R5_C20', 'R5_C27', 'R5_C23', 'R5_C17', 'R5_C33', 'R5_C11', 'R5_C22']",37709.0,43241.0,18.0,27.133865234374998
3,8,"['R5_C25', 'R5_C37', 'R5_C32', 'R5_C16', 'R5_C38', 'R5_C9', 'R5_C30', 'R5_C42', 'R5_C43', 'R5_C35', 'R5_C31', 'R5_C26', 'R5_C21', 'R5_C41']",39232.0,47804.0,27.0,38.218646108550885
1,2,"['R5_C63', 'R5_C29', 'R5_C66', 'R5_C36', 'R5_C45', 'R5_C50', 'R5_C51', 'R5_C39', 'R5_C61', 'R5_C70']",41726.0,46438.0,18.0,20.182802734375
6,58,"['R5_C48', 'R5_C82', 'R5_C73', 'R5_C68', 'R5_C58', 'R5_C34', 'R5_C69', 'R5_C53', 'R5_C83', 'R5_C56', 'R5_C86', 'R5_C81', 'R5_C57', 'R5_C105', 'R5_C71', 'R5_C54', 'R5_C77', 'R5_C64', 'R5_C79']",43215.46901167978,53258.46901167978,34.0,44.669151710691175
5,7,"['R5_C84', 'R5_C89', 'R5_C67', 'R5_C19', 'R5_C91', 'R5_C60', 'R5_C65', 'R5_C49']",43241.0,48948.0,13.0,27.09909602881627
1,35,"['R5_C145', 'R5_C121', 'R5_C115', 'R5_C110', 'R5_C118', 'R5_C108', 'R5_C137', 'R5_C140', 'R5_C80', 'R5_C103', 'R5_C130', 'R5_C114', 'R5_C93', 'R5_C123', 'R5_C78', 'R5_C136', 'R5_C116', 'R5_C120', 'R5_C96', 'R5_C135']",46438.0,54784.0,30.0,31.62730921587244
3,1,"['R5_C139', 'R5_C40', 'R5_C148', 'R5_C76', 'R5_C128', 'R5_C101', 'R5_C94', 'R5_C152', 'R5_C132', 'R5_C87', 'R5_C124', 'R5_C95', 'R5_C153']",47804.0,54711.0,20.0,29.1659102372844
5,25,"['R5_C142', 'R5_C104', 'R5_C126', 'R5_C144', 'R5_C164']",49119.0,52547.0,9.0,15.023285385356258
0,265,"['R5_C113', 'R5_C106', 'R5_C172', 'R5_C102', 'R5_C168', 'R5_C133', 'R5_C127', 'R5_C147', 'R5_C171', 'R5_C173', 'R5_C166', 'R5_C59', 'R5_C112', 'R5_C179', 'R5_C134', 'R5_C119', 'R5_C175', 'R5_C163', 'R5_C155', 'R5_C167', 'R5_C160', 'R5_C178', 'R5_C165']",50379.35308603765,61153.35308603765,36.0,44.737943847656254
2,67,"['R5_C176', 'R5_C159', 'R5_C99', 'R5_C180', 'R5_C184', 'R5_C141', 'R5_C161', 'R5_C88', 'R5_C72', 'R5_C52', 'R5_C131', 'R5_C75', 'R5_C151', 'R5_C169', 'R5_C100']",52121.043092053544,61198.043092053544,22.0,39.20956807338945
4,274,"['R5_C181', 'R5_C90', 'R5_C186', 'R5_C174', 'R5_C156', 'R5_C122', 'R5_C55', 'R5_C189', 'R5_C190', 'R5_C154', 'R5_C129', 'R5_C177', 'R5_C185', 'R5_C187']",52145.0,60987.0,23.0,42.60226147460937
5,53,"['R5_C196', 'R5_C197', 'R5_C143', 'R5_C74', 'R5_C117', 'R5_C194', 'R5_C111', 'R5_C149', 'R5_C150', 'R5_C157', 'R5_C158', 'R5_C198']",53152.0,60902.0,19.0,33.762708984374996
6,210,"['R5_C193', 'R5_C205', 'R5_C201', 'R5_C208', 'R5_C199', 'R5_C195', 'R5_C192', 'R5_C188', 'R5_C191']",54036.0,61008.0,15.0,35.87353344726562
3,35,['R5_C215'],54711.0,55207.0,1.0,2.194251953125
1,4,"['R5_C209', 'R5_C206', 'R5_C170', 'R5_C211', 'R5_C214', 'R5_C202', 'R5_C207', 'R5_C210']",55254.0,61061.0,14.0,30.3053515625
3,33,"['R5_C162', 'R5_C200', 'R5_C182', 'R5_C203', 'R5_C212', 'R5_C146', 'R5_C204']",55207.0,60820.0,10.0,30.206205566406247
