vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
6,111,"['R3_C2', 'R3_C3', 'R3_C0', 'R3_C1']",35705.726141860425,47391.502002363886,6.0,59.80617701581953
3,30,['R3_C4'],38838.39507828987,42393.70149065751,2.0,19.151771456393977
7,127,['R3_C5'],38986.637585435885,45445.637585435885,2.0,34.82497194924156
2,78,['R3_C6'],37262.02898863917,42123.02898863917,2.0,24.979014367668753
5,58,['R3_C7'],37257.675573359964,41571.675573359964,2.0,23.67787892959415
1,20,['R3_C8'],39676.02214410057,46575.02214410057,2.0,35.36900094784968
4,93,['R3_C9'],33829.0,37919.0,2.0,25.890259036041734
0,115,['R3_C10'],34226.73484279166,38486.73484279166,2.0,24.564385986328126
4,101,"['R3_C20', 'R3_C46', 'R3_C14', 'R3_C39', 'R3_C12', 'R3_C11', 'R3_C36', 'R3_C35', 'R3_C13', 'R3_C44', 'R3_C25', 'R3_C21', 'R3_C26', 'R3_C41', 'R3_C29', 'R3_C16']",37953.0,48008.0,27.0,48.5191884765625
0,15,"['R3_C15', 'R3_C22', 'R3_C17', 'R3_C47', 'R3_C48', 'R3_C28', 'R3_C37', 'R3_C42']",38486.73484279166,45456.73484279166,15.0,37.11185290527344
5,0,"['R3_C81', 'R3_C66', 'R3_C89', 'R3_C85', 'R3_C60', 'R3_C67', 'R3_C49', 'R3_C30', 'R3_C57', 'R3_C87', 'R3_C59', 'R3_C79']",41923.0,49994.0,19.0,37.24243023681641
2,2,"['R3_C58', 'R3_C71', 'R3_C32', 'R3_C75', 'R3_C63', 'R3_C76', 'R3_C33', 'R3_C68', 'R3_C86', 'R3_C82', 'R3_C53', 'R3_C19', 'R3_C54', 'R3_C62', 'R3_C61', 'R3_C90']",42123.02898863917,52205.02898863917,27.0,47.460197265625
3,83,"['R3_C91', 'R3_C18', 'R3_C84', 'R3_C52', 'R3_C34', 'R3_C73', 'R3_C69', 'R3_C70', 'R3_C77', 'R3_C88']",42480.0,49860.0,15.0,37.447012210721375
7,177,"['R3_C83', 'R3_C64', 'R3_C106', 'R3_C65', 'R3_C78', 'R3_C92', 'R3_C98', 'R3_C43', 'R3_C74', 'R3_C96', 'R3_C105', 'R3_C97', 'R3_C94', 'R3_C110']",45642.0,54301.0,21.0,40.061367126464845
0,76,"['R3_C102', 'R3_C80', 'R3_C109', 'R3_C108', 'R3_C111', 'R3_C24', 'R3_C104', 'R3_C101']",45688.0,53485.0,14.0,41.59545627519558
1,11,"['R3_C113', 'R3_C51', 'R3_C119', 'R3_C117', 'R3_C126', 'R3_C95', 'R3_C100', 'R3_C99', 'R3_C45', 'R3_C112']",46694.0,54520.0,17.0,38.05692028831907
6,38,"['R3_C118', 'R3_C123', 'R3_C121', 'R3_C134', 'R3_C107', 'R3_C103', 'R3_C125', 'R3_C131', 'R3_C129', 'R3_C137']",48263.0,55379.0,19.0,35.62526870950987
4,13,"['R3_C116', 'R3_C122', 'R3_C115', 'R3_C142']",48596.0,54406.0,7.0,31.559769236392494
3,56,"['R3_C144', 'R3_C147', 'R3_C154']",50178.0,52477.0,6.0,12.203031249999999
5,167,"['R3_C128', 'R3_C132', 'R3_C140', 'R3_C124', 'R3_C114', 'R3_C153', 'R3_C161', 'R3_C148', 'R3_C130', 'R3_C157']",51772.50741892148,61046.50741892148,16.0,43.08389490748881
2,28,"['R3_C172', 'R3_C164', 'R3_C181', 'R3_C160', 'R3_C163', 'R3_C143', 'R3_C138', 'R3_C50', 'R3_C135', 'R3_C155', 'R3_C156', 'R3_C158', 'R3_C178', 'R3_C175']",52494.0,61138.0,22.0,39.97439483786158
3,151,"['R3_C152', 'R3_C145', 'R3_C179', 'R3_C168', 'R3_C127', 'R3_C120', 'R3_C133', 'R3_C180', 'R3_C167', 'R3_C159', 'R3_C149', 'R3_C150']",52477.0,61086.0,18.0,42.24492657470703
0,21,"['R3_C165', 'R3_C193', 'R3_C196', 'R3_C198', 'R3_C173', 'R3_C185', 'R3_C187', 'R3_C141', 'R3_C190', 'R3_C184', 'R3_C188']",54217.0,60979.0,19.0,29.40892578125
7,146,"['R3_C191', 'R3_C189', 'R3_C151', 'R3_C55', 'R3_C199', 'R3_C192', 'R3_C194']",54301.0,61144.0,11.0,38.73918774414062
4,233,"['R3_C201', 'R3_C176', 'R3_C169', 'R3_C136', 'R3_C203', 'R3_C139', 'R3_C182']",54646.0,61190.0,10.0,36.675431640625
1,15,"['R3_C162', 'R3_C170', 'R3_C202', 'R3_C186', 'R3_C206', 'R3_C166', 'R3_C204']",54791.0,60937.0,10.0,33.903454101562495
6,127,"['R3_C174', 'R3_C183', 'R3_C146', 'R3_C195']",55379.0,61091.0,5.0,34.65414147949218
