run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-20T18:03:57,2026-06-20T18:21:07,1029.6440669000003,17.16073444833334,hexaly,False,data,1,0,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],65,123,188,101.0,305.0,0.33114754098360655,290.07467761458025,8,0.34574468085106386
2,ok,2026-06-20T18:21:07,2026-06-20T18:52:09,1861.952042099998,31.032534034999966,hexaly,False,data,1,10,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],110,96,206,185.0,333.0,0.5555555555555556,342.14296161949557,11,0.5339805825242718
3,ok,2026-06-20T18:52:09,2026-06-20T19:14:32,1342.9591901000022,22.38265316833337,hexaly,False,data,1,20,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],87,114,201,136.0,314.0,0.43312101910828027,320.2003150470476,9,0.43283582089552236
4,ok,2026-06-20T19:14:32,2026-06-20T19:39:07,1474.9591043999972,24.582651739999953,hexaly,False,data,1,30,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],88,95,183,146.0,289.0,0.5051903114186851,385.1735369172568,10,0.4808743169398907
5,ok,2026-06-20T19:39:07,2026-06-20T20:10:48,1900.9657627000051,31.68276271166675,hexaly,False,data,1,40,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],111,80,191,181.0,307.0,0.5895765472312704,347.2276370025852,11,0.581151832460733
6,ok,2026-06-20T20:10:48,2026-06-20T20:44:01,1992.9500923000014,33.215834871666694,hexaly,False,data,1,50,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],113,78,191,188.0,314.0,0.5987261146496815,352.247862014033,11,0.5916230366492147
7,ok,2026-06-20T20:44:01,2026-06-20T21:14:39,1837.9638240999993,30.632730401666656,hexaly,False,data,1,60,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],101,94,195,166.0,310.0,0.535483870967742,367.1074308706514,11,0.517948717948718
8,ok,2026-06-20T21:14:39,2026-06-20T21:33:56,1156.9705618000007,19.28284269666668,hexaly,False,data,1,70,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],73,139,212,124.0,350.0,0.35428571428571426,328.96761212420836,8,0.3443396226415094
9,ok,2026-06-20T21:33:56,2026-06-20T22:05:23,1886.9583738000001,31.44930623,hexaly,False,data,1,80,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],107,88,195,182.0,325.0,0.56,377.24896761507387,11,0.5487179487179488
10,ok,2026-06-20T22:05:23,2026-06-20T22:33:13,1669.9645977000037,27.83274329500006,hexaly,False,data,1,90,20,140,10.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],106,82,188,177.0,302.0,0.5860927152317881,348.0638850293608,10,0.5638297872340425
