vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
1,69,"['R1_C7', 'R1_C8']",33271.0,36197.0,4.0,16.558902948484324
2,46,['R1_C5'],35663.160233057686,43090.160233057686,2.0,37.77553330969591
0,26,"['R1_C6', 'R1_C3', 'R1_C0']",33195.0,36563.0,5.0,19.6294443359375
1,16,"['R1_C10', 'R1_C35', 'R1_C14', 'R1_C15', 'R1_C37', 'R1_C36', 'R1_C40', 'R1_C12', 'R1_C25', 'R1_C16', 'R1_C33', 'R1_C13', 'R1_C34', 'R1_C38', 'R1_C18']",36197.0,46633.0,25.0,47.40753526484809
0,55,"['R1_C26', 'R1_C21', 'R1_C4', 'R1_C9', 'R1_C28', 'R1_C23', 'R1_C22', 'R1_C49', 'R1_C42', 'R1_C39', 'R1_C17', 'R1_C41']",37379.0,47304.18683518534,20.0,46.036676026833284
2,68,"['R1_C62', 'R1_C73', 'R1_C64', 'R1_C71', 'R1_C94', 'R1_C79', 'R1_C29', 'R1_C66', 'R1_C67', 'R1_C72', 'R1_C61', 'R1_C63', 'R1_C89', 'R1_C51', 'R1_C68', 'R1_C65', 'R1_C69']",43090.160233057686,50525.160233057686,29.0,30.33523828125
1,1,"['R1_C48', 'R1_C54', 'R1_C70', 'R1_C97', 'R1_C96', 'R1_C76', 'R1_C123', 'R1_C74', 'R1_C122', 'R1_C119', 'R1_C116', 'R1_C101']",46998.0,54971.0,23.0,37.82028601074219
0,27,"['R1_C55', 'R1_C83', 'R1_C100', 'R1_C126', 'R1_C109', 'R1_C125', 'R1_C85', 'R1_C91', 'R1_C121', 'R1_C2', 'R1_C105']",47304.18683518534,54719.18683518534,19.0,35.1961865234375
2,62,"['R1_C127', 'R1_C117', 'R1_C150', 'R1_C106', 'R1_C102', 'R1_C90', 'R1_C98', 'R1_C142', 'R1_C124', 'R1_C129', 'R1_C154', 'R1_C30', 'R1_C148', 'R1_C147', 'R1_C132', 'R1_C141', 'R1_C146', 'R1_C145']",50525.160233057686,61035.160233057686,29.0,46.659951833955546
0,265,"['R1_C158', 'R1_C144', 'R1_C135', 'R1_C118', 'R1_C134', 'R1_C181', 'R1_C170', 'R1_C151', 'R1_C173', 'R1_C168']",54719.18683518534,61101.18683518534,19.0,31.776839843749997
1,180,"['R1_C183', 'R1_C185', 'R1_C133', 'R1_C176', 'R1_C20', 'R1_C182', 'R1_C104', 'R1_C75', 'R1_C138', 'R1_C161']",55199.0,61132.0,14.0,28.670731567382813
