vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,27,"['R11_C0', 'R11_C7', 'R11_C4']",38030.65961395723,47538.65961395723,6.0,45.97572288820506
1,6,['R11_C5'],36211.273430897294,41189.273430897294,2.0,30.80241384461473
2,115,['R11_C1'],38878.494535595324,44726.494535595324,2.0,28.074795274078937
1,39,['R11_C31'],41189.273430897294,41669.273430897294,2.0,2.07472265625
1,25,"['R11_C11', 'R11_C81', 'R11_C83', 'R11_C57', 'R11_C41', 'R11_C40', 'R11_C64', 'R11_C39', 'R11_C45', 'R11_C37', 'R11_C71', 'R11_C29', 'R11_C72', 'R11_C62', 'R11_C51', 'R11_C12', 'R11_C56', 'R11_C52']",41669.273430897294,51250.19469111136,30.0,36.98356012736278
2,23,"['R11_C24', 'R11_C63', 'R11_C59', 'R11_C96', 'R11_C33', 'R11_C110', 'R11_C53', 'R11_C84', 'R11_C88', 'R11_C87', 'R11_C65', 'R11_C89', 'R11_C103', 'R11_C2', 'R11_C97', 'R11_C100', 'R11_C113', 'R11_C58']",45602.0,54877.0,29.0,39.34215579223632
0,54,"['R11_C68', 'R11_C79', 'R11_C95', 'R11_C60', 'R11_C118', 'R11_C94', 'R11_C115', 'R11_C3']",47538.65961395723,53269.65961395723,14.0,27.258697265625
1,211,"['R11_C161', 'R11_C133', 'R11_C158', 'R11_C141', 'R11_C134', 'R11_C92', 'R11_C49', 'R11_C119', 'R11_C112', 'R11_C154', 'R11_C69', 'R11_C129', 'R11_C74', 'R11_C102', 'R11_C137', 'R11_C23', 'R11_C155', 'R11_C76', 'R11_C159', 'R11_C157', 'R11_C163', 'R11_C151']",51250.19469111136,61008.19469111136,32.0,38.921705078124994
0,194,"['R11_C67', 'R11_C167', 'R11_C121', 'R11_C114', 'R11_C107', 'R11_C146', 'R11_C176', 'R11_C145', 'R11_C98', 'R11_C168', 'R11_C150', 'R11_C170', 'R11_C166', 'R11_C181', 'R11_C179']",53467.0,61073.0,24.0,34.01773583984375
2,2,"['R11_C187', 'R11_C93', 'R11_C180', 'R11_C169', 'R11_C123', 'R11_C28', 'R11_C54', 'R11_C136', 'R11_C186', 'R11_C16', 'R11_C174', 'R11_C173', 'R11_C190']",54877.0,61136.0,19.0,27.171228515624996
