run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-21T22:05:39,2026-06-21T22:33:23,1663.8816496,27.731360826666666,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,0,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",105,87,192,178.0,315.0,0.5650793650793651,342.5852256991395,12,0.546875
2,ok,2026-06-21T22:33:23,2026-06-21T23:06:14,1970.9932467000035,32.84988744500006,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,1,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",110,78,188,188.0,313.0,0.6006389776357828,374.91641516384203,12,0.5851063829787234
3,ok,2026-06-21T23:06:14,2026-06-21T23:25:25,1151.0184701000035,19.18364116833339,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,2,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",96,117,213,164.0,363.0,0.45179063360881544,343.70549339205417,10,0.4507042253521127
4,ok,2026-06-21T23:25:25,2026-06-21T23:54:48,1763.0673475000003,29.38445579166667,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,3,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",106,103,209,184.0,348.0,0.5287356321839081,365.2017872665676,12,0.507177033492823
5,ok,2026-06-21T23:54:48,2026-06-22T00:15:04,1216.0190851999942,20.266984753333237,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,4,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",104,101,205,175.0,338.0,0.5177514792899408,359.3356736616598,10,0.5073170731707317
6,ok,2026-06-22T00:15:04,2026-06-22T00:41:32,1588.0046580999915,26.466744301666527,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,5,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",108,93,201,181.0,330.0,0.5484848484848485,350.5094028076011,13,0.5373134328358209
7,ok,2026-06-22T00:41:32,2026-06-22T01:09:48,1696.007439100009,28.266790651666817,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,6,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",109,93,202,184.0,337.0,0.5459940652818991,371.7574539665668,10,0.5396039603960396
8,ok,2026-06-22T01:09:48,2026-06-22T01:38:47,1739.0063476000068,28.98343912666678,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,7,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",113,94,207,198.0,350.0,0.5657142857142857,321.0012581817401,11,0.5458937198067633
9,ok,2026-06-22T01:38:47,2026-06-22T02:16:10,2243.0068818,37.38344803,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,8,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",111,106,217,197.0,368.0,0.5353260869565217,364.95573243919955,15,0.511520737327189
10,ok,2026-06-22T02:16:10,2026-06-22T02:48:20,1929.9979662999976,32.16663277166663,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,2,9,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",110,73,183,190.0,314.0,0.6050955414012739,364.238886006358,12,0.6010928961748634
