rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,no_improvement_time_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed
False,data,3,0,20,160,40.0,5,,,,,,,,42
False,data,3,1,20,160,40.0,5,,,,,,,,42
False,data,3,2,20,160,40.0,5,,,,,,,,42
False,data,3,3,20,160,40.0,5,,,,,,,,42
False,data,3,4,20,160,40.0,5,,,,,,,,42
False,data,3,5,20,160,40.0,5,,,,,,,,42
False,data,3,6,20,160,40.0,5,,,,,,,,42
False,data,3,7,20,160,40.0,5,,,,,,,,42
False,data,3,8,20,160,40.0,5,,,,,,,,42
False,data,3,9,20,160,40.0,5,,,,,,,,42
False,data,3,10,20,160,40.0,5,,,,,,,,42
False,data,3,11,20,160,40.0,5,,,,,,,,42
False,data,3,12,20,160,40.0,5,,,,,,,,42
False,data,3,13,20,160,40.0,5,,,,,,,,42
False,data,3,14,20,160,40.0,5,,,,,,,,42
False,data,3,15,20,160,40.0,5,,,,,,,,42
False,data,3,16,20,160,40.0,5,,,,,,,,42
False,data,3,17,20,160,40.0,5,,,,,,,,42
False,data,3,18,20,160,40.0,5,,,,,,,,42
False,data,3,19,20,160,40.0,5,,,,,,,,42
