vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,41,['R2_C0'],35192.686035504594,41466.67666673714,2.0,31.1659968273094
1,205,['R2_C1'],37833.51096877509,42126.51096877509,2.0,24.79211170499267
2,13,['R2_C2'],32490.0,36199.0,1.0,23.24930101683657
2,1,"['R2_C8', 'R2_C11', 'R2_C4', 'R2_C22', 'R2_C5', 'R2_C18', 'R2_C17', 'R2_C24', 'R2_C25']",36199.0,42225.0,16.0,29.29414949672079
0,65,"['R2_C10', 'R2_C9', 'R2_C20', 'R2_C59', 'R2_C44', 'R2_C16', 'R2_C27', 'R2_C32', 'R2_C13', 'R2_C52', 'R2_C21', 'R2_C40']",41466.67666673714,46663.67666673714,23.0,21.036958984374998
1,2,"['R2_C67', 'R2_C61', 'R2_C42', 'R2_C26', 'R2_C51', 'R2_C31', 'R2_C78']",42126.51096877509,45950.51096877509,12.0,17.7854296875
2,4,['R2_C84'],42225.0,43389.0,1.0,6.8271689453125
2,36,"['R2_C41', 'R2_C49', 'R2_C86', 'R2_C33', 'R2_C80', 'R2_C55', 'R2_C95', 'R2_C39', 'R2_C76', 'R2_C70', 'R2_C47', 'R2_C65', 'R2_C53', 'R2_C63', 'R2_C77', 'R2_C73', 'R2_C71']",43389.0,53008.0,27.0,40.48170586290105
1,51,"['R2_C115', 'R2_C98', 'R2_C107', 'R2_C106', 'R2_C75', 'R2_C92', 'R2_C97', 'R2_C90', 'R2_C66', 'R2_C79', 'R2_C100', 'R2_C45', 'R2_C34', 'R2_C127', 'R2_C72', 'R2_C88', 'R2_C91', 'R2_C114', 'R2_C96']",45950.51096877509,54352.51096877509,29.0,32.02432802107438
0,94,"['R2_C110', 'R2_C113', 'R2_C82', 'R2_C104', 'R2_C46', 'R2_C15', 'R2_C102', 'R2_C74', 'R2_C56', 'R2_C94', 'R2_C60', 'R2_C116', 'R2_C108', 'R2_C83', 'R2_C37', 'R2_C105', 'R2_C135', 'R2_C103', 'R2_C35']",46663.67666673714,55792.67666673714,30.0,38.32987280273438
2,11,['R2_C128'],53008.0,53838.0,2.0,4.511953125
2,82,"['R2_C161', 'R2_C182', 'R2_C138', 'R2_C168', 'R2_C153', 'R2_C176', 'R2_C169', 'R2_C181', 'R2_C164', 'R2_C172', 'R2_C189', 'R2_C179', 'R2_C152', 'R2_C184', 'R2_C185', 'R2_C187', 'R2_C186']",53867.0,61166.0,31.0,29.379042968750003
1,38,"['R2_C122', 'R2_C167', 'R2_C119', 'R2_C166', 'R2_C19', 'R2_C190', 'R2_C163', 'R2_C165', 'R2_C140', 'R2_C148', 'R2_C192', 'R2_C177', 'R2_C58', 'R2_C178']",54352.51096877509,61178.51096877509,24.0,29.844301269531247
0,128,"['R2_C143', 'R2_C173', 'R2_C141', 'R2_C195', 'R2_C131', 'R2_C155', 'R2_C154', 'R2_C156', 'R2_C174', 'R2_C149']",55792.67666673714,61174.67666673714,18.0,24.841564453125
