vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,8,['R10_C4'],35963.81089893075,42393.81089893075,2.0,37.138815001356846
1,19,"['R10_C0', 'R10_C8']",33284.0,38725.0,4.0,34.020901209909894
2,2,"['R10_C2', 'R10_C6', 'R10_C7']",33114.0,41482.0,6.0,53.09147485351563
1,19,['R10_C17'],38725.0,39547.0,2.0,4.452125
1,3,"['R10_C50', 'R10_C53', 'R10_C49', 'R10_C57', 'R10_C9', 'R10_C64', 'R10_C36', 'R10_C40', 'R10_C73', 'R10_C45', 'R10_C5', 'R10_C10', 'R10_C65', 'R10_C37']",39547.0,46754.0,23.0,31.249771484375
2,69,"['R10_C18', 'R10_C21', 'R10_C22', 'R10_C60', 'R10_C83', 'R10_C31', 'R10_C33', 'R10_C71', 'R10_C20', 'R10_C88', 'R10_C76', 'R10_C41', 'R10_C54', 'R10_C63', 'R10_C62', 'R10_C56']",41482.0,51144.0,25.0,43.281273193359375
0,18,"['R10_C75', 'R10_C96', 'R10_C52', 'R10_C85', 'R10_C98']",42799.0,46212.0,9.0,17.4313486328125
0,14,"['R10_C95', 'R10_C104', 'R10_C108', 'R10_C106', 'R10_C117', 'R10_C69', 'R10_C77', 'R10_C126', 'R10_C97', 'R10_C89', 'R10_C118', 'R10_C112', 'R10_C86', 'R10_C66', 'R10_C32', 'R10_C121']",46212.0,55568.0,28.0,41.151234375
1,5,['R10_C101'],46754.0,47618.0,2.0,4.745380859375
1,7,"['R10_C133', 'R10_C140', 'R10_C107', 'R10_C25', 'R10_C91', 'R10_C124', 'R10_C100', 'R10_C122', 'R10_C128', 'R10_C110', 'R10_C135', 'R10_C130', 'R10_C147', 'R10_C143', 'R10_C51', 'R10_C114', 'R10_C109', 'R10_C116', 'R10_C138']",48090.0,56634.0,30.0,34.272169965277016
2,72,"['R10_C148', 'R10_C123', 'R10_C149', 'R10_C102', 'R10_C160']",51144.0,53757.0,10.0,11.8825556640625
2,104,['R10_C156'],53757.0,53991.0,2.0,0.365826171875
2,57,"['R10_C191', 'R10_C197', 'R10_C1', 'R10_C169', 'R10_C120', 'R10_C154', 'R10_C161', 'R10_C168', 'R10_C134', 'R10_C61', 'R10_C58', 'R10_C184', 'R10_C196', 'R10_C188']",54365.0,60803.0,22.0,25.893852539062497
0,1,"['R10_C190', 'R10_C202', 'R10_C170', 'R10_C176', 'R10_C29', 'R10_C153', 'R10_C172', 'R10_C158', 'R10_C199', 'R10_C193']",55568.0,61175.0,16.0,26.392169433593754
1,165,"['R10_C164', 'R10_C141', 'R10_C194', 'R10_C174', 'R10_C137', 'R10_C183', 'R10_C195']",56634.0,61137.0,11.0,22.500490234375
