run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-21T12:37:10,2026-06-21T12:57:00,1189.0319455999997,19.81719909333333,hexaly,False,data,1,1,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],81,107,188,136.0,302.0,0.4503311258278146,310.35533763176835,8,0.4308510638297872
2,ok,2026-06-21T12:57:00,2026-06-21T13:25:52,1731.9403057000018,28.865671761666697,hexaly,False,data,1,2,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],118,101,219,193.0,353.0,0.546742209631728,329.72176632141833,10,0.5388127853881278
3,ok,2026-06-21T13:25:52,2026-06-21T13:58:44,1971.9576614000107,32.86596102333351,hexaly,False,data,1,3,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],104,106,210,174.0,342.0,0.5087719298245614,356.6411326089815,12,0.49523809523809526
4,ok,2026-06-21T13:58:44,2026-06-21T14:31:54,1989.9635113999975,33.16605852333329,hexaly,False,data,1,4,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],104,80,184,165.0,294.0,0.5612244897959183,346.5774458312018,10,0.5652173913043478
5,ok,2026-06-21T14:31:54,2026-06-21T14:54:40,1365.9635926999908,22.76605987833318,hexaly,False,data,1,5,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],87,105,192,145.0,309.0,0.4692556634304207,316.98073939661265,9,0.453125
6,ok,2026-06-21T14:54:40,2026-06-21T15:23:57,1756.9502260000008,29.282503766666682,hexaly,False,data,1,6,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],105,56,161,169.0,253.0,0.6679841897233202,374.55669376731555,11,0.6521739130434783
7,ok,2026-06-21T15:23:57,2026-06-21T15:45:04,1266.956439600006,21.1159406600001,hexaly,False,data,1,7,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],89,137,226,146.0,353.0,0.41359773371104813,331.74445495970303,9,0.3938053097345133
8,ok,2026-06-21T15:45:04,2026-06-21T16:09:49,1484.9591717000003,24.749319528333338,hexaly,False,data,1,8,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],111,72,183,177.0,291.0,0.6082474226804123,348.69716213055,10,0.6065573770491803
9,ok,2026-06-21T16:09:49,2026-06-21T16:38:56,1746.9622809999855,29.116038016666426,hexaly,False,data,1,9,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],112,80,192,192.0,316.0,0.6075949367088608,364.5640351642603,11,0.5833333333333334
10,ok,2026-06-21T16:38:56,2026-06-21T17:20:05,2468.9643788000103,41.14940631333351,hexaly,False,data,1,10,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],115,91,206,192.0,333.0,0.5765765765765766,387.86938861795005,15,0.558252427184466
11,ok,2026-06-21T17:20:05,2026-06-21T17:48:20,1694.9503398000088,28.249172330000146,hexaly,False,data,1,11,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],109,89,198,175.0,306.0,0.5718954248366013,369.27286611024994,11,0.5505050505050505
12,ok,2026-06-21T17:48:20,2026-06-21T18:22:17,2036.9481289999967,33.94913548333328,hexaly,False,data,1,12,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],115,91,206,192.0,342.0,0.5614035087719298,347.8979501703833,12,0.558252427184466
13,ok,2026-06-21T18:22:17,2026-06-21T18:48:03,1545.9656865000143,25.766094775000237,hexaly,False,data,1,13,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],101,103,204,174.0,336.0,0.5178571428571429,358.8664675898849,10,0.4950980392156863
14,ok,2026-06-21T18:48:03,2026-06-21T19:14:06,1562.953351700009,26.049222528333484,hexaly,False,data,1,14,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],111,88,199,185.0,324.0,0.5709876543209876,363.84623621297374,10,0.5577889447236181
15,ok,2026-06-21T19:14:06,2026-06-21T19:30:59,1012.9639897999878,16.88273316333313,hexaly,False,data,1,15,20,160,40.0,,,,,,,,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]",[],90,112,202,140.0,320.0,0.4375,300.9127497152457,8,0.44554455445544555
