vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
0,255,"['R2_C3', 'R2_C9', 'R2_C5']",36825.64014368953,45591.64014368953,5.0,43.3202857863445
1,9,"['R2_C6', 'R2_C0', 'R2_C1', 'R2_C8', 'R2_C4']",36100.71258776434,43313.71258776434,8.0,35.046070523994615
2,30,"['R2_C2', 'R2_C7']",35536.86677992755,40695.86677992755,4.0,28.301684706749406
2,17,"['R2_C50', 'R2_C83']",40695.86677992755,41774.86677992755,4.0,4.9858828125
2,75,"['R2_C100', 'R2_C88', 'R2_C46', 'R2_C67', 'R2_C78', 'R2_C36', 'R2_C39', 'R2_C44', 'R2_C26', 'R2_C62', 'R2_C106', 'R2_C85', 'R2_C53', 'R2_C97', 'R2_C104', 'R2_C12', 'R2_C84', 'R2_C108', 'R2_C54', 'R2_C47', 'R2_C79', 'R2_C94']",41774.86677992755,51330.86677992755,36.0,38.780208007812504
1,16,"['R2_C123', 'R2_C117', 'R2_C73', 'R2_C27', 'R2_C34', 'R2_C30', 'R2_C103', 'R2_C74', 'R2_C59', 'R2_C52', 'R2_C75', 'R2_C68', 'R2_C66', 'R2_C101', 'R2_C116', 'R2_C87', 'R2_C127', 'R2_C80', 'R2_C25', 'R2_C119', 'R2_C99', 'R2_C18']",43313.71258776434,54549.54969741707,35.0,45.71052336951537
0,51,"['R2_C48', 'R2_C132', 'R2_C129', 'R2_C76', 'R2_C102', 'R2_C141', 'R2_C115', 'R2_C144', 'R2_C145', 'R2_C148', 'R2_C142', 'R2_C121', 'R2_C139']",46301.0,53100.0,24.0,30.926148559570308
2,24,"['R2_C159', 'R2_C138', 'R2_C35', 'R2_C61', 'R2_C112', 'R2_C124', 'R2_C152', 'R2_C165', 'R2_C82', 'R2_C11', 'R2_C146', 'R2_C118', 'R2_C177', 'R2_C166', 'R2_C140', 'R2_C167', 'R2_C186', 'R2_C137', 'R2_C178', 'R2_C183', 'R2_C192']",51369.0,60967.0,33.0,39.060444335937504
0,164,"['R2_C151', 'R2_C58', 'R2_C149', 'R2_C174', 'R2_C131', 'R2_C126', 'R2_C77', 'R2_C93', 'R2_C179', 'R2_C143', 'R2_C56', 'R2_C196', 'R2_C185', 'R2_C170', 'R2_C181', 'R2_C173']",53100.0,60979.0,25.0,34.66159829711914
1,89,"['R2_C198', 'R2_C154', 'R2_C193', 'R2_C147', 'R2_C162', 'R2_C172', 'R2_C191', 'R2_C171', 'R2_C168', 'R2_C153', 'R2_C195', 'R2_C212']",54686.0,61018.0,19.0,28.928919921875
