vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
1,84,"['R6_C0', 'R6_C1']",36804.05676502169,43915.60549824508,3.0,37.77536244491611
2,98,['R6_C2'],36235.53723258227,38419.53723258227,2.0,12.655144093078036
0,8,['R6_C3'],36718.7887671755,40995.7887671755,1.0,23.428558528696016
2,31,"['R6_C26', 'R6_C16', 'R6_C4', 'R6_C29']",38419.53723258227,42518.53723258227,8.0,23.452956054687498
0,26,"['R6_C54', 'R6_C14', 'R6_C31', 'R6_C53', 'R6_C51', 'R6_C47', 'R6_C17', 'R6_C19', 'R6_C28', 'R6_C30', 'R6_C5', 'R6_C36']",41945.07719151669,47655.07719151669,20.0,22.105643064376764
2,17,"['R6_C39', 'R6_C48', 'R6_C24', 'R6_C13', 'R6_C15', 'R6_C56', 'R6_C27', 'R6_C58', 'R6_C32', 'R6_C43', 'R6_C67']",42753.0,49271.0,21.0,27.707865657751796
1,77,"['R6_C86', 'R6_C69', 'R6_C63', 'R6_C83', 'R6_C60', 'R6_C66', 'R6_C89', 'R6_C74', 'R6_C77', 'R6_C64', 'R6_C70', 'R6_C88', 'R6_C91', 'R6_C85', 'R6_C55', 'R6_C75', 'R6_C73']",45587.88541508015,54074.88541508015,29.0,28.860387380328238
0,2,"['R6_C106', 'R6_C65', 'R6_C107', 'R6_C113', 'R6_C90', 'R6_C92', 'R6_C40', 'R6_C95', 'R6_C87', 'R6_C108', 'R6_C80', 'R6_C104', 'R6_C98', 'R6_C111', 'R6_C81', 'R6_C52', 'R6_C118', 'R6_C99', 'R6_C123', 'R6_C110']",47655.07719151669,55518.07719151669,37.0,29.529435546875
2,45,"['R6_C101', 'R6_C124', 'R6_C68', 'R6_C41', 'R6_C144', 'R6_C61', 'R6_C146', 'R6_C42', 'R6_C129', 'R6_C72', 'R6_C142', 'R6_C135']",49721.0,54843.0,19.0,20.523198242187505
1,159,"['R6_C133', 'R6_C171', 'R6_C164', 'R6_C175', 'R6_C161', 'R6_C132', 'R6_C150', 'R6_C157', 'R6_C141', 'R6_C162', 'R6_C148', 'R6_C168', 'R6_C153', 'R6_C139', 'R6_C176']",54357.0,60885.0,26.0,26.530901367187496
2,78,"['R6_C180', 'R6_C151', 'R6_C172', 'R6_C131', 'R6_C156', 'R6_C25', 'R6_C143', 'R6_C147', 'R6_C97', 'R6_C84', 'R6_C125', 'R6_C174', 'R6_C178']",55157.0,61095.0,19.0,24.927664062499996
0,135,"['R6_C117', 'R6_C179', 'R6_C112', 'R6_C11', 'R6_C183', 'R6_C158', 'R6_C152', 'R6_C71', 'R6_C169']",55518.07719151669,60977.07719151669,14.0,26.6101884765625
