run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-21T13:08:40,2026-06-21T13:26:12,1051.4262497000018,17.52377082833336,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,0,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",104,88,192,174.0,315.0,0.5523809523809524,240.9890302497734,8,0.5416666666666666
2,ok,2026-06-21T13:26:12,2026-06-21T14:13:24,2832.036635999997,47.200610599999955,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,1,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",127,58,185,215.0,312.0,0.6891025641025641,339.93776445808567,16,0.6864864864864865
3,ok,2026-06-21T14:13:24,2026-06-21T14:44:27,1863.1107546999992,31.051845911666653,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,2,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",109,95,204,186.0,333.0,0.5585585585585585,296.4969561019776,11,0.5343137254901961
4,ok,2026-06-21T14:44:27,2026-06-21T15:17:50,2003.0573172000004,33.38428862000001,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,3,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",123,71,194,210.0,323.0,0.6501547987616099,322.66878724979335,13,0.634020618556701
5,ok,2026-06-21T15:17:50,2026-06-21T15:54:08,2178.024521899999,36.300408698333314,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,4,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",150,79,229,250.0,374.0,0.6684491978609626,323.36841780504636,13,0.6550218340611353
6,ok,2026-06-21T15:54:08,2026-06-21T16:09:08,899.9821465999994,14.999702443333323,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,5,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",77,140,217,129.0,358.0,0.36033519553072624,242.32674429690059,7,0.3548387096774194
7,ok,2026-06-21T16:09:08,2026-06-21T16:39:19,1810.9987733999951,30.183312889999918,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,6,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",117,67,184,199.0,293.0,0.6791808873720137,304.10730491914694,12,0.6358695652173914
8,ok,2026-06-21T16:39:19,2026-06-21T17:04:14,1494.9910760999992,24.916517934999987,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,7,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",111,80,191,189.0,313.0,0.6038338658146964,285.74924990974,10,0.581151832460733
9,ok,2026-06-21T17:04:14,2026-06-21T17:37:55,2020.991426600005,33.683190443333416,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,8,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",113,77,190,199.0,324.0,0.6141975308641975,305.9086378105604,12,0.5947368421052631
10,ok,2026-06-21T17:37:55,2026-06-21T18:15:35,2259.9914938999937,37.66652489833323,hexaly,False,C:\Users\jaraf\Desktop\2026\ICS2122c\ICS2122\data,3,9,20,160,40.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",122,82,204,201.0,335.0,0.6,303.07771539166396,12,0.5980392156862745
