vehicle_id,trip,customer_ids,departure_time_from_depot,return_to_depot_time,total_profit,total_distance_km
1,19,['R9_C0'],37591.77153383386,42624.77153383386,2.0,28.674391864617938
2,19,['R9_C1'],33720.0,37890.0,2.0,26.444544921874996
0,71,['R9_C2'],35497.13675198237,40635.13675198237,2.0,29.4101640625
2,4,"['R9_C6', 'R9_C17', 'R9_C20', 'R9_C18', 'R9_C10', 'R9_C8', 'R9_C28', 'R9_C14', 'R9_C15', 'R9_C22']",37890.0,44646.0,17.0,30.609301623001283
0,17,"['R9_C23', 'R9_C44', 'R9_C38', 'R9_C3', 'R9_C11', 'R9_C33', 'R9_C30', 'R9_C19', 'R9_C41', 'R9_C9', 'R9_C21', 'R9_C29', 'R9_C37']",40803.0,47901.0,23.0,32.998494140625
1,9,"['R9_C32', 'R9_C49', 'R9_C51', 'R9_C63']",42739.0,45535.0,8.0,14.3969912109375
2,6,"['R9_C86', 'R9_C34', 'R9_C71', 'R9_C27', 'R9_C54', 'R9_C60', 'R9_C87', 'R9_C24', 'R9_C74', 'R9_C78', 'R9_C81', 'R9_C26', 'R9_C39', 'R9_C56', 'R9_C76', 'R9_C75']",44646.0,52664.0,27.0,35.61179199218749
1,1,"['R9_C103', 'R9_C79', 'R9_C82', 'R9_C101', 'R9_C52', 'R9_C66', 'R9_C107', 'R9_C90', 'R9_C43', 'R9_C70', 'R9_C42', 'R9_C55', 'R9_C77', 'R9_C104', 'R9_C94']",45908.0,54755.0,26.0,38.86649818280126
0,103,"['R9_C106', 'R9_C98', 'R9_C89', 'R9_C121', 'R9_C113', 'R9_C131', 'R9_C62', 'R9_C124', 'R9_C133', 'R9_C99', 'R9_C128', 'R9_C117', 'R9_C95', 'R9_C65']",48197.0,56514.0,25.0,36.438558593749995
2,248,"['R9_C112', 'R9_C109', 'R9_C129', 'R9_C116', 'R9_C110', 'R9_C125', 'R9_C144', 'R9_C138', 'R9_C145', 'R9_C114', 'R9_C91', 'R9_C135', 'R9_C149', 'R9_C152', 'R9_C35', 'R9_C126', 'R9_C157']",52664.0,61049.0,26.0,36.910521484375
1,291,"['R9_C174', 'R9_C163', 'R9_C122', 'R9_C111', 'R9_C172', 'R9_C123', 'R9_C147', 'R9_C170', 'R9_C171', 'R9_C160', 'R9_C139', 'R9_C173']",54755.0,61141.0,22.0,29.29625244140625
0,38,"['R9_C180', 'R9_C159', 'R9_C84', 'R9_C175', 'R9_C178', 'R9_C177']",56514.0,61137.0,10.0,24.581375488281246
