rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,no_improvement_time_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,seed
False,data,4,0,20,160,30.0,5,,,,,,,,42
False,data,4,1,20,160,30.0,5,,,,,,,,42
False,data,4,2,20,160,30.0,5,,,,,,,,42
False,data,4,3,20,160,30.0,5,,,,,,,,42
False,data,4,4,20,160,30.0,5,,,,,,,,42
False,data,4,5,20,160,30.0,5,,,,,,,,42
False,data,4,6,20,160,30.0,5,,,,,,,,42
False,data,4,7,20,160,30.0,5,,,,,,,,42
False,data,4,8,20,160,30.0,5,,,,,,,,42
False,data,4,9,20,160,30.0,5,,,,,,,,42
False,data,4,10,20,160,30.0,5,,,,,,,,42
False,data,4,11,20,160,30.0,5,,,,,,,,42
False,data,4,12,20,160,30.0,5,,,,,,,,42
False,data,4,13,20,160,30.0,5,,,,,,,,42
False,data,4,14,20,160,30.0,5,,,,,,,,42
False,data,4,15,20,160,30.0,5,,,,,,,,42
False,data,4,16,20,160,30.0,5,,,,,,,,42
False,data,4,17,20,160,30.0,5,,,,,,,,42
False,data,4,18,20,160,30.0,5,,,,,,,,42
False,data,4,19,20,160,30.0,5,,,,,,,,42
