run_id,status,start_timestamp,end_timestamp,elapsed_total_sec,elapsed_total_min,solver,rica,input_dir,instancia,replica_id,n_scenarios,lookahead_min,scenario_time_limit_sec,parallel_backend,parallel_max_workers,parallel_cpu_reserve,parallel_log_progress,dynamic_insertion_n_scenarios,enable_dynamic_pickup_insertion,run_msa_on_request_arrival_if_vehicle_waiting,no_improvement_time_sec,seed,config_applied_fields,config_ignored_fields,served_customers,outsourced_customers,total_customers,total_profit,total_possible_profit,profit_rate,total_distance_km,nb_trips,service_rate
1,ok,2026-06-21T23:03:05,2026-06-21T23:36:24,1998.8924573000113,33.31487428833352,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,0,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",122,70,192,209.0,315.0,0.6634920634920635,309.40182139069503,11,0.6354166666666666
2,ok,2026-06-21T23:36:24,2026-06-22T00:16:19,2394.936160100013,39.91560266833355,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,1,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",124,61,185,213.0,312.0,0.6826923076923077,345.50261195004487,11,0.6702702702702703
3,ok,2026-06-22T00:16:19,2026-06-22T01:01:33,2713.957823100005,45.232630385000085,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,2,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",129,75,204,218.0,333.0,0.6546546546546547,353.56388516616295,14,0.6323529411764706
4,ok,2026-06-22T01:01:33,2026-06-22T01:45:09,2615.9600334000133,43.599333890000224,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,3,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",121,73,194,204.0,323.0,0.631578947368421,348.06106275440015,13,0.6237113402061856
5,ok,2026-06-22T01:45:09,2026-06-22T02:20:20,2110.960382099991,35.18267303499985,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,4,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",136,93,229,235.0,374.0,0.6283422459893048,320.9806286325819,11,0.5938864628820961
6,ok,2026-06-22T02:20:20,2026-06-22T02:40:20,1199.9620855000103,19.999368091666838,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,5,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",95,122,217,156.0,358.0,0.43575418994413406,265.99466777975584,8,0.4377880184331797
7,ok,2026-06-22T02:40:20,2026-06-22T03:08:25,1684.961363200011,28.08268938666685,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,6,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",111,73,184,180.0,293.0,0.6143344709897611,298.3562874666979,10,0.6032608695652174
8,ok,2026-06-22T03:08:25,2026-06-22T03:35:17,1611.9601181999897,26.86600196999983,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,7,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",112,79,191,192.0,313.0,0.6134185303514377,283.9347345732237,10,0.5863874345549738
9,ok,2026-06-22T03:35:17,2026-06-22T04:04:24,1746.9624372999824,29.116040621666375,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,8,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",116,74,190,202.0,324.0,0.6234567901234568,291.35867409666025,11,0.6105263157894737
10,ok,2026-06-22T04:04:24,2026-06-22T04:37:08,1963.9589908999915,32.73264984833319,hexaly,False,C:\Users\jaraf\OneDrive\Desktop\2026\ICS2122\data,4,9,20,160,30.0,,,,,,,,5,42,"[""consensus_mode"", ""instancia"", ""lookahead_sec"", ""n_scenarios"", ""scenario_time_limit_sec"", ""seed""]","[""no_improvement_time_sec""]",115,89,204,193.0,335.0,0.5761194029850746,289.65881830405783,11,0.5637254901960784
