Instancia,replica,U_relativa,D_camiones,,,,,,,,
0,0,0.554098361,526288.06,,,,Estad’sticas Caso Base 31.75 km/hr desagregado por instancias,,,,
0,1,0.639072848,523733.2,,,Instancia,I,II,III,IV,Todas
0,2,0.54674221,504342.88,,,Min(U),51%,47%,60%,58%,47.18%
0,3,0.552631579,530227.44,,,E(U),59%,51%,65%,62%,59.23%
0,4,0.574829932,503525.44,,,Max(U),66%,55%,72%,67%,72.01%
0,5,0.579288026,515289.16,,,,,,,,
0,6,0.656126482,540045.1,,,,,,,,
0,7,0.507082153,525264.75,,,,,,,,
0,8,0.656357388,512296.2,,,,,,,,
0,9,0.591772152,529818.5,,,,,,,,
1,0,0.507936508,527979.7,,,,,,,,
1,1,0.546325879,495625.88,,,,,,,,
1,2,0.526170799,533316.9,,,,,,,,
1,3,0.494252874,518372.72,,,,,,,,
1,4,0.485207101,531000.3,,,,,,,,
1,5,0.503030303,536012,,,,,,,,
1,6,0.471810089,498187.2,,,,,,,,
1,7,0.477142857,525115.8,,,,,,,,
1,8,0.527173913,525517.4,,,,,,,,
1,9,0.531847134,529442.1,,,,,,,,
2,0,0.66984127,466237.03,,,,,,,,
2,1,0.602564103,478392.8,,,,,,,,
2,2,0.651651652,466156.06,,,,,,,,
2,3,0.665634675,483461.47,,,,,,,,
2,4,0.625668449,472933.22,,,,,,,,
2,5,0.653631285,459629.75,,,,,,,,
2,6,0.720136519,475736.4,,,,,,,,
2,7,0.651757188,462896.8,,,,,,,,
2,8,0.645061728,455406.72,,,,,,,,
2,9,0.659701493,449646.12,,,,,,,,
3,0,0.631746032,487871.62,,,,,,,,
3,1,0.583333333,507686.8,,,,,,,,
3,2,0.645645646,457672.38,,,,,,,,
3,3,0.585139319,483518.3,,,,,,,,
3,4,0.598930481,438911.97,,,,,,,,
3,5,0.589385475,476634.22,,,,,,,,
3,6,0.66894198,497227.28,,,,,,,,
3,7,0.635782748,469685.2,,,,,,,,
3,8,0.632716049,456319.75,,,,,,,,
3,9,0.647761194,450254,,,,,,,,
