tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,34009,1000000000000,1000000000000,False
1000000000000,36484,1000000000000,1000000000000,False
34076,1000000000000,1000000000000,1000000000000,True
1000000000000,41332,1000000000000,1000000000000,False
1000000000000,37941,1000000000000,1000000000000,False
1000000000000,42367,1000000000000,1000000000000,False
1000000000000,35496,1000000000000,1000000000000,False
1000000000000,39212,1000000000000,1000000000000,False
1000000000000,36970,1000000000000,1000000000000,False
1000000000000,36160,1000000000000,1000000000000,False
1000000000000,40391,1000000000000,1000000000000,False
34791,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36662,1000000000000,False
1000000000000,1000000000000,43602,1000000000000,False
35666,1000000000000,1000000000000,1000000000000,True
36613,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41425,1000000000000,False
1000000000000,1000000000000,38901,1000000000000,False
41559,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46203,1000000000000,False
1000000000000,1000000000000,46897,1000000000000,False
1000000000000,46033,1000000000000,1000000000000,False
37174,1000000000000,1000000000000,1000000000000,True
1000000000000,45741,1000000000000,1000000000000,False
1000000000000,1000000000000,39978,1000000000000,False
1000000000000,1000000000000,39516,1000000000000,False
1000000000000,1000000000000,40516,1000000000000,False
42490,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46685,False
1000000000000,1000000000000,1000000000000,47060,False
1000000000000,44305,1000000000000,1000000000000,False
1000000000000,44602,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48298,False
1000000000000,1000000000000,1000000000000,48065,False
1000000000000,50186,1000000000000,1000000000000,False
1000000000000,43942,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48837,False
1000000000000,1000000000000,49744,1000000000000,False
39746,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49579,False
1000000000000,45147,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48552,False
1000000000000,50930,1000000000000,1000000000000,False
1000000000000,45492,1000000000000,1000000000000,False
46840,1000000000000,1000000000000,1000000000000,True
44871,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49708,False
49977,1000000000000,1000000000000,1000000000000,True
46507,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49421,False
1000000000000,48795,1000000000000,1000000000000,False
40195,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50068,False
41787,1000000000000,1000000000000,1000000000000,True
1000000000000,51454,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50723,False
1000000000000,51779,1000000000000,1000000000000,False
1000000000000,49070,1000000000000,1000000000000,False
1000000000000,43492,1000000000000,1000000000000,False
1000000000000,46667,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50543,False
1000000000000,1000000000000,1000000000000,51320,False
1000000000000,1000000000000,50682,1000000000000,False
1000000000000,1000000000000,1000000000000,58824,True
47812,1000000000000,1000000000000,1000000000000,True
1000000000000,46326,1000000000000,1000000000000,False
48513,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50815,False
1000000000000,51199,1000000000000,1000000000000,False
53705,1000000000000,1000000000000,1000000000000,True
