Instancia,replica,U_relativa,D_camiones
0,0,0.7442622950819672,658539.44
0,1,0.7615894039735099,649934.9
0,2,0.6713881019830028,665125.25
0,3,0.6578947368421053,656716.7
0,4,0.7006802721088435,685760.4
0,5,0.7022653721682848,662079.7
0,6,0.7905138339920948,666331.0
0,7,0.6317280453257791,664911.3
0,8,0.7525773195876289,679985.94
0,9,0.7310126582278481,672015.8
1,0,0.6444444444444445,667242.0
1,1,0.6869009584664537,635003.1
1,2,0.6446280991735537,683365.25
1,3,0.6149425287356322,663995.25
1,4,0.6627218934911243,649895.7
1,5,0.6,705342.8
1,6,0.6083086053412463,634097.1
1,7,0.6257142857142857,635030.6
1,8,0.6222826086956522,661560.0
1,9,0.7292993630573248,622620.56
2,0,0.7714285714285715,623781.7
2,1,0.782051282051282,593227.9
2,2,0.7867867867867868,573945.6
2,3,0.7863777089783281,580430.5
2,4,0.7192513368983957,637432.75
2,5,0.7206703910614525,615268.9
2,6,0.8327645051194539,626637.94
2,7,0.7763578274760383,595568.7
2,8,0.75,584791.5
2,9,0.764179104477612,576323.56
3,0,0.7555555555555555,583181.2
3,1,0.7243589743589743,603051.0
3,2,0.7477477477477478,601514.4
3,3,0.7337461300309598,622842.7
3,4,0.7058823529411765,586619.1
3,5,0.7122905027932961,622375.06
3,6,0.8020477815699659,629491.44
3,7,0.7603833865814696,612902.44
3,8,0.7067901234567902,584418.4
3,9,0.7432835820895523,571128.25
