tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33537,1000000000000,1000000000000,False
1000000000000,34733,1000000000000,1000000000000,False
51353,1000000000000,1000000000000,1000000000000,True
33235,1000000000000,1000000000000,1000000000000,True
1000000000000,39721,1000000000000,1000000000000,False
1000000000000,35502,1000000000000,1000000000000,False
1000000000000,37837,1000000000000,1000000000000,False
1000000000000,36127,1000000000000,1000000000000,False
1000000000000,38967,1000000000000,1000000000000,False
1000000000000,36896,1000000000000,1000000000000,False
1000000000000,40393,1000000000000,1000000000000,False
34981,1000000000000,1000000000000,1000000000000,True
1000000000000,37313,1000000000000,1000000000000,False
34182,1000000000000,1000000000000,1000000000000,True
1000000000000,45337,1000000000000,1000000000000,False
1000000000000,1000000000000,35541,1000000000000,False
37401,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36613,1000000000000,False
47325,1000000000000,1000000000000,1000000000000,True
37054,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,38442,1000000000000,False
1000000000000,1000000000000,37896,1000000000000,False
35617,1000000000000,1000000000000,1000000000000,True
36260,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,39977,1000000000000,False
36575,1000000000000,1000000000000,1000000000000,True
1000000000000,46109,1000000000000,1000000000000,False
1000000000000,1000000000000,43879,1000000000000,False
40054,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44525,1000000000000,False
1000000000000,1000000000000,1000000000000,45816,False
48068,1000000000000,1000000000000,1000000000000,True
38237,1000000000000,1000000000000,1000000000000,True
44877,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45181,1000000000000,False
1000000000000,1000000000000,40556,1000000000000,False
1000000000000,43779,1000000000000,1000000000000,False
1000000000000,1000000000000,46373,1000000000000,False
1000000000000,1000000000000,1000000000000,47546,False
1000000000000,1000000000000,43552,1000000000000,False
1000000000000,1000000000000,41020,1000000000000,False
1000000000000,48095,1000000000000,1000000000000,False
46749,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42890,1000000000000,False
38676,1000000000000,1000000000000,1000000000000,True
39217,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41736,1000000000000,False
55766,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48349,False
1000000000000,49803,1000000000000,1000000000000,False
1000000000000,43270,1000000000000,1000000000000,False
1000000000000,44680,1000000000000,1000000000000,False
1000000000000,41761,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48966,False
1000000000000,45667,1000000000000,1000000000000,False
1000000000000,42248,1000000000000,1000000000000,False
43745,1000000000000,1000000000000,1000000000000,True
1000000000000,42760,1000000000000,1000000000000,False
1000000000000,49268,1000000000000,1000000000000,False
44332,1000000000000,1000000000000,1000000000000,True
46283,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51451,1000000000000,False
49773,1000000000000,1000000000000,1000000000000,True
1000000000000,44084,1000000000000,1000000000000,False
41884,1000000000000,1000000000000,1000000000000,True
40861,1000000000000,1000000000000,1000000000000,True
41273,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48871,1000000000000,False
1000000000000,1000000000000,1000000000000,50577,False
1000000000000,1000000000000,52259,1000000000000,False
1000000000000,1000000000000,49122,1000000000000,False
1000000000000,1000000000000,1000000000000,50293,False
47642,1000000000000,1000000000000,1000000000000,True
42344,1000000000000,1000000000000,1000000000000,True
43138,1000000000000,1000000000000,1000000000000,True
45406,1000000000000,1000000000000,1000000000000,True
1000000000000,47160,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52381,False
42634,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51961,False
1000000000000,1000000000000,50041,1000000000000,False
1000000000000,50901,1000000000000,1000000000000,False
50677,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52791,False
1000000000000,1000000000000,50820,1000000000000,False
1000000000000,1000000000000,1000000000000,52019,False
1000000000000,53036,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52846,False
50085,1000000000000,1000000000000,1000000000000,True
49356,1000000000000,1000000000000,1000000000000,True
1000000000000,53393,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53571,False
1000000000000,48387,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53636,False
44666,1000000000000,1000000000000,1000000000000,True
49080,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53484,False
1000000000000,50476,1000000000000,1000000000000,False
1000000000000,52607,1000000000000,1000000000000,False
1000000000000,55624,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54511,False
60187,1000000000000,1000000000000,1000000000000,True
